nokta_no,x,y,count,sezon_dakikasi
1,27,14,1,1026
2,27,10,2,1026
3,27,24,1,1026
4,27,11,1,1026
5,27,5,1,1026
6,27,17,1,1026
7,27,21,1,1026
8,27,27,1,1026
9,27,39,1,1026
10,27,8,1,1026
11,27,6,2,1026
12,27,9,1,1026
13,27,3,1,1026
14,21,7,1,1026
15,21,11,1,1026
16,21,21,1,1026
17,21,0,3,1026
18,21,10,1,1026
19,21,8,1,1026
20,21,26,1,1026
21,67,6,1,1026
22,67,8,1,1026
23,67,0,1,1026
24,40,9,2,1026
25,40,18,1,1026
26,40,7,1,1026
27,40,30,1,1026
28,40,12,1,1026
29,40,6,1,1026
30,40,19,1,1026
31,34,10,2,1026
32,34,6,1,1026
33,34,11,1,1026
34,34,9,2,1026
35,34,12,1,1026
36,34,33,1,1026
37,34,5,1,1026
38,34,25,1,1026
39,16,16,1,1026
40,16,3,1,1026
41,16,7,1,1026
42,16,0,2,1026
43,16,19,1,1026
44,16,14,1,1026
45,16,43,2,1026
46,16,27,1,1026
47,44,28,1,1026
48,44,20,1,1026
49,44,0,1,1026
50,44,62,1,1026
51,42,20,1,1026
52,42,7,2,1026
53,42,0,2,1026
54,42,69,1,1026
55,42,35,2,1026
56,42,28,1,1026
57,42,11,1,1026
58,42,2,1,1026
59,59,10,1,1026
60,59,8,2,1026
61,59,13,1,1026
62,59,45,1,1026
63,59,65,1,1026
64,59,0,2,1026
65,59,25,1,1026
66,59,9,1,1026
67,22,5,2,1026
68,22,0,2,1026
69,22,8,1,1026
70,22,11,2,1026
71,22,36,1,1026
72,22,42,2,1026
73,22,27,1,1026
74,22,33,1,1026
75,22,6,2,1026
76,22,10,1,1026
77,43,26,1,1026
78,43,14,1,1026
79,43,27,2,1026
80,43,10,1,1026
81,43,5,1,1026
82,61,14,1,1026
83,61,4,1,1026
84,61,0,1,1026
85,61,12,1,1026
86,61,3,1,1026
87,61,5,1,1026
88,85,70,1,1026
89,85,74,1,1026
90,85,0,1,1026
91,85,5,2,1026
92,85,11,2,1026
93,95,85,1,1026
94,95,50,1,1026
95,95,7,1,1026
96,95,28,1,1026
97,95,15,1,1026
98,91,89,1,1026
99,91,10,1,1026
100,91,21,1,1026
101,91,8,1,1026
102,91,37,1,1026
103,91,14,1,1026
104,47,3,1,1026
105,47,7,1,1026
106,47,34,1,1026
107,47,4,1,1026
108,47,16,1,1026
109,47,5,2,1026
110,47,35,1,1026
111,47,0,2,1026
112,47,38,1,1026
113,47,13,1,1026
114,47,46,1,1026
115,47,25,1,1026
116,78,4,2,1026
117,78,6,1,1026
118,78,0,1,1026
119,78,13,1,1026
120,78,8,1,1026
121,78,7,1,1026
122,48,40,1,1026
123,48,14,1,1026
124,48,0,2,1026
125,48,2,1,1026
126,18,44,2,1026
127,18,45,1,1026
128,18,13,1,1026
129,18,10,1,1026
