nokta_no,x,y,count,sezon_dakikasi
1,41,10,3,1561
2,41,77,1,1561
3,41,15,1,1561
4,41,26,1,1561
5,41,39,1,1561
6,41,65,1,1561
7,41,95,1,1561
8,41,79,1,1561
9,41,89,1,1561
10,41,93,1,1561
11,41,14,1,1561
12,41,82,1,1561
13,41,74,1,1561
14,41,61,1,1561
15,75,28,1,1561
16,75,84,1,1561
17,75,0,1,1561
18,75,5,1,1561
19,75,64,1,1561
20,75,36,1,1561
21,75,47,1,1561
22,75,7,1,1561
23,75,73,1,1561
24,75,34,1,1561
25,83,4,1,1561
26,83,83,1,1561
27,83,8,1,1561
28,83,73,1,1561
29,83,11,1,1561
30,71,3,2,1561
31,71,4,1,1561
32,71,82,1,1561
33,71,59,1,1561
34,71,76,1,1561
35,71,26,1,1561
36,71,5,1,1561
37,71,89,1,1561
38,71,93,2,1561
39,71,83,1,1561
40,71,91,1,1561
41,71,87,1,1561
42,71,12,1,1561
43,71,19,1,1561
44,71,27,1,1561
45,21,9,1,1561
46,21,27,1,1561
47,21,89,1,1561
48,21,73,1,1561
49,21,26,1,1561
50,16,20,1,1561
51,16,11,1,1561
52,16,91,1,1561
53,16,22,1,1561
54,43,38,1,1561
55,43,10,1,1561
56,43,73,1,1561
57,43,23,1,1561
58,43,42,1,1561
59,43,35,1,1561
60,72,30,1,1561
61,72,11,1,1561
62,72,12,1,1561
63,72,95,2,1561
64,72,89,1,1561
65,72,94,1,1561
66,72,96,1,1561
67,72,24,1,1561
68,72,73,1,1561
69,72,77,1,1561
70,45,8,1,1561
71,45,4,1,1561
72,45,11,1,1561
73,45,71,1,1561
74,45,93,1,1561
75,45,58,1,1561
76,45,87,1,1561
77,45,96,1,1561
78,67,6,1,1561
79,67,85,1,1561
80,67,13,1,1561
81,67,4,1,1561
82,67,24,1,1561
83,67,26,1,1561
84,67,83,2,1561
85,67,94,1,1561
86,67,3,2,1561
87,67,93,1,1561
88,67,63,1,1561
89,67,34,1,1561
90,67,90,1,1561
91,67,97,1,1561
92,67,84,1,1561
93,67,86,2,1561
94,67,21,1,1561
95,89,11,1,1561
96,89,84,1,1561
97,89,83,1,1561
98,89,67,1,1561
99,89,94,1,1561
100,89,6,1,1561
101,31,6,1,1561
102,31,40,1,1561
103,31,85,1,1561
104,31,67,1,1561
105,37,17,1,1561
106,37,86,1,1561
107,37,94,1,1561
108,37,96,1,1561
109,37,18,1,1561
110,37,82,1,1561
111,37,88,1,1561
112,37,77,1,1561
113,84,10,1,1561
114,84,65,1,1561
115,84,64,1,1561
116,84,60,1,1561
117,84,67,1,1561
118,84,84,1,1561
119,84,98,1,1561
120,84,73,1,1561
121,84,61,2,1561
122,70,10,1,1561
123,70,73,2,1561
124,70,22,2,1561
125,70,15,1,1561
126,70,26,1,1561
127,70,56,1,1561
128,70,4,1,1561
129,70,9,1,1561
130,70,14,2,1561
131,70,34,1,1561
132,70,76,1,1561
133,70,95,2,1561
134,70,69,1,1561
135,70,85,1,1561
136,70,71,1,1561
137,74,14,1,1561
138,74,10,1,1561
139,74,84,1,1561
140,74,76,1,1561
141,74,6,1,1561
142,74,91,1,1561
143,74,56,1,1561
144,74,90,1,1561
145,74,59,1,1561
146,74,41,1,1561
147,76,22,1,1561
148,76,10,1,1561
149,76,14,1,1561
150,76,79,1,1561
151,76,74,1,1561
152,76,94,1,1561
153,76,93,1,1561
154,76,46,1,1561
155,76,8,1,1561
156,76,73,1,1561
157,76,52,1,1561
158,76,63,1,1561
159,76,96,1,1561
160,76,91,1,1561
161,91,76,1,1561
162,91,47,1,1561
163,91,18,1,1561
164,91,13,1,1561
165,91,87,1,1561
166,91,88,1,1561
167,91,92,1,1561
168,91,61,1,1561
169,91,15,1,1561
170,91,68,1,1561
171,91,84,1,1561
172,97,73,1,1561
173,97,3,1,1561
174,97,89,1,1561
175,97,75,1,1561
176,97,68,1,1561
177,97,83,1,1561
178,97,49,1,1561
179,34,5,1,1561
180,34,7,1,1561
181,34,22,1,1561
182,34,29,1,1561
183,34,60,1,1561
184,34,97,1,1561
185,34,44,1,1561
186,34,93,1,1561
187,34,48,1,1561
188,34,96,1,1561
189,34,1,1,1561
190,34,24,1,1561
191,57,5,2,1561
192,57,70,1,1561
193,57,92,1,1561
194,57,9,1,1561
195,57,75,1,1561
196,57,87,1,1561
197,57,13,1,1561
