nokta_no,x,y,count,sezon_dakikasi
1,28,31,1,2903
2,28,47,3,2903
3,28,18,1,2903
4,28,23,1,2903
5,28,34,1,2903
6,28,16,1,2903
7,28,7,1,2903
8,28,37,2,2903
9,28,56,1,2903
10,28,28,1,2903
11,28,20,1,2903
12,28,69,1,2903
13,28,87,1,2903
14,28,64,3,2903
15,28,41,2,2903
16,28,27,1,2903
17,28,80,1,2903
18,28,62,1,2903
19,28,58,1,2903
20,28,97,1,2903
21,28,52,1,2903
22,30,33,2,2903
23,30,88,1,2903
24,30,83,2,2903
25,30,89,1,2903
26,30,28,2,2903
27,30,13,1,2903
28,30,64,1,2903
29,30,22,2,2903
30,30,21,2,2903
31,30,86,1,2903
32,30,44,1,2903
33,30,46,2,2903
34,30,34,2,2903
35,30,23,3,2903
36,30,56,1,2903
37,30,5,1,2903
38,30,0,1,2903
39,30,27,3,2903
40,30,92,1,2903
41,30,6,2,2903
42,30,32,1,2903
43,30,50,1,2903
44,30,19,1,2903
45,30,51,1,2903
46,30,87,1,2903
47,30,63,1,2903
48,30,59,1,2903
49,30,70,2,2903
50,30,25,1,2903
51,30,52,1,2903
52,30,53,1,2903
53,30,54,2,2903
54,30,45,1,2903
55,30,47,1,2903
56,30,38,1,2903
57,32,33,1,2903
58,32,65,3,2903
59,32,86,2,2903
60,32,52,2,2903
61,32,39,1,2903
62,32,23,2,2903
63,32,14,1,2903
64,32,53,2,2903
65,32,71,2,2903
66,32,51,1,2903
67,32,42,2,2903
68,32,82,2,2903
69,32,67,1,2903
70,32,24,1,2903
71,32,34,1,2903
72,32,74,1,2903
73,32,94,2,2903
74,32,84,1,2903
75,32,64,1,2903
76,32,40,1,2903
77,32,41,1,2903
78,32,96,1,2903
79,32,73,1,2903
80,32,57,3,2903
81,32,22,2,2903
82,32,78,1,2903
83,32,27,1,2903
84,32,61,2,2903
85,32,43,1,2903
86,32,66,1,2903
87,29,63,2,2903
88,29,34,2,2903
89,29,60,1,2903
90,29,21,1,2903
91,29,58,1,2903
92,29,43,1,2903
93,29,71,1,2903
94,29,37,2,2903
95,29,56,1,2903
96,29,70,2,2903
97,29,57,2,2903
98,29,8,1,2903
99,29,66,1,2903
100,29,32,1,2903
101,29,67,1,2903
102,29,76,1,2903
103,29,65,1,2903
104,29,96,1,2903
105,29,51,1,2903
106,29,36,1,2903
107,29,85,1,2903
108,29,52,1,2903
109,29,30,1,2903
110,73,34,3,2903
111,73,68,1,2903
112,73,24,1,2903
113,73,66,1,2903
114,73,77,2,2903
115,73,30,1,2903
116,73,20,1,2903
117,73,31,1,2903
118,73,63,1,2903
119,73,70,1,2903
120,73,64,1,2903
121,73,72,1,2903
122,73,39,2,2903
123,73,15,1,2903
124,73,65,1,2903
125,73,18,1,2903
126,73,74,2,2903
127,73,7,1,2903
128,73,44,1,2903
129,73,38,1,2903
130,99,0,61,2903
131,99,24,1,2903
132,40,76,2,2903
133,40,29,2,2903
134,40,71,2,2903
135,40,70,1,2903
136,40,27,2,2903
137,40,32,2,2903
138,40,55,3,2903
139,40,50,1,2903
140,40,23,2,2903
141,40,11,1,2903
142,40,89,1,2903
143,40,74,1,2903
144,40,78,1,2903
145,40,80,1,2903
146,40,69,1,2903
147,40,84,1,2903
148,40,37,3,2903
149,40,38,1,2903
150,40,21,1,2903
151,40,61,1,2903
152,40,10,1,2903
153,40,15,1,2903
154,40,34,1,2903
155,40,6,1,2903
156,40,17,2,2903
157,40,77,1,2903
158,40,33,1,2903
159,40,20,1,2903
160,40,83,1,2903
161,40,36,1,2903
162,40,46,1,2903
163,40,54,1,2903
164,40,60,1,2903
165,56,79,3,2903
166,56,31,1,2903
167,56,20,1,2903
168,56,35,2,2903
169,56,72,2,2903
170,56,26,2,2903
171,56,47,1,2903
172,56,63,1,2903
173,56,16,1,2903
174,56,83,1,2903
175,56,73,1,2903
176,56,19,1,2903
177,56,69,1,2903
178,56,90,2,2903
179,56,32,1,2903
180,56,66,1,2903
181,56,87,1,2903
182,56,50,1,2903
183,56,6,1,2903
184,56,84,1,2903
185,56,76,2,2903
186,56,7,1,2903
187,56,77,1,2903
188,56,65,2,2903
189,56,29,1,2903
190,56,12,2,2903
191,56,45,2,2903
192,56,43,2,2903
193,56,17,1,2903
194,56,75,1,2903
195,56,24,1,2903
196,56,49,1,2903
197,36,27,1,2903
198,36,76,2,2903
199,36,81,1,2903
200,36,44,1,2903
201,36,20,3,2903
202,36,7,1,2903
203,36,23,1,2903
204,36,72,1,2903
205,36,43,1,2903
206,36,49,2,2903
207,36,18,1,2903
208,36,46,1,2903
209,36,89,1,2903
210,36,58,1,2903
211,36,30,2,2903
212,36,8,1,2903
213,36,40,1,2903
214,36,55,1,2903
215,36,25,1,2903
216,36,28,1,2903
217,36,38,3,2903
218,36,70,1,2903
219,36,39,1,2903
220,36,36,1,2903
221,36,87,1,2903
222,36,74,2,2903
223,36,12,1,2903
224,36,79,1,2903
225,36,11,1,2903
226,36,65,1,2903
227,36,64,1,2903
228,36,94,1,2903
229,36,42,1,2903
230,36,35,1,2903
231,35,29,1,2903
232,35,95,1,2903
233,35,73,1,2903
234,35,76,2,2903
235,35,34,3,2903
236,35,71,1,2903
237,35,19,1,2903
238,35,36,1,2903
239,35,63,1,2903
240,35,42,1,2903
241,35,32,1,2903
242,35,78,1,2903
243,35,61,1,2903
244,35,17,2,2903
245,35,13,1,2903
246,35,72,1,2903
247,35,86,1,2903
248,35,75,1,2903
249,35,79,1,2903
250,35,62,2,2903
251,35,41,2,2903
252,35,14,1,2903
253,35,64,1,2903
254,35,44,1,2903
255,35,52,1,2903
256,35,21,1,2903
257,35,70,2,2903
258,35,50,1,2903
259,35,49,1,2903
260,35,60,1,2903
261,35,45,1,2903
262,35,27,1,2903
263,35,88,1,2903
264,35,37,1,2903
265,35,89,1,2903
266,35,59,1,2903
267,31,66,2,2903
268,31,72,2,2903
269,31,41,3,2903
270,31,45,1,2903
271,31,63,1,2903
272,31,15,1,2903
273,31,76,1,2903
274,31,40,1,2903
275,31,8,1,2903
276,31,24,3,2903
277,31,83,2,2903
278,31,59,1,2903
279,31,51,1,2903
280,31,28,2,2903
281,31,30,1,2903
282,31,79,1,2903
283,31,33,1,2903
284,31,29,1,2903
285,31,89,1,2903
286,31,58,2,2903
287,31,55,2,2903
288,31,61,2,2903
289,31,50,2,2903
290,31,31,1,2903
291,31,53,4,2903
292,31,47,2,2903
293,31,18,1,2903
294,31,9,1,2903
295,31,54,1,2903
296,31,57,1,2903
297,31,17,1,2903
298,31,12,1,2903
299,31,65,1,2903
300,31,74,1,2903
