nokta_no,x,y,count,sezon_dakikasi
1,29,48,1,2894
2,29,74,1,2894
3,29,62,1,2894
4,29,68,1,2894
5,29,38,1,2894
6,29,90,1,2894
7,29,96,2,2894
8,29,67,1,2894
9,29,41,1,2894
10,29,57,1,2894
11,29,91,1,2894
12,29,78,1,2894
13,29,94,1,2894
14,29,26,1,2894
15,29,82,2,2894
16,29,44,1,2894
17,29,49,2,2894
18,29,23,1,2894
19,29,12,1,2894
20,29,87,1,2894
21,29,56,1,2894
22,29,24,1,2894
23,29,50,1,2894
24,36,82,2,2894
25,36,88,2,2894
26,36,74,3,2894
27,36,71,1,2894
28,36,33,1,2894
29,36,53,1,2894
30,36,57,1,2894
31,36,97,1,2894
32,36,58,1,2894
33,36,60,1,2894
34,36,87,1,2894
35,36,68,1,2894
36,36,30,1,2894
37,36,91,1,2894
38,36,59,1,2894
39,36,92,2,2894
40,36,17,1,2894
41,36,90,1,2894
42,36,93,1,2894
43,36,19,1,2894
44,36,40,1,2894
45,36,95,1,2894
46,36,79,1,2894
47,50,38,2,2894
48,50,59,1,2894
49,50,49,6,2894
50,50,50,6,2894
51,50,58,1,2894
52,50,72,1,2894
53,63,87,2,2894
54,63,73,1,2894
55,63,93,3,2894
56,63,70,2,2894
57,63,95,1,2894
58,63,21,1,2894
59,63,94,2,2894
60,63,16,1,2894
61,63,89,2,2894
62,63,33,2,2894
63,63,78,1,2894
64,63,74,1,2894
65,63,35,1,2894
66,63,81,1,2894
67,63,68,1,2894
68,63,29,1,2894
69,63,83,2,2894
70,63,11,1,2894
71,63,77,1,2894
72,63,27,1,2894
73,62,74,2,2894
74,62,86,1,2894
75,62,78,1,2894
76,62,42,1,2894
77,62,7,1,2894
78,62,25,1,2894
79,62,90,3,2894
80,62,91,3,2894
81,62,67,2,2894
82,62,92,1,2894
83,62,88,1,2894
84,62,97,1,2894
85,62,76,1,2894
86,62,72,1,2894
87,62,71,1,2894
88,62,59,1,2894
89,62,54,1,2894
90,62,56,1,2894
91,62,12,1,2894
92,62,53,1,2894
93,62,28,1,2894
94,62,94,1,2894
95,62,38,1,2894
96,62,77,1,2894
97,56,78,1,2894
98,56,81,2,2894
99,56,76,4,2894
100,56,73,1,2894
101,56,90,3,2894
102,56,3,1,2894
103,56,30,1,2894
104,56,83,1,2894
105,56,17,1,2894
106,56,92,1,2894
107,56,21,1,2894
108,56,100,1,2894
109,56,84,1,2894
110,56,48,1,2894
111,56,71,1,2894
112,56,35,1,2894
113,56,95,1,2894
114,56,79,1,2894
115,56,36,1,2894
116,56,86,3,2894
117,56,80,1,2894
118,31,27,1,2894
119,31,94,2,2894
120,31,30,1,2894
121,31,66,1,2894
122,31,93,2,2894
123,31,62,2,2894
124,31,31,2,2894
125,31,84,1,2894
126,31,70,1,2894
127,31,73,1,2894
128,31,89,2,2894
129,31,68,1,2894
130,31,92,3,2894
131,31,67,1,2894
132,31,80,1,2894
133,31,81,1,2894
134,31,36,1,2894
135,31,18,1,2894
136,31,61,1,2894
137,31,95,1,2894
138,31,9,1,2894
139,31,63,1,2894
140,31,90,1,2894
141,31,76,1,2894
142,31,97,1,2894
143,31,46,1,2894
144,31,57,1,2894
145,31,54,2,2894
146,46,71,2,2894
147,46,56,2,2894
148,46,78,1,2894
149,46,46,1,2894
150,46,69,2,2894
151,46,44,1,2894
152,46,42,1,2894
153,46,50,1,2894
154,46,88,1,2894
155,46,82,1,2894
156,46,87,1,2894
157,46,57,1,2894
158,46,80,1,2894
159,46,74,1,2894
160,46,25,1,2894
161,46,81,2,2894
162,46,16,1,2894
163,46,45,1,2894
164,46,68,1,2894
165,43,73,1,2894
166,43,68,2,2894
167,43,85,2,2894
168,43,95,1,2894
169,43,75,1,2894
170,43,35,2,2894
171,43,38,1,2894
172,43,79,1,2894
173,43,97,2,2894
174,43,78,1,2894
175,43,69,1,2894
176,43,53,1,2894
177,43,27,1,2894
178,43,80,1,2894
179,43,59,1,2894
180,43,66,1,2894
181,43,4,1,2894
182,43,45,1,2894
183,43,31,1,2894
184,43,67,1,2894
185,43,55,1,2894
186,43,5,1,2894
187,43,56,1,2894
188,43,62,1,2894
189,43,94,1,2894
190,43,90,1,2894
191,43,42,1,2894
192,59,89,1,2894
193,59,72,2,2894
194,59,74,1,2894
195,59,20,2,2894
196,59,8,1,2894
197,59,4,2,2894
198,59,88,3,2894
199,59,85,1,2894
200,59,28,1,2894
201,59,91,2,2894
202,59,64,1,2894
203,59,84,3,2894
204,59,95,1,2894
205,59,94,2,2894
206,59,61,1,2894
207,59,12,1,2894
208,59,96,1,2894
209,59,87,1,2894
210,59,13,1,2894
211,59,77,1,2894
212,59,93,2,2894
213,59,71,1,2894
214,59,31,1,2894
215,59,69,1,2894
216,59,70,1,2894
217,59,36,1,2894
218,59,42,1,2894
219,59,79,1,2894
220,59,26,2,2894
221,59,37,2,2894
222,59,65,2,2894
223,59,92,1,2894
224,59,90,1,2894
225,59,67,1,2894
226,90,94,1,2894
227,90,25,1,2894
228,90,100,1,2894
229,90,72,1,2894
230,90,66,1,2894
231,90,53,1,2894
232,90,7,1,2894
233,68,90,2,2894
234,68,64,1,2894
235,68,77,1,2894
236,68,89,2,2894
237,68,61,1,2894
238,68,97,2,2894
239,68,42,1,2894
240,68,22,2,2894
241,68,85,2,2894
242,68,35,1,2894
243,68,29,1,2894
244,68,93,1,2894
245,68,7,2,2894
246,68,74,1,2894
247,68,26,1,2894
248,68,91,1,2894
249,68,86,1,2894
250,68,83,1,2894
251,68,8,1,2894
252,68,58,3,2894
253,68,82,1,2894
254,68,81,1,2894
255,68,62,1,2894
256,68,30,3,2894
257,68,15,2,2894
258,68,25,1,2894
259,75,69,1,2894
260,75,74,1,2894
261,75,81,1,2894
262,75,25,1,2894
263,75,29,1,2894
264,75,77,1,2894
265,75,51,2,2894
266,75,57,1,2894
267,75,70,1,2894
268,75,50,1,2894
269,75,40,1,2894
270,75,63,1,2894
271,27,81,1,2894
272,27,73,1,2894
273,27,95,3,2894
274,27,65,3,2894
275,27,32,1,2894
276,27,84,1,2894
277,27,48,1,2894
278,27,89,1,2894
279,27,8,1,2894
280,27,12,1,2894
281,27,46,1,2894
282,27,15,1,2894
283,27,60,1,2894
284,27,38,1,2894
285,27,40,1,2894
286,27,52,2,2894
287,27,45,1,2894
288,27,93,1,2894
289,27,91,1,2894
290,27,96,1,2894
291,27,77,1,2894
292,27,34,1,2894
293,23,95,1,2894
294,23,62,1,2894
295,23,82,2,2894
296,23,96,1,2894
297,23,70,1,2894
298,23,85,1,2894
299,23,27,1,2894
300,23,41,1,2894
301,23,61,1,2894
302,23,73,1,2894
303,23,77,1,2894
304,23,58,1,2894
305,26,64,1,2894
306,26,4,1,2894
307,26,10,2,2894
308,26,8,1,2894
309,26,89,1,2894
310,26,27,1,2894
311,26,32,1,2894
312,26,60,1,2894
313,26,68,1,2894
314,26,61,1,2894
315,26,5,1,2894
316,26,29,1,2894
317,26,70,1,2894
318,26,90,1,2894
319,26,94,1,2894
320,26,16,1,2894
321,26,35,1,2894
322,26,62,1,2894
323,26,77,1,2894
324,26,95,1,2894
325,26,23,1,2894
326,26,82,1,2894
327,26,72,1,2894
328,26,71,1,2894
329,26,54,1,2894
330,58,93,1,2894
331,58,85,4,2894
332,58,90,1,2894
333,58,100,1,2894
334,58,86,4,2894
335,58,31,2,2894
336,58,52,2,2894
337,58,68,1,2894
338,58,84,1,2894
339,58,29,1,2894
340,58,18,2,2894
341,58,95,1,2894
342,58,87,1,2894
343,58,10,1,2894
344,58,80,2,2894
345,58,94,1,2894
346,58,66,1,2894
347,58,69,1,2894
348,58,79,2,2894
349,58,36,1,2894
350,58,39,1,2894
351,58,33,1,2894
352,58,65,1,2894
353,58,43,2,2894
354,58,40,1,2894
355,58,92,1,2894
356,58,73,1,2894
357,66,27,2,2894
358,66,67,3,2894
359,66,49,1,2894
360,66,68,1,2894
361,66,90,1,2894
362,66,93,1,2894
363,66,96,1,2894
364,66,82,1,2894
365,66,50,1,2894
366,66,58,2,2894
367,66,38,1,2894
368,66,14,1,2894
369,66,71,1,2894
370,66,77,1,2894
371,66,81,1,2894
372,66,91,1,2894
373,66,92,1,2894
