nokta_no,x,y,count,sezon_dakikasi
1,21,93,1,1491
2,21,70,1,1491
3,21,17,1,1491
4,21,37,1,1491
5,21,29,3,1491
6,21,39,2,1491
7,21,30,4,1491
8,21,34,1,1491
9,21,81,1,1491
10,21,28,1,1491
11,21,24,1,1491
12,21,15,1,1491
13,21,13,1,1491
14,21,7,1,1491
15,21,31,1,1491
16,21,56,1,1491
17,52,84,1,1491
18,52,87,1,1491
19,52,28,2,1491
20,52,30,1,1491
21,52,24,1,1491
22,52,44,1,1491
23,52,52,1,1491
24,52,63,1,1491
25,52,32,1,1491
26,52,36,1,1491
27,52,43,1,1491
28,52,58,1,1491
29,52,65,2,1491
30,52,18,2,1491
31,52,16,1,1491
32,52,19,1,1491
33,52,38,1,1491
34,50,71,1,1491
35,50,64,1,1491
36,50,43,1,1491
37,50,33,1,1491
38,50,46,1,1491
39,50,53,1,1491
40,50,20,1,1491
41,50,30,1,1491
42,51,67,1,1491
43,51,47,1,1491
44,51,30,1,1491
45,51,21,1,1491
46,51,92,1,1491
47,51,12,1,1491
48,51,18,1,1491
49,51,54,1,1491
50,55,71,1,1491
51,55,24,2,1491
52,55,22,1,1491
53,55,32,1,1491
54,55,62,1,1491
55,55,36,1,1491
56,55,31,1,1491
57,55,27,1,1491
58,55,28,1,1491
59,55,76,1,1491
60,55,70,1,1491
61,55,67,1,1491
62,55,12,1,1491
63,55,29,2,1491
64,55,63,1,1491
65,55,55,1,1491
66,55,30,2,1491
67,44,74,1,1491
68,44,48,1,1491
69,44,23,2,1491
70,44,27,3,1491
71,44,26,1,1491
72,44,10,1,1491
73,44,45,1,1491
74,44,24,1,1491
75,44,34,1,1491
76,44,73,1,1491
77,44,54,1,1491
78,44,13,1,1491
79,44,28,2,1491
80,44,85,2,1491
81,44,41,1,1491
82,44,46,1,1491
83,44,72,1,1491
84,44,87,1,1491
85,44,17,1,1491
86,44,90,1,1491
87,44,47,1,1491
88,44,16,1,1491
89,44,25,1,1491
90,41,88,1,1491
91,41,49,1,1491
92,41,26,1,1491
93,41,25,1,1491
94,41,76,1,1491
95,41,66,1,1491
96,41,34,1,1491
97,41,82,2,1491
98,41,38,1,1491
99,41,0,1,1491
100,41,71,1,1491
101,41,43,1,1491
102,41,22,1,1491
103,41,30,2,1491
104,41,29,1,1491
105,41,31,1,1491
106,45,76,1,1491
107,45,7,1,1491
108,45,47,2,1491
109,45,37,1,1491
110,45,54,1,1491
111,45,33,2,1491
112,45,43,2,1491
113,45,36,2,1491
114,45,10,1,1491
115,45,25,2,1491
116,45,22,2,1491
117,45,90,1,1491
118,45,100,1,1491
119,45,31,1,1491
120,45,19,2,1491
121,45,9,1,1491
122,45,57,1,1491
123,45,17,1,1491
124,45,29,1,1491
125,45,56,1,1491
126,45,45,1,1491
127,20,73,1,1491
128,20,36,3,1491
129,20,47,3,1491
130,20,51,1,1491
131,20,37,3,1491
132,20,76,1,1491
133,20,92,1,1491
134,20,27,2,1491
135,20,12,2,1491
136,20,34,1,1491
137,20,14,1,1491
138,20,68,1,1491
139,20,81,1,1491
140,20,20,1,1491
141,20,24,1,1491
142,20,15,1,1491
143,39,78,1,1491
144,39,32,2,1491
145,39,60,1,1491
146,39,21,1,1491
147,39,6,1,1491
148,39,36,3,1491
149,39,69,1,1491
150,39,92,1,1491
151,39,76,1,1491
152,39,63,1,1491
153,39,81,1,1491
154,39,19,1,1491
155,39,50,1,1491
156,39,22,1,1491
157,39,10,1,1491
158,39,13,1,1491
159,42,83,1,1491
160,42,13,2,1491
161,42,52,1,1491
162,42,16,1,1491
163,42,29,3,1491
164,42,27,1,1491
165,42,9,5,1491
166,42,55,1,1491
167,42,21,1,1491
168,42,37,3,1491
169,42,6,1,1491
170,42,35,2,1491
171,42,7,1,1491
172,42,28,2,1491
173,42,45,1,1491
174,42,32,1,1491
175,42,33,1,1491
176,42,64,1,1491
177,42,14,1,1491
178,56,86,1,1491
179,56,76,1,1491
180,56,25,1,1491
181,56,20,2,1491
182,56,6,1,1491
183,56,38,2,1491
184,56,30,1,1491
185,56,12,1,1491
186,56,10,2,1491
187,56,69,1,1491
188,56,48,1,1491
189,56,21,1,1491
190,56,29,1,1491
191,56,13,1,1491
192,56,33,1,1491
193,56,26,1,1491
194,56,28,1,1491
195,61,75,1,1491
196,61,32,1,1491
197,61,29,1,1491
198,61,21,1,1491
199,61,24,1,1491
200,61,27,1,1491
201,61,43,1,1491
202,40,70,1,1491
203,40,24,3,1491
204,40,17,2,1491
205,40,27,1,1491
206,40,33,2,1491
207,40,28,7,1491
208,40,21,1,1491
209,40,37,1,1491
210,40,71,3,1491
211,40,26,3,1491
212,40,41,1,1491
213,40,67,1,1491
214,40,86,1,1491
215,40,64,1,1491
216,40,73,1,1491
217,40,43,1,1491
218,40,16,2,1491
219,40,18,1,1491
220,40,36,1,1491
221,40,15,1,1491
222,40,30,1,1491
223,40,48,1,1491
224,40,65,1,1491
225,40,39,1,1491
226,58,68,1,1491
227,58,64,1,1491
228,58,34,1,1491
229,58,78,1,1491
230,58,76,1,1491
231,58,31,1,1491
232,58,16,1,1491
233,58,89,1,1491
234,58,7,1,1491
235,58,36,1,1491
236,58,19,1,1491
237,58,20,1,1491
238,58,29,2,1491
239,58,22,1,1491
240,58,8,1,1491
241,53,67,1,1491
242,53,17,1,1491
243,53,16,1,1491
244,53,9,1,1491
245,53,54,3,1491
246,53,40,4,1491
247,53,21,1,1491
248,53,3,1,1491
249,53,34,2,1491
250,53,49,1,1491
251,53,31,1,1491
252,53,70,1,1491
253,53,29,1,1491
254,53,11,1,1491
255,53,42,1,1491
256,53,18,1,1491
257,53,41,1,1491
258,53,37,1,1491
259,53,62,1,1491
260,53,35,1,1491
261,53,28,1,1491
262,53,32,1,1491
263,53,64,1,1491
264,96,55,1,1491
265,96,47,1,1491
266,96,53,1,1491
267,96,100,1,1491
268,96,95,1,1491
269,96,58,2,1491
270,96,59,1,1491
271,96,69,1,1491
272,96,61,1,1491
273,7,39,1,1491
274,7,14,1,1491
