nokta_no,x,y,count,sezon_dakikasi
1,64,13,2,2798
2,64,0,7,2798
3,64,18,2,2798
4,64,43,1,2798
5,64,6,2,2798
6,64,5,2,2798
7,64,16,2,2798
8,64,11,1,2798
9,64,22,2,2798
10,64,73,1,2798
11,64,39,2,2798
12,64,7,2,2798
13,64,66,1,2798
14,64,2,1,2798
15,64,9,1,2798
16,64,38,1,2798
17,64,41,1,2798
18,64,21,1,2798
19,64,15,1,2798
20,64,92,1,2798
21,64,29,1,2798
22,64,17,1,2798
23,64,1,1,2798
24,64,3,1,2798
25,64,30,1,2798
26,64,12,1,2798
27,36,0,7,2798
28,36,2,2,2798
29,36,8,2,2798
30,36,70,1,2798
31,36,72,1,2798
32,36,7,4,2798
33,36,23,1,2798
34,36,6,3,2798
35,36,38,1,2798
36,36,19,2,2798
37,36,4,2,2798
38,36,25,1,2798
39,36,9,2,2798
40,36,21,1,2798
41,36,28,1,2798
42,36,27,2,2798
43,36,67,1,2798
44,36,35,1,2798
45,36,82,1,2798
46,36,12,2,2798
47,36,17,1,2798
48,36,40,1,2798
49,36,5,1,2798
50,36,3,1,2798
51,36,10,1,2798
52,36,44,1,2798
53,78,0,2,2798
54,78,18,1,2798
55,78,17,1,2798
56,78,37,2,2798
57,78,13,1,2798
58,78,27,1,2798
59,78,35,1,2798
60,78,5,5,2798
61,78,23,2,2798
62,78,22,1,2798
63,78,36,1,2798
64,78,15,1,2798
65,78,7,2,2798
66,78,14,1,2798
67,78,30,1,2798
68,78,6,1,2798
69,78,9,1,2798
70,78,29,1,2798
71,73,5,2,2798
72,73,42,1,2798
73,73,37,1,2798
74,73,9,2,2798
75,73,19,1,2798
76,73,14,3,2798
77,73,7,1,2798
78,73,21,2,2798
79,73,0,1,2798
80,73,12,4,2798
81,73,13,1,2798
82,73,15,1,2798
83,73,20,1,2798
84,73,91,1,2798
85,73,22,1,2798
86,73,17,1,2798
87,73,35,1,2798
88,73,48,1,2798
89,73,41,1,2798
90,73,36,1,2798
91,73,32,1,2798
92,73,2,1,2798
93,73,77,1,2798
94,73,30,2,2798
95,73,50,1,2798
96,77,39,1,2798
97,77,18,1,2798
98,77,16,3,2798
99,77,13,1,2798
100,77,12,3,2798
101,77,8,2,2798
102,77,0,1,2798
103,77,28,1,2798
104,77,3,1,2798
105,77,20,1,2798
106,77,43,1,2798
107,77,24,1,2798
108,77,32,1,2798
109,77,17,1,2798
110,77,6,1,2798
111,77,7,2,2798
112,77,80,1,2798
113,77,35,1,2798
114,62,28,1,2798
115,62,0,3,2798
116,62,4,1,2798
117,62,8,2,2798
118,62,72,1,2798
119,62,6,1,2798
120,62,9,2,2798
121,62,7,1,2798
122,62,14,1,2798
123,62,3,2,2798
124,62,27,3,2798
125,62,12,1,2798
126,62,16,1,2798
127,62,49,1,2798
128,62,45,1,2798
129,62,18,1,2798
130,62,42,1,2798
131,62,31,2,2798
132,62,41,1,2798
133,62,15,1,2798
134,62,44,1,2798
135,62,19,1,2798
136,62,23,1,2798
137,62,77,1,2798
138,58,34,1,2798
139,58,4,1,2798
140,58,8,3,2798
141,58,7,2,2798
142,58,9,2,2798
143,58,12,2,2798
144,58,23,2,2798
145,58,13,1,2798
146,58,20,4,2798
147,58,6,2,2798
148,58,3,1,2798
149,58,16,2,2798
150,58,27,1,2798
151,58,5,3,2798
152,58,56,1,2798
153,58,0,2,2798
154,58,2,1,2798
155,58,21,1,2798
