nokta_no,x,y,count,sezon_dakikasi
1,25,59,1,1167
2,25,62,2,1167
3,25,18,1,1167
4,25,13,1,1167
5,25,52,1,1167
6,25,78,1,1167
7,27,82,1,1167
8,27,38,1,1167
9,27,73,2,1167
10,27,67,1,1167
11,27,83,1,1167
12,27,23,1,1167
13,27,60,1,1167
14,27,29,1,1167
15,31,80,1,1167
16,31,28,2,1167
17,31,95,1,1167
18,31,73,1,1167
19,31,75,1,1167
20,31,36,2,1167
21,31,31,1,1167
22,31,76,1,1167
23,31,19,1,1167
24,31,47,1,1167
25,31,64,1,1167
26,31,94,1,1167
27,31,70,1,1167
28,31,65,1,1167
29,31,24,1,1167
30,31,60,1,1167
31,31,79,1,1167
32,31,78,1,1167
33,19,59,1,1167
34,19,47,1,1167
35,19,38,1,1167
36,24,61,1,1167
37,24,21,1,1167
38,24,13,1,1167
39,24,35,1,1167
40,24,91,1,1167
41,24,38,1,1167
42,24,63,1,1167
43,24,82,1,1167
44,24,31,1,1167
45,24,92,1,1167
46,24,60,1,1167
47,46,65,1,1167
48,46,66,1,1167
49,46,64,1,1167
50,46,35,1,1167
51,46,27,2,1167
52,46,26,1,1167
53,46,81,1,1167
54,46,53,1,1167
55,46,67,1,1167
56,46,0,1,1167
57,46,32,1,1167
58,46,33,1,1167
59,46,51,1,1167
60,46,43,1,1167
61,66,26,1,1167
62,66,9,1,1167
63,66,95,1,1167
64,66,14,1,1167
65,66,25,1,1167
66,66,22,1,1167
67,66,75,1,1167
68,66,50,1,1167
69,66,12,1,1167
70,66,28,1,1167
71,42,67,1,1167
72,42,62,1,1167
73,42,26,1,1167
74,42,74,2,1167
75,42,25,1,1167
76,42,69,1,1167
77,42,80,2,1167
78,42,72,1,1167
79,42,27,1,1167
80,42,56,2,1167
81,42,60,1,1167
82,54,88,1,1167
83,54,4,1,1167
84,54,57,1,1167
85,54,25,1,1167
86,54,40,1,1167
87,54,64,3,1167
88,54,86,1,1167
89,54,41,1,1167
90,54,15,1,1167
91,54,36,1,1167
92,54,82,1,1167
93,54,72,1,1167
94,54,24,1,1167
95,54,7,1,1167
96,54,79,1,1167
97,54,13,2,1167
98,26,41,1,1167
99,26,15,1,1167
100,26,22,1,1167
101,26,14,1,1167
102,26,44,1,1167
103,26,36,1,1167
104,26,67,1,1167
105,55,67,2,1167
106,55,54,1,1167
107,55,51,2,1167
108,55,55,1,1167
109,55,62,1,1167
110,55,25,2,1167
111,55,40,1,1167
112,55,29,2,1167
113,55,93,1,1167
114,55,75,2,1167
115,55,70,1,1167
116,55,39,1,1167
117,55,63,1,1167
118,55,81,1,1167
119,55,4,1,1167
120,55,10,1,1167
121,55,34,2,1167
122,55,79,1,1167
123,55,88,1,1167
124,55,20,1,1167
125,59,6,3,1167
126,59,15,1,1167
127,59,75,1,1167
128,59,36,1,1167
129,59,65,1,1167
130,59,88,2,1167
131,59,79,2,1167
132,59,13,1,1167
133,59,26,1,1167
134,59,10,1,1167
135,59,21,1,1167
136,59,78,1,1167
137,59,59,1,1167
138,59,34,2,1167
139,59,30,1,1167
140,59,29,1,1167
141,59,41,2,1167
142,59,64,1,1167
143,59,24,1,1167
144,59,31,1,1167
145,59,63,1,1167
146,59,74,1,1167
147,59,73,1,1167
148,59,77,1,1167
149,59,69,1,1167
150,59,38,1,1167
151,59,85,1,1167
152,68,10,1,1167
153,68,28,1,1167
154,68,50,1,1167
155,68,58,1,1167
156,68,96,1,1167
157,68,23,1,1167
158,68,53,1,1167
159,68,25,2,1167
160,68,73,1,1167
161,68,17,1,1167
162,68,18,1,1167
163,68,74,1,1167
164,68,52,1,1167
165,68,43,1,1167
166,53,65,1,1167
167,53,19,1,1167
168,53,42,1,1167
169,53,67,1,1167
170,53,54,2,1167
171,53,49,1,1167
172,53,53,1,1167
173,53,34,1,1167
174,53,55,1,1167
175,53,24,1,1167
176,53,31,1,1167
177,53,33,1,1167
178,53,45,1,1167
179,52,54,1,1167
180,52,60,1,1167
181,52,74,1,1167
182,52,50,1,1167
183,52,41,1,1167
184,52,86,1,1167
185,52,85,1,1167
186,52,18,1,1167
187,11,81,1,1167
188,11,12,1,1167
189,11,41,1,1167
190,11,9,3,1167
191,11,16,1,1167
192,11,34,1,1167
193,11,67,1,1167
194,7,83,3,1167
195,7,57,1,1167
196,7,92,1,1167
197,75,16,1,1167
198,75,96,1,1167
199,75,95,1,1167
200,88,35,1,1167
201,88,64,1,1167
202,37,93,1,1167
203,37,15,1,1167
204,37,32,1,1167
205,37,36,1,1167
206,37,72,1,1167
207,37,25,1,1167
208,37,56,1,1167
209,37,84,1,1167
210,37,87,1,1167
211,37,18,1,1167
212,41,64,1,1167
213,41,5,1,1167
214,41,50,1,1167
215,41,84,1,1167
216,41,14,1,1167
217,41,71,1,1167
218,41,62,1,1167
219,41,86,1,1167
220,41,94,1,1167
221,41,91,1,1167
222,41,72,1,1167
223,41,61,1,1167
224,41,55,2,1167
225,41,16,1,1167
226,41,69,1,1167
227,62,69,1,1167
228,62,45,1,1167
229,62,49,1,1167
230,62,71,1,1167
231,62,24,1,1167
232,62,34,1,1167
233,62,81,1,1167
234,62,92,1,1167
235,62,86,1,1167
236,62,50,1,1167
237,62,5,1,1167
238,62,64,1,1167
239,62,75,1,1167
240,62,72,1,1167
241,62,62,1,1167
242,62,35,1,1167
243,62,37,1,1167
244,62,4,1,1167
245,62,41,1,1167
246,40,77,1,1167
247,40,0,1,1167
248,40,39,1,1167
249,40,60,1,1167
250,40,27,2,1167
251,40,32,1,1167
252,40,73,1,1167
253,40,71,1,1167
254,40,33,1,1167
255,40,7,1,1167
256,39,3,1,1167
257,39,80,1,1167
258,39,46,1,1167
259,39,29,2,1167
260,39,68,1,1167
261,39,21,1,1167
262,39,41,1,1167
263,39,22,2,1167
264,39,83,1,1167
265,39,75,1,1167
266,39,20,1,1167
267,39,19,1,1167
268,39,91,1,1167
269,39,85,1,1167
270,39,30,1,1167
271,39,69,1,1167
272,39,4,1,1167
273,45,62,2,1167
274,45,50,1,1167
275,45,93,2,1167
276,45,92,1,1167
