nokta_no,x,y,count,sezon_dakikasi
1,25,85,1,1374
2,25,73,1,1374
3,25,82,1,1374
4,25,90,1,1374
5,25,77,2,1374
6,25,94,1,1374
7,25,84,1,1374
8,25,54,1,1374
9,25,66,1,1374
10,25,70,1,1374
11,25,47,1,1374
12,25,53,1,1374
13,25,68,1,1374
14,25,86,1,1374
15,25,83,1,1374
16,25,88,1,1374
17,25,75,1,1374
18,37,89,1,1374
19,37,90,1,1374
20,37,69,2,1374
21,37,81,3,1374
22,37,82,1,1374
23,37,78,1,1374
24,37,86,2,1374
25,37,38,1,1374
26,37,58,1,1374
27,37,72,1,1374
28,37,29,1,1374
29,37,43,1,1374
30,37,95,1,1374
31,37,83,1,1374
32,37,85,1,1374
33,37,74,1,1374
34,37,35,1,1374
35,37,73,1,1374
36,40,92,1,1374
37,40,66,1,1374
38,40,85,2,1374
39,40,75,2,1374
40,40,83,1,1374
41,40,71,1,1374
42,40,67,2,1374
43,40,86,2,1374
44,40,81,1,1374
45,40,74,1,1374
46,40,91,1,1374
47,40,64,1,1374
48,45,67,1,1374
49,45,84,1,1374
50,45,77,1,1374
51,45,86,1,1374
52,45,80,1,1374
53,45,90,2,1374
54,45,79,1,1374
55,45,93,1,1374
56,45,74,1,1374
57,45,33,1,1374
58,45,65,1,1374
59,45,54,1,1374
60,45,76,1,1374
61,45,87,2,1374
62,45,36,2,1374
63,45,85,2,1374
64,45,57,1,1374
65,62,70,1,1374
66,62,94,3,1374
67,62,92,1,1374
68,62,88,2,1374
69,62,81,1,1374
70,62,31,1,1374
71,62,8,1,1374
72,62,53,1,1374
73,62,62,1,1374
74,62,89,1,1374
75,62,71,1,1374
76,62,87,1,1374
77,62,96,1,1374
78,62,76,1,1374
79,62,75,1,1374
80,62,79,1,1374
81,58,95,1,1374
82,58,92,1,1374
83,58,86,1,1374
84,58,7,1,1374
85,58,75,1,1374
86,58,76,2,1374
87,58,90,1,1374
88,58,69,1,1374
89,58,71,1,1374
90,58,79,1,1374
91,58,81,1,1374
92,58,94,1,1374
93,39,93,1,1374
94,39,62,1,1374
95,39,74,1,1374
96,39,66,1,1374
97,39,76,2,1374
98,39,72,1,1374
99,39,41,1,1374
100,39,80,3,1374
101,39,91,2,1374
102,39,84,1,1374
103,39,86,1,1374
104,39,73,1,1374
105,39,78,2,1374
106,39,57,2,1374
107,39,65,1,1374
108,39,89,1,1374
109,39,82,1,1374
110,39,88,1,1374
111,39,87,1,1374
112,10,67,1,1374
113,10,31,1,1374
114,10,55,1,1374
115,10,50,1,1374
116,10,64,1,1374
117,10,66,1,1374
118,10,74,1,1374
119,10,73,1,1374
120,10,91,1,1374
121,10,63,1,1374
122,10,52,1,1374
123,10,36,1,1374
124,10,15,1,1374
125,10,54,1,1374
126,10,53,3,1374
127,10,86,1,1374
128,10,48,1,1374
129,10,61,1,1374
130,68,65,1,1374
131,68,67,1,1374
132,68,81,1,1374
133,68,70,1,1374
134,68,89,1,1374
135,68,84,1,1374
136,68,54,1,1374
137,68,69,1,1374
138,68,100,1,1374
139,68,82,1,1374
140,68,77,1,1374
141,68,75,1,1374
142,66,75,1,1374
143,66,72,1,1374
144,66,63,1,1374
145,66,62,3,1374
146,66,87,1,1374
147,66,92,1,1374
148,66,89,2,1374
149,66,64,1,1374
150,66,81,1,1374
151,66,48,1,1374
152,66,61,1,1374
153,66,9,1,1374
154,66,70,1,1374
155,52,81,1,1374
156,52,59,1,1374
157,52,68,1,1374
158,52,80,1,1374
159,52,67,1,1374
160,52,92,1,1374
161,52,91,1,1374
162,52,51,1,1374
163,52,75,1,1374
164,52,87,1,1374
165,52,35,1,1374
166,14,90,1,1374
167,14,72,1,1374
168,14,67,1,1374
169,14,64,1,1374
170,14,93,1,1374
171,14,63,1,1374
172,14,80,1,1374
173,51,89,1,1374
174,51,95,1,1374
175,51,80,1,1374
176,51,84,1,1374
177,51,27,1,1374
178,51,76,1,1374
179,27,82,3,1374
180,27,49,2,1374
181,27,11,1,1374
182,27,70,1,1374
183,27,90,2,1374
184,27,74,4,1374
185,27,76,1,1374
186,27,93,1,1374
187,27,54,1,1374
188,27,55,1,1374
189,27,44,1,1374
190,27,69,2,1374
191,27,71,1,1374
192,27,38,1,1374
193,27,68,1,1374
194,27,57,1,1374
195,27,77,1,1374
196,27,22,1,1374
197,27,65,1,1374
198,27,92,1,1374
199,27,79,1,1374
200,27,94,1,1374
201,27,73,1,1374
202,75,76,2,1374
203,75,82,1,1374
204,75,68,1,1374
205,75,85,1,1374
206,75,69,1,1374
207,75,84,1,1374
208,83,87,1,1374
209,83,48,1,1374
210,83,69,1,1374
211,84,72,2,1374
212,84,51,1,1374
213,70,93,1,1374
214,70,69,1,1374
215,70,87,1,1374
216,70,70,1,1374
217,70,80,1,1374
218,70,67,1,1374
219,70,13,1,1374
220,70,85,1,1374
221,70,77,1,1374
222,70,63,1,1374
223,13,80,1,1374
224,13,83,2,1374
225,13,86,2,1374
226,13,69,1,1374
227,13,65,1,1374
228,13,68,1,1374
229,13,60,2,1374
230,13,58,1,1374
231,13,57,1,1374
232,13,56,1,1374
233,13,59,1,1374
234,13,72,1,1374
235,13,53,1,1374
236,13,78,1,1374
237,13,52,1,1374
238,13,82,1,1374
239,13,61,1,1374
240,13,37,1,1374
241,9,69,1,1374
242,9,68,2,1374
243,9,75,1,1374
244,9,10,1,1374
245,9,71,1,1374
246,9,52,1,1374
247,9,57,2,1374
248,9,51,1,1374
249,9,92,1,1374
250,55,56,1,1374
251,55,87,1,1374
252,55,70,1,1374
253,55,92,1,1374
254,55,76,1,1374
255,55,41,1,1374
256,55,22,1,1374
257,55,88,1,1374
258,55,90,1,1374
259,55,50,1,1374
260,93,52,3,1374
261,93,46,1,1374
262,93,45,1,1374
263,93,82,1,1374
264,93,69,1,1374
265,93,66,1,1374
266,93,70,1,1374
267,38,67,1,1374
268,38,94,1,1374
269,38,17,1,1374
270,38,63,1,1374
271,38,74,1,1374
272,38,77,3,1374
273,38,97,1,1374
274,38,86,1,1374
275,38,78,1,1374
276,38,61,1,1374
277,38,60,1,1374
278,38,52,1,1374
279,38,30,1,1374
280,38,70,1,1374
281,38,73,3,1374
282,38,84,1,1374
283,38,92,1,1374
284,53,57,1,1374
285,53,67,1,1374
286,53,91,1,1374
287,53,76,3,1374
288,53,68,1,1374
289,53,95,1,1374
290,53,35,1,1374
291,53,54,1,1374
292,53,74,1,1374
293,53,45,1,1374
294,53,49,1,1374
295,53,85,2,1374
296,53,69,1,1374
297,53,79,1,1374
298,26,73,1,1374
299,26,49,1,1374
300,26,39,1,1374
301,26,92,1,1374
302,26,87,1,1374
303,26,52,1,1374
304,26,78,1,1374
305,26,50,1,1374
306,26,69,1,1374
307,26,75,2,1374
308,26,80,1,1374
309,26,74,1,1374
310,26,58,1,1374
311,26,66,1,1374
312,26,68,1,1374
313,26,94,1,1374
314,26,85,1,1374
315,26,86,1,1374
316,26,7,1,1374
317,26,24,1,1374
318,26,67,2,1374
319,26,89,1,1374
320,33,69,1,1374
321,33,74,1,1374
322,33,73,2,1374
323,33,70,1,1374
324,33,58,1,1374
325,33,60,1,1374
326,33,81,3,1374
327,33,63,2,1374
328,33,77,2,1374
329,33,25,1,1374
330,33,72,1,1374
331,33,82,1,1374
332,33,80,1,1374
333,33,86,1,1374
334,33,64,1,1374
335,33,9,1,1374
336,33,100,1,1374
337,33,83,2,1374
338,33,89,1,1374
339,33,92,1,1374
340,34,91,2,1374
341,34,85,1,1374
342,34,73,2,1374
343,34,96,1,1374
344,34,70,1,1374
345,34,81,1,1374
346,34,61,2,1374
347,34,98,1,1374
348,34,87,3,1374
349,34,58,1,1374
350,34,83,1,1374
351,34,77,1,1374
352,34,78,1,1374
353,34,95,1,1374
354,34,45,1,1374
355,34,59,1,1374
356,34,65,1,1374
357,34,90,1,1374
358,34,80,1,1374
359,34,66,1,1374
360,42,94,1,1374
361,42,79,2,1374
362,42,76,1,1374
363,42,83,3,1374
364,42,70,3,1374
365,42,16,1,1374
366,42,89,3,1374
367,42,80,3,1374
368,42,72,1,1374
369,42,65,1,1374
370,42,73,1,1374
371,42,38,1,1374
372,42,87,1,1374
373,42,84,1,1374
374,20,87,1,1374
375,20,76,3,1374
376,20,61,1,1374
377,20,71,3,1374
378,20,85,2,1374
379,20,90,1,1374
380,20,69,1,1374
381,20,89,4,1374
382,20,34,1,1374
383,20,73,1,1374
384,20,22,1,1374
385,20,100,1,1374
386,19,49,1,1374
387,19,39,1,1374
388,19,67,1,1374
389,19,93,1,1374
390,19,70,2,1374
391,19,63,1,1374
392,19,87,1,1374
393,19,92,1,1374
394,19,88,1,1374
395,19,95,1,1374
396,19,66,3,1374
397,19,100,1,1374
398,19,89,1,1374
399,41,64,2,1374
400,41,69,2,1374
401,41,72,2,1374
402,41,81,2,1374
403,41,50,1,1374
404,41,39,1,1374
405,41,74,2,1374
406,41,77,1,1374
407,41,58,1,1374
408,41,62,1,1374
409,41,88,1,1374
410,41,68,1,1374
411,22,16,1,1374
412,22,89,1,1374
413,22,66,2,1374
414,22,84,2,1374
415,22,75,1,1374
416,22,42,1,1374
417,22,64,1,1374
418,22,63,1,1374
419,22,61,1,1374
420,22,65,1,1374
421,22,83,1,1374
422,22,86,1,1374
423,22,95,1,1374
424,22,71,1,1374
425,22,74,1,1374
426,22,5,1,1374
427,31,76,1,1374
428,31,82,1,1374
