nokta_no,x,y,count,sezon_dakikasi
1,5,11,1,1374
2,5,44,1,1374
3,5,15,1,1374
4,5,33,1,1374
5,5,16,1,1374
6,5,39,1,1374
7,5,5,2,1374
8,67,14,1,1374
9,67,9,2,1374
10,67,3,1,1374
11,67,6,4,1374
12,67,4,1,1374
13,67,1,1,1374
14,67,5,4,1374
15,67,10,1,1374
16,67,8,1,1374
17,67,16,1,1374
18,67,45,1,1374
19,67,0,3,1374
20,67,26,1,1374
21,67,15,1,1374
22,67,43,1,1374
23,99,0,9,1374
24,99,79,1,1374
25,42,24,1,1374
26,42,8,3,1374
27,42,7,1,1374
28,42,4,2,1374
29,42,25,1,1374
30,42,13,1,1374
31,42,9,1,1374
32,42,6,1,1374
33,42,10,1,1374
34,42,2,1,1374
35,42,11,1,1374
36,35,0,5,1374
37,35,4,1,1374
38,35,7,3,1374
39,35,14,1,1374
40,35,17,1,1374
41,35,10,1,1374
42,88,9,1,1374
43,88,24,1,1374
44,88,18,1,1374
45,88,28,1,1374
46,88,12,2,1374
47,88,7,2,1374
48,88,4,1,1374
49,88,16,1,1374
50,88,11,2,1374
51,88,43,1,1374
52,88,13,1,1374
53,88,5,1,1374
54,77,0,2,1374
55,77,36,1,1374
56,77,8,1,1374
57,77,7,3,1374
58,77,11,3,1374
59,77,9,1,1374
60,77,10,1,1374
61,77,4,1,1374
62,77,3,1,1374
63,77,5,1,1374
64,43,16,2,1374
65,43,7,1,1374
66,43,11,1,1374
67,43,0,2,1374
68,43,6,3,1374
69,43,14,1,1374
70,43,10,1,1374
71,43,5,1,1374
72,43,9,1,1374
73,68,13,1,1374
74,68,6,1,1374
75,68,4,2,1374
76,68,12,1,1374
77,68,2,1,1374
78,68,8,1,1374
79,68,0,1,1374
80,68,3,1,1374
81,68,14,1,1374
82,68,10,1,1374
83,68,5,1,1374
84,68,16,1,1374
85,68,7,1,1374
86,65,15,1,1374
87,65,7,1,1374
88,65,10,1,1374
89,65,0,2,1374
90,65,8,3,1374
91,65,39,1,1374
92,65,5,1,1374
93,65,3,1,1374
94,65,21,1,1374
95,65,4,1,1374
96,65,33,1,1374
97,65,14,1,1374
98,65,12,1,1374
99,78,12,2,1374
100,78,17,1,1374
101,78,0,2,1374
102,78,9,1,1374
103,78,11,1,1374
104,78,15,1,1374
105,78,33,1,1374
106,78,24,1,1374
107,78,7,1,1374
108,19,8,1,1374
109,19,19,1,1374
110,19,6,1,1374
111,19,0,1,1374
112,19,4,1,1374
113,19,31,1,1374
114,19,30,1,1374
115,18,7,1,1374
116,18,30,1,1374
117,18,26,1,1374
118,18,22,1,1374
119,18,2,1,1374
120,18,6,1,1374
121,18,23,1,1374
122,31,9,1,1374
123,31,3,1,1374
124,31,38,1,1374
125,31,6,2,1374
126,31,11,1,1374
127,31,0,3,1374
128,31,26,1,1374
129,31,4,1,1374
130,31,7,1,1374
131,31,8,1,1374
132,39,0,4,1374
133,39,33,2,1374
134,39,9,1,1374
135,39,12,1,1374
136,39,32,1,1374
137,39,30,1,1374
138,39,28,1,1374
139,39,3,2,1374
140,39,11,1,1374
141,39,14,1,1374
142,59,4,1,1374
143,59,6,2,1374
144,59,0,2,1374
145,59,12,2,1374
146,59,17,1,1374
147,59,7,2,1374
148,59,22,1,1374
149,59,35,1,1374
150,59,11,1,1374
151,86,12,1,1374
152,86,33,1,1374
153,86,0,1,1374
154,86,9,3,1374
155,86,11,2,1374
156,86,6,2,1374
157,86,28,1,1374
158,86,5,2,1374
159,86,3,1,1374
160,86,17,2,1374
161,86,18,1,1374
162,86,14,1,1374
163,86,40,1,1374
164,86,10,1,1374
165,53,14,3,1374
166,53,8,2,1374
167,53,6,1,1374
168,53,21,1,1374
169,53,23,1,1374
170,53,0,1,1374
171,53,45,1,1374
172,53,12,1,1374
173,83,10,2,1374
174,83,5,1,1374
175,83,9,1,1374
176,83,0,1,1374
177,83,34,1,1374
178,83,7,1,1374
179,28,9,1,1374
180,28,8,2,1374
181,28,23,2,1374
182,28,10,1,1374
183,28,41,1,1374
184,28,6,1,1374
185,28,0,1,1374
186,28,7,1,1374
187,57,0,3,1374
188,57,23,1,1374
189,57,15,1,1374
190,57,4,1,1374
191,57,8,1,1374
192,57,5,2,1374
193,57,10,1,1374
194,57,7,2,1374
195,57,16,1,1374
196,57,36,1,1374
197,57,28,1,1374
198,57,29,1,1374
199,57,9,2,1374
200,57,22,1,1374
201,25,7,2,1374
202,25,0,1,1374
203,25,33,1,1374
204,25,26,1,1374
205,25,35,1,1374
206,25,29,1,1374
207,25,24,1,1374
208,25,15,1,1374
209,25,10,1,1374
210,69,10,1,1374
211,69,11,1,1374
212,69,12,1,1374
213,69,0,2,1374
214,69,4,1,1374
215,69,23,1,1374
216,69,8,2,1374
217,69,9,1,1374
218,69,16,1,1374
219,69,3,2,1374
220,69,2,2,1374
221,69,5,2,1374
222,69,20,1,1374
223,69,7,1,1374
224,69,6,1,1374
225,94,38,1,1374
226,94,37,1,1374
227,94,9,1,1374
228,94,6,2,1374
229,94,15,1,1374
230,94,4,1,1374
231,94,24,1,1374
232,94,11,1,1374
233,94,40,1,1374
234,94,35,2,1374
235,94,10,1,1374
236,94,19,1,1374
237,98,23,1,1374
238,98,20,1,1374
239,98,28,1,1374
240,98,17,1,1374
241,98,66,1,1374
242,98,33,1,1374
243,98,7,1,1374
244,98,12,1,1374
245,63,9,1,1374
246,63,6,1,1374
247,63,0,1,1374
248,63,7,1,1374
249,63,4,2,1374
250,63,3,1,1374
251,92,8,2,1374
252,92,42,1,1374
253,92,20,1,1374
254,92,5,1,1374
255,92,0,1,1374
256,92,4,1,1374
257,92,6,2,1374
258,92,46,1,1374
259,92,13,1,1374
260,92,11,1,1374
261,92,19,1,1374
262,45,11,1,1374
263,45,9,1,1374
264,45,0,2,1374
265,45,7,3,1374
266,45,1,1,1374
267,73,0,3,1374
268,73,21,1,1374
269,73,3,1,1374
270,73,5,2,1374
271,73,37,1,1374
272,73,14,1,1374
273,73,4,1,1374
274,73,7,1,1374
275,61,15,1,1374
276,61,4,1,1374
277,61,11,1,1374
278,61,6,1,1374
279,61,2,2,1374
280,61,7,2,1374
281,61,14,1,1374
282,93,22,1,1374
283,93,13,2,1374
284,93,12,2,1374
285,93,15,1,1374
286,93,11,1,1374
287,93,41,1,1374
288,93,5,1,1374
289,93,0,1,1374
290,93,29,1,1374
291,93,23,1,1374
292,60,14,2,1374
293,60,5,1,1374
294,60,7,2,1374
295,60,0,3,1374
296,60,26,1,1374
297,60,13,1,1374
298,60,20,1,1374
299,60,12,1,1374
300,60,9,1,1374
301,60,4,2,1374
302,60,6,1,1374
303,60,10,1,1374
304,60,24,1,1374
305,66,7,1,1374
306,66,8,1,1374
307,66,6,1,1374
308,66,4,2,1374
309,66,12,1,1374
310,66,39,1,1374
311,66,13,1,1374
312,66,16,1,1374
313,95,41,1,1374
314,95,59,1,1374
315,95,17,1,1374
316,95,12,1,1374
317,95,26,1,1374
318,95,20,1,1374
319,95,4,1,1374
320,96,45,1,1374
321,96,28,1,1374
322,96,9,1,1374
323,96,8,2,1374
324,96,11,1,1374
325,96,32,1,1374
326,96,39,2,1374
327,96,26,1,1374
328,96,33,1,1374
329,96,14,1,1374
330,58,9,4,1374
331,58,8,1,1374
332,58,4,1,1374
333,58,12,2,1374
334,58,5,1,1374
335,58,34,1,1374
336,58,3,1,1374
337,58,11,1,1374
338,41,22,1,1374
339,41,13,1,1374
340,41,4,1,1374
341,41,5,3,1374
342,41,3,1,1374
343,41,10,1,1374
344,41,6,1,1374
345,41,19,1,1374
346,41,11,1,1374
347,29,11,1,1374
348,29,4,1,1374
349,29,0,4,1374
350,29,17,1,1374
351,29,24,1,1374
352,29,9,1,1374
353,29,2,1,1374
354,29,23,2,1374
355,29,13,1,1374
356,29,30,1,1374
357,11,9,2,1374
358,11,8,1,1374
359,11,32,1,1374
360,11,35,1,1374
361,11,0,1,1374
362,11,23,1,1374
363,11,21,1,1374
364,11,24,1,1374
365,9,7,1,1374
366,9,5,1,1374
367,9,4,1,1374
368,9,9,1,1374
369,9,17,1,1374
370,9,16,1,1374
371,23,22,1,1374
372,23,2,1,1374
373,23,19,1,1374
374,23,17,1,1374
375,23,0,1,1374
376,23,15,1,1374
377,23,7,1,1374
378,87,19,1,1374
379,87,9,2,1374
380,87,6,1,1374
381,87,7,2,1374
382,87,0,1,1374
383,87,10,1,1374
384,87,5,1,1374
385,87,46,1,1374
386,87,14,1,1374
387,87,22,1,1374
388,87,44,1,1374
389,87,39,1,1374
390,87,38,1,1374
391,87,36,1,1374
392,87,4,1,1374
393,87,16,1,1374
394,49,0,1,1374
395,49,9,1,1374
396,49,4,1,1374
397,13,42,1,1374
398,13,24,1,1374
399,13,36,1,1374
400,13,9,2,1374
401,13,32,1,1374
402,13,21,1,1374
403,13,35,1,1374
404,13,11,1,1374
405,13,0,1,1374
406,13,29,2,1374
407,13,43,1,1374
408,34,13,2,1374
409,34,4,1,1374
410,34,6,1,1374
411,34,18,2,1374
412,34,0,2,1374
413,34,35,1,1374
414,34,19,1,1374
415,34,79,1,1374
416,34,12,1,1374
417,34,7,2,1374
418,34,8,1,1374
419,21,19,1,1374
420,21,11,2,1374
421,21,13,2,1374
422,21,0,2,1374
423,21,4,2,1374
424,21,6,1,1374
425,21,31,1,1374
426,21,16,1,1374
427,21,27,1,1374
428,72,4,1,1374
429,72,27,1,1374
430,72,11,1,1374
431,72,0,1,1374
432,72,5,1,1374
433,38,7,3,1374
434,38,24,2,1374
435,38,0,2,1374
436,38,8,1,1374
437,38,6,2,1374
438,38,23,1,1374
439,38,3,1,1374
440,38,18,1,1374
441,38,13,1,1374
442,14,12,1,1374
443,14,23,3,1374
444,14,39,1,1374
445,14,6,1,1374
446,14,7,2,1374
447,14,20,1,1374
448,14,21,1,1374
449,14,4,2,1374
450,44,33,1,1374
451,44,6,2,1374
452,44,0,4,1374
453,44,12,1,1374
454,44,15,1,1374
455,44,5,1,1374
456,44,8,1,1374
457,44,4,1,1374
458,56,5,3,1374
459,56,19,3,1374
460,56,8,4,1374
461,56,6,1,1374
462,56,32,1,1374
463,56,4,1,1374
464,56,22,1,1374
465,64,4,1,1374
466,64,10,2,1374
467,64,8,1,1374
468,64,6,1,1374
469,64,18,2,1374
470,64,0,2,1374
471,64,12,2,1374
472,64,7,2,1374
473,64,17,1,1374
474,64,23,1,1374
475,47,0,2,1374
476,47,73,1,1374
477,47,3,1,1374
478,47,28,1,1374
479,15,22,1,1374
480,15,0,1,1374
481,15,15,1,1374
482,15,16,1,1374
483,6,16,2,1374
484,6,28,1,1374
485,6,12,1,1374
486,6,21,1,1374
487,6,10,1,1374
488,10,28,1,1374
489,10,27,1,1374
490,10,36,1,1374
491,10,0,1,1374
492,10,18,1,1374
493,30,0,1,1374
494,30,15,2,1374
495,30,6,1,1374
496,30,16,1,1374
497,30,18,1,1374
498,30,24,1,1374
499,30,7,1,1374
500,30,11,1,1374
501,32,25,1,1374
502,32,26,1,1374
503,32,39,1,1374
504,32,14,1,1374
505,32,11,2,1374
506,32,10,2,1374
507,32,4,1,1374
508,32,17,1,1374
509,32,6,1,1374
510,26,9,2,1374
511,26,8,4,1374
512,26,0,1,1374
513,26,14,1,1374
514,26,7,1,1374
515,22,23,2,1374
516,22,31,1,1374
517,22,9,1,1374
518,22,33,1,1374
519,22,3,1,1374
520,22,12,1,1374
521,22,28,1,1374
522,22,6,1,1374
523,22,29,1,1374
524,22,7,1,1374
525,22,0,1,1374
526,76,21,1,1374
527,76,10,2,1374
528,76,15,1,1374
529,76,6,1,1374
530,76,7,3,1374
531,76,3,2,1374
532,76,16,1,1374
533,76,8,1,1374
534,76,13,1,1374
535,76,0,1,1374
536,76,43,1,1374
537,76,9,1,1374
538,2,30,1,1374
539,2,25,1,1374
540,2,12,1,1374
541,2,5,1,1374
542,2,17,1,1374
543,2,45,1,1374
544,2,0,1,1374
545,2,33,1,1374
546,2,23,2,1374
547,8,19,1,1374
548,8,14,2,1374
