nokta_no,x,y,count,sezon_dakikasi
1,68,24,2,1381
2,68,70,1,1381
3,68,38,2,1381
4,68,46,1,1381
5,68,37,1,1381
6,68,11,1,1381
7,68,54,1,1381
8,68,45,1,1381
9,68,16,1,1381
10,68,30,2,1381
11,68,10,2,1381
12,68,57,1,1381
13,68,59,1,1381
14,68,71,1,1381
15,68,84,1,1381
16,68,42,1,1381
17,68,35,1,1381
18,68,15,1,1381
19,66,26,1,1381
20,66,94,1,1381
21,66,50,1,1381
22,66,28,1,1381
23,66,32,1,1381
24,66,85,1,1381
25,66,13,1,1381
26,66,63,1,1381
27,66,93,1,1381
28,66,19,1,1381
29,66,52,1,1381
30,66,97,1,1381
31,66,34,1,1381
32,66,15,1,1381
33,66,90,1,1381
34,66,38,1,1381
35,66,27,1,1381
36,66,10,1,1381
37,37,12,1,1381
38,37,16,1,1381
39,37,35,1,1381
40,37,29,1,1381
41,37,19,1,1381
42,37,9,1,1381
43,37,59,1,1381
44,37,55,1,1381
45,37,5,1,1381
46,37,58,1,1381
47,37,27,1,1381
48,37,66,1,1381
49,50,69,1,1381
50,50,62,1,1381
51,50,27,1,1381
52,57,48,1,1381
53,57,65,1,1381
54,57,64,2,1381
55,57,76,1,1381
56,57,13,1,1381
57,57,14,1,1381
58,57,80,1,1381
59,57,25,1,1381
60,57,62,1,1381
61,57,2,1,1381
62,57,27,1,1381
63,57,86,1,1381
64,57,82,1,1381
65,57,81,1,1381
66,57,12,1,1381
67,57,23,1,1381
68,32,96,2,1381
69,32,38,1,1381
70,32,82,1,1381
71,32,92,1,1381
72,32,81,1,1381
73,32,29,1,1381
74,32,25,1,1381
75,56,66,2,1381
76,56,93,1,1381
77,56,69,1,1381
78,56,65,1,1381
79,56,14,1,1381
80,56,84,1,1381
81,56,9,1,1381
82,56,25,2,1381
83,56,17,1,1381
84,56,19,1,1381
85,56,46,1,1381
86,56,29,1,1381
87,56,6,1,1381
88,56,20,1,1381
89,56,33,1,1381
90,56,77,1,1381
91,56,48,1,1381
92,56,87,1,1381
93,56,47,1,1381
94,56,43,1,1381
95,56,44,1,1381
96,56,37,1,1381
97,62,79,1,1381
98,62,64,1,1381
99,62,32,1,1381
100,62,18,1,1381
101,62,19,1,1381
102,62,30,2,1381
103,62,100,1,1381
104,62,88,2,1381
105,62,81,1,1381
106,62,66,1,1381
107,62,58,1,1381
108,62,12,1,1381
109,62,11,1,1381
110,62,59,1,1381
111,62,6,1,1381
112,62,89,2,1381
113,62,77,1,1381
114,62,93,1,1381
115,62,35,1,1381
116,62,67,1,1381
117,62,36,1,1381
118,36,51,1,1381
119,36,10,2,1381
120,36,23,1,1381
121,36,3,1,1381
122,36,56,1,1381
123,38,55,1,1381
124,38,91,1,1381
125,38,25,1,1381
126,38,49,1,1381
127,38,24,1,1381
128,38,69,1,1381
129,38,12,2,1381
130,38,83,1,1381
131,38,20,1,1381
132,87,32,1,1381
133,87,12,1,1381
134,87,16,2,1381
135,87,40,1,1381
136,87,55,1,1381
137,87,22,1,1381
138,87,58,1,1381
139,87,26,1,1381
140,87,89,1,1381
141,91,19,1,1381
142,91,47,1,1381
143,91,28,1,1381
144,91,42,1,1381
145,91,32,1,1381
146,91,5,1,1381
147,44,75,1,1381
148,44,16,2,1381
149,44,15,1,1381
150,44,77,1,1381
151,44,19,1,1381
152,44,63,1,1381
153,44,80,1,1381
154,44,34,1,1381
155,45,69,1,1381
156,45,95,1,1381
157,45,11,1,1381
158,45,21,1,1381
159,45,67,2,1381
160,45,57,1,1381
161,45,18,1,1381
162,45,22,1,1381
163,45,61,1,1381
164,45,33,1,1381
165,45,77,1,1381
166,45,75,1,1381
167,45,10,1,1381
168,45,74,1,1381
169,45,86,1,1381
170,45,6,1,1381
171,35,70,1,1381
172,35,17,1,1381
173,35,24,1,1381
174,35,16,1,1381
175,35,33,1,1381
176,35,68,1,1381
177,35,85,2,1381
178,35,28,1,1381
179,52,89,1,1381
180,52,98,1,1381
181,52,39,1,1381
182,52,59,1,1381
183,52,65,1,1381
184,52,5,2,1381
185,52,74,2,1381
186,52,93,2,1381
187,52,71,1,1381
188,52,21,1,1381
189,58,33,1,1381
190,58,22,1,1381
191,58,57,1,1381
192,58,32,1,1381
193,58,52,1,1381
194,58,4,1,1381
195,58,11,1,1381
196,22,69,1,1381
197,22,18,1,1381
198,23,75,1,1381
199,55,74,2,1381
200,55,88,1,1381
201,55,69,1,1381
202,55,6,2,1381
203,55,28,2,1381
204,55,9,1,1381
205,55,11,1,1381
206,55,4,1,1381
207,55,57,2,1381
208,55,19,1,1381
209,55,41,2,1381
210,55,73,1,1381
211,55,23,2,1381
212,55,16,3,1381
213,55,87,1,1381
214,55,38,1,1381
215,55,36,1,1381
216,77,89,1,1381
217,77,29,1,1381
218,77,12,1,1381
219,77,48,1,1381
220,77,33,1,1381
221,77,66,1,1381
222,77,91,1,1381
223,77,43,1,1381
224,77,59,1,1381
225,77,85,1,1381
226,77,68,1,1381
227,77,96,1,1381
228,77,97,1,1381
229,77,27,2,1381
230,77,58,1,1381
231,77,70,1,1381
232,85,92,1,1381
233,85,93,1,1381
234,85,8,1,1381
235,85,21,1,1381
236,85,69,1,1381
237,85,87,1,1381
238,85,88,1,1381
239,85,67,1,1381
240,85,10,1,1381
241,81,11,1,1381
242,81,77,1,1381
243,81,14,1,1381
244,81,28,1,1381
245,81,51,1,1381
246,81,83,1,1381
247,81,40,1,1381
248,46,14,1,1381
249,46,68,1,1381
250,46,43,1,1381
251,46,20,1,1381
252,46,72,1,1381
253,46,44,1,1381
254,46,2,1,1381
255,46,15,1,1381
256,46,11,1,1381
257,46,64,1,1381
258,46,25,1,1381
259,46,26,1,1381
260,46,8,1,1381
261,46,55,1,1381
262,34,24,2,1381
263,34,19,2,1381
264,34,86,1,1381
265,34,79,2,1381
266,34,17,1,1381
267,34,80,1,1381
268,48,30,1,1381
269,48,14,1,1381
270,48,42,1,1381
271,48,84,1,1381
272,48,69,1,1381
273,48,76,1,1381
274,48,28,1,1381
275,47,28,1,1381
276,47,18,1,1381
277,47,80,1,1381
278,47,81,1,1381
279,47,14,1,1381
280,47,32,1,1381
281,47,55,1,1381
282,60,77,1,1381
283,60,71,1,1381
284,60,73,1,1381
285,60,69,1,1381
286,60,33,1,1381
287,60,35,1,1381
288,60,51,1,1381
289,60,12,1,1381
290,60,32,2,1381
291,60,75,1,1381
292,60,65,1,1381
293,60,28,1,1381
294,60,11,1,1381
295,86,83,1,1381
296,86,44,1,1381
297,86,43,1,1381
298,86,42,2,1381
299,86,45,1,1381
300,86,80,1,1381
301,86,72,1,1381
302,86,5,1,1381
303,86,18,1,1381
304,86,67,1,1381
305,86,66,1,1381
306,64,8,1,1381
307,64,18,1,1381
308,64,47,2,1381
309,64,37,1,1381
310,64,20,2,1381
311,64,15,1,1381
312,64,22,1,1381
313,64,7,1,1381
314,64,96,1,1381
315,64,39,1,1381
316,64,85,1,1381
317,64,70,1,1381
318,24,48,1,1381
319,24,27,1,1381
320,24,69,1,1381
321,24,8,1,1381
322,24,36,1,1381
323,24,58,1,1381
324,24,39,1,1381
325,54,55,1,1381
326,54,27,1,1381
327,54,69,1,1381
328,54,40,1,1381
329,54,28,1,1381
330,54,61,1,1381
331,54,84,1,1381
332,54,18,1,1381
333,54,23,1,1381
334,54,54,1,1381
335,54,43,1,1381
336,63,85,1,1381
337,63,39,1,1381
338,63,19,1,1381
339,63,16,1,1381
