nokta_no,x,y,count,sezon_dakikasi
1,73,100,2,2573
2,73,94,5,2573
3,73,97,1,2573
4,73,61,1,2573
5,73,91,1,2573
6,73,95,2,2573
7,73,8,1,2573
8,73,79,2,2573
9,73,87,2,2573
10,73,85,1,2573
11,73,72,1,2573
12,73,93,1,2573
13,73,89,1,2573
14,37,100,3,2573
15,37,90,1,2573
16,37,87,3,2573
17,37,91,1,2573
18,37,67,1,2573
19,37,70,2,2573
20,37,66,1,2573
21,37,93,5,2573
22,37,81,1,2573
23,37,78,2,2573
24,37,89,1,2573
25,37,92,2,2573
26,37,82,1,2573
27,37,68,1,2573
28,37,80,1,2573
29,37,84,1,2573
30,58,98,1,2573
31,58,88,1,2573
32,58,95,2,2573
33,58,96,2,2573
34,58,92,6,2573
35,58,94,2,2573
36,58,100,1,2573
37,58,93,3,2573
38,58,97,1,2573
39,58,71,1,2573
40,58,80,1,2573
41,58,79,1,2573
42,58,81,1,2573
43,58,78,1,2573
44,58,40,1,2573
45,58,74,1,2573
46,58,70,1,2573
47,58,86,1,2573
48,58,83,1,2573
49,58,68,1,2573
50,20,87,1,2573
51,20,100,2,2573
52,20,84,1,2573
53,20,92,2,2573
54,20,97,2,2573
55,20,88,1,2573
56,20,51,1,2573
57,20,62,1,2573
58,20,91,1,2573
59,20,85,1,2573
60,20,89,1,2573
61,20,53,1,2573
62,20,95,1,2573
63,20,94,1,2573
64,20,68,1,2573
65,20,67,2,2573
66,21,83,2,2573
67,21,96,1,2573
68,21,85,2,2573
69,21,100,2,2573
70,21,64,2,2573
71,21,84,2,2573
72,21,92,3,2573
73,21,65,1,2573
74,21,94,1,2573
75,21,87,1,2573
76,21,91,1,2573
77,21,73,2,2573
78,21,82,1,2573
79,21,90,1,2573
80,21,78,2,2573
81,21,75,1,2573
82,21,89,2,2573
83,21,81,1,2573
84,97,79,1,2573
85,97,100,1,2573
86,97,57,1,2573
87,97,82,1,2573
88,97,78,1,2573
89,97,42,1,2573
90,97,66,2,2573
91,97,62,2,2573
92,97,94,1,2573
93,97,92,1,2573
94,97,72,1,2573
95,97,85,1,2573
96,97,91,1,2573
97,99,99,61,2573
98,99,0,13,2573
99,99,22,1,2573
100,51,91,1,2573
101,51,60,1,2573
102,51,100,2,2573
103,51,55,1,2573
104,51,81,1,2573
105,51,92,3,2573
106,51,96,2,2573
107,51,90,1,2573
108,51,94,1,2573
109,51,89,2,2573
110,51,65,1,2573
111,51,88,1,2573
112,51,85,1,2573
113,51,93,2,2573
114,52,91,4,2573
115,52,1,1,2573
116,52,95,1,2573
117,52,96,2,2573
118,52,93,2,2573
119,52,88,1,2573
120,52,65,1,2573
121,52,59,1,2573
122,52,83,1,2573
123,52,100,1,2573
124,52,87,1,2573
125,52,74,1,2573
126,52,77,1,2573
127,52,76,1,2573
128,45,100,4,2573
129,45,95,3,2573
130,45,76,1,2573
131,45,91,1,2573
132,45,97,1,2573
133,45,99,1,2573
134,45,94,1,2573
135,45,88,1,2573
136,45,93,4,2573
137,45,84,1,2573
138,45,64,2,2573
139,45,67,1,2573
140,45,74,1,2573
141,45,92,1,2573
142,45,72,2,2573
143,45,90,2,2573
144,45,63,1,2573
145,45,83,1,2573
146,45,68,1,2573
147,45,89,1,2573
148,45,71,1,2573
149,16,94,1,2573
150,16,90,1,2573
151,16,87,3,2573
152,16,96,1,2573
153,16,100,2,2573
154,16,98,1,2573
155,16,75,1,2573
156,16,92,3,2573
157,16,84,1,2573
158,16,91,1,2573
159,16,71,1,2573
160,27,86,3,2573
161,27,96,4,2573
162,27,81,1,2573
163,27,91,1,2573
164,27,95,3,2573
165,27,100,4,2573
166,27,92,4,2573
167,27,89,4,2573
168,27,68,1,2573
169,27,80,1,2573
170,27,93,2,2573
171,27,84,1,2573
172,27,85,2,2573
173,27,72,1,2573
174,27,75,1,2573
175,27,77,1,2573
176,27,79,1,2573
177,27,94,1,2573
178,27,71,1,2573
179,27,61,1,2573
180,27,76,2,2573
181,27,88,1,2573
182,15,82,1,2573
183,15,85,1,2573
184,15,83,1,2573
185,15,80,2,2573
186,15,90,2,2573
187,15,89,4,2573
188,15,100,2,2573
189,15,97,1,2573
190,15,73,1,2573
191,15,45,1,2573
192,15,88,2,2573
193,15,86,2,2573
194,15,52,1,2573
195,15,93,2,2573
196,15,95,1,2573
197,15,70,1,2573
198,15,76,1,2573
199,92,88,2,2573
200,92,100,2,2573
201,92,68,1,2573
202,92,90,1,2573
203,92,86,2,2573
204,92,91,2,2573
205,92,83,3,2573
206,92,81,1,2573
207,92,85,1,2573
208,92,75,1,2573
209,92,92,1,2573
210,63,96,4,2573
211,63,13,1,2573
212,63,97,1,2573
213,63,90,1,2573
214,63,85,3,2573
215,63,92,1,2573
216,63,87,1,2573
217,63,84,4,2573
218,63,91,3,2573
219,63,86,1,2573
220,63,93,1,2573
221,63,100,6,2573
222,63,78,2,2573
223,63,94,2,2573
224,63,95,2,2573
225,63,68,2,2573
226,63,52,1,2573
227,43,59,1,2573
228,43,81,3,2573
229,43,60,1,2573
230,43,68,2,2573
231,43,85,1,2573
232,43,88,3,2573
233,43,84,1,2573
234,43,93,4,2573
235,43,83,1,2573
236,43,77,2,2573
237,43,82,2,2573
238,43,97,1,2573
239,43,51,1,2573
240,43,54,1,2573
241,43,89,3,2573
242,43,74,1,2573
243,43,96,1,2573
244,43,100,2,2573
245,43,76,1,2573
246,43,87,1,2573
247,43,73,1,2573
248,43,80,1,2573
249,43,67,1,2573
250,43,90,2,2573
251,43,91,1,2573
252,43,78,1,2573
253,35,75,1,2573
254,35,100,5,2573
255,35,94,2,2573
256,35,89,4,2573
257,35,95,1,2573
258,35,79,1,2573
259,35,92,2,2573
260,35,61,1,2573
261,35,73,1,2573
262,35,88,2,2573
263,35,91,1,2573
264,35,80,1,2573
265,35,96,1,2573
266,35,87,1,2573
267,35,76,1,2573
268,35,90,1,2573
269,35,71,1,2573
270,35,82,1,2573
271,35,84,1,2573
272,59,98,1,2573
273,59,85,1,2573
274,59,96,8,2573
275,59,100,3,2573
276,59,97,2,2573
277,59,87,1,2573
278,59,92,4,2573
279,59,82,2,2573
280,59,90,2,2573
281,59,70,1,2573
282,59,94,2,2573
283,59,83,2,2573
284,59,68,1,2573
285,59,76,1,2573
286,59,88,1,2573
287,59,73,1,2573
288,59,84,1,2573
289,59,80,1,2573
290,86,72,1,2573
291,86,100,7,2573
292,86,94,2,2573
293,86,93,2,2573
294,86,91,2,2573
295,86,97,1,2573
296,86,88,2,2573
297,86,75,1,2573
298,86,65,1,2573
299,86,92,3,2573
300,86,90,1,2573
301,86,0,1,2573
302,86,47,1,2573
303,86,96,1,2573
304,76,96,3,2573
305,76,92,2,2573
306,76,100,3,2573
307,76,90,1,2573
308,76,69,1,2573
309,76,75,1,2573
310,76,77,1,2573
311,76,80,1,2573
312,76,95,1,2573
313,76,73,1,2573
314,76,88,1,2573
315,76,67,1,2573
316,76,94,1,2573
317,76,64,1,2573
318,36,88,1,2573
319,36,94,3,2573
320,36,100,2,2573
321,36,81,2,2573
322,36,79,2,2573
323,36,6,1,2573
324,36,85,4,2573
325,36,90,1,2573
326,36,83,2,2573
327,36,95,2,2573
328,36,84,1,2573
329,36,89,1,2573
330,36,67,1,2573
331,36,78,2,2573
332,36,68,1,2573
333,36,92,3,2573
334,36,82,2,2573
335,36,65,1,2573
336,36,96,2,2573
337,36,80,1,2573
338,36,93,1,2573
339,42,95,1,2573
340,42,86,2,2573
341,42,75,1,2573
342,42,91,4,2573
343,42,84,1,2573
344,42,82,1,2573
345,42,89,1,2573
346,42,92,3,2573
347,42,64,1,2573
348,42,97,1,2573
349,42,93,2,2573
350,42,96,1,2573
351,42,77,1,2573
352,42,68,1,2573
353,42,88,1,2573
354,42,81,1,2573
355,42,67,1,2573
356,42,74,1,2573
357,42,79,1,2573
358,42,94,1,2573
359,42,57,1,2573
360,41,83,1,2573
361,41,93,1,2573
362,41,86,2,2573
363,41,94,3,2573
364,41,70,1,2573
365,41,80,2,2573
366,41,90,2,2573
367,41,91,2,2573
368,41,100,2,2573
