nokta_no,x,y,count,sezon_dakikasi
1,7,88,2,1435
2,7,58,1,1435
3,7,37,2,1435
4,7,29,1,1435
5,7,53,1,1435
6,7,45,1,1435
7,7,56,1,1435
8,7,48,1,1435
9,70,70,1,1435
10,70,95,1,1435
11,70,85,1,1435
12,70,84,2,1435
13,70,71,1,1435
14,70,72,1,1435
15,54,76,2,1435
16,54,16,1,1435
17,54,51,1,1435
18,54,97,1,1435
19,54,83,1,1435
20,54,64,1,1435
21,54,29,1,1435
22,54,28,1,1435
23,54,36,1,1435
24,54,49,1,1435
25,54,85,1,1435
26,54,12,1,1435
27,54,84,1,1435
28,54,56,1,1435
29,54,59,1,1435
30,85,76,1,1435
31,85,40,1,1435
32,49,68,1,1435
33,49,47,1,1435
34,49,32,1,1435
35,49,72,1,1435
36,49,80,1,1435
37,73,88,1,1435
38,73,41,1,1435
39,73,75,1,1435
40,73,93,1,1435
41,62,70,1,1435
42,62,81,1,1435
43,62,71,1,1435
44,62,66,2,1435
45,91,26,1,1435
46,91,29,1,1435
47,91,50,1,1435
48,91,56,1,1435
49,91,40,1,1435
50,59,91,1,1435
51,59,40,1,1435
52,59,88,1,1435
53,59,67,1,1435
54,59,70,1,1435
55,59,11,1,1435
56,59,65,1,1435
57,59,18,1,1435
58,59,87,2,1435
59,59,92,1,1435
60,59,60,1,1435
61,59,71,1,1435
62,61,90,1,1435
63,61,94,1,1435
64,61,86,1,1435
65,61,76,1,1435
66,61,62,1,1435
67,55,92,1,1435
68,55,73,1,1435
69,55,25,1,1435
70,55,68,2,1435
71,55,65,1,1435
72,55,62,1,1435
73,55,53,1,1435
74,55,75,1,1435
75,55,52,1,1435
76,55,93,1,1435
77,75,47,1,1435
78,75,46,1,1435
79,75,49,1,1435
80,75,28,1,1435
81,75,59,1,1435
82,75,79,1,1435
83,75,54,1,1435
84,75,78,1,1435
85,75,69,1,1435
86,75,91,1,1435
87,75,92,1,1435
88,75,58,1,1435
89,24,33,1,1435
90,24,68,1,1435
91,24,5,1,1435
92,24,91,1,1435
93,24,65,1,1435
94,24,40,1,1435
95,24,32,2,1435
96,24,38,1,1435
97,24,13,1,1435
98,24,45,1,1435
99,24,31,1,1435
100,24,22,2,1435
101,24,48,1,1435
102,24,36,1,1435
103,24,54,1,1435
104,24,76,1,1435
105,24,90,1,1435
106,67,58,1,1435
107,67,80,1,1435
108,67,85,3,1435
109,67,75,1,1435
110,67,61,2,1435
111,67,94,1,1435
112,67,77,1,1435
113,76,63,1,1435
114,76,9,1,1435
115,76,30,1,1435
116,76,77,1,1435
117,76,73,1,1435
118,76,49,1,1435
119,37,95,1,1435
120,37,69,3,1435
121,37,40,1,1435
122,37,43,1,1435
123,37,16,1,1435
124,37,62,1,1435
125,37,36,1,1435
126,37,77,1,1435
127,37,65,1,1435
128,37,21,1,1435
129,37,72,2,1435
130,37,25,1,1435
131,37,33,1,1435
132,37,38,1,1435
133,37,50,1,1435
134,37,57,1,1435
135,37,70,1,1435
136,37,79,1,1435
137,29,34,1,1435
138,29,66,1,1435
139,29,36,1,1435
140,29,49,1,1435
141,29,61,1,1435
142,29,67,1,1435
143,29,32,1,1435
144,29,95,1,1435
145,29,8,1,1435
146,29,59,1,1435
147,29,3,1,1435
148,29,29,1,1435
149,29,21,1,1435
150,29,75,1,1435
151,29,73,1,1435
152,29,81,1,1435
153,26,44,1,1435
154,26,69,2,1435
155,26,95,1,1435
156,26,32,1,1435
157,26,13,1,1435
158,26,30,1,1435
159,26,12,1,1435
160,26,84,1,1435
161,26,59,1,1435
162,26,35,3,1435
163,26,23,2,1435
164,26,21,1,1435
165,26,33,1,1435
166,26,60,1,1435
167,26,88,1,1435
168,26,62,1,1435
169,26,22,1,1435
