nokta_no,x,y,count,sezon_dakikasi
1,85,11,2,1487
2,85,81,1,1487
3,85,49,1,1487
4,85,57,1,1487
5,85,32,1,1487
6,85,13,1,1487
7,85,29,1,1487
8,85,8,1,1487
9,85,69,1,1487
10,85,87,1,1487
11,85,43,1,1487
12,67,82,1,1487
13,67,58,1,1487
14,67,89,1,1487
15,67,87,1,1487
16,67,30,2,1487
17,67,46,1,1487
18,67,95,1,1487
19,67,6,1,1487
20,67,35,1,1487
21,67,7,1,1487
22,67,15,2,1487
23,67,23,1,1487
24,67,22,1,1487
25,67,68,1,1487
26,67,74,1,1487
27,67,53,1,1487
28,67,50,1,1487
29,67,73,1,1487
30,67,49,1,1487
31,67,62,1,1487
32,67,45,1,1487
33,67,39,1,1487
34,67,85,1,1487
35,71,75,1,1487
36,71,6,1,1487
37,71,25,1,1487
38,71,27,1,1487
39,71,92,1,1487
40,71,76,1,1487
41,71,91,1,1487
42,71,45,1,1487
43,71,49,1,1487
44,71,73,1,1487
45,71,37,1,1487
46,71,44,1,1487
47,71,12,1,1487
48,71,65,1,1487
49,71,30,1,1487
50,71,39,1,1487
51,71,68,1,1487
52,71,40,1,1487
53,48,17,1,1487
54,48,56,1,1487
55,48,63,1,1487
56,48,59,1,1487
57,48,35,1,1487
58,48,42,1,1487
59,48,31,1,1487
60,48,34,1,1487
61,48,83,1,1487
62,57,89,1,1487
63,57,31,1,1487
64,57,58,1,1487
65,57,82,2,1487
66,57,65,1,1487
67,57,80,1,1487
68,57,78,1,1487
69,57,87,2,1487
70,57,77,1,1487
71,57,52,2,1487
72,57,35,1,1487
73,57,27,1,1487
74,57,74,1,1487
75,57,41,1,1487
76,57,37,1,1487
77,57,36,1,1487
78,57,24,1,1487
79,57,34,1,1487
80,57,64,1,1487
81,57,16,2,1487
82,57,79,2,1487
83,57,8,1,1487
84,60,59,1,1487
85,60,37,1,1487
86,60,75,1,1487
87,60,98,1,1487
88,60,78,1,1487
89,60,61,1,1487
90,60,25,3,1487
91,60,7,1,1487
92,60,66,1,1487
93,60,39,2,1487
94,60,67,1,1487
95,60,16,1,1487
96,60,71,1,1487
97,60,96,1,1487
98,60,36,1,1487
99,60,73,1,1487
100,60,8,1,1487
101,60,85,1,1487
102,63,68,2,1487
103,63,23,1,1487
104,63,7,1,1487
105,63,56,1,1487
106,63,88,1,1487
107,63,72,1,1487
108,63,84,2,1487
109,63,16,1,1487
110,63,90,2,1487
111,63,14,2,1487
112,63,36,1,1487
113,63,38,1,1487
114,63,79,1,1487
115,63,27,2,1487
116,63,3,1,1487
117,63,82,1,1487
118,63,13,1,1487
119,63,91,1,1487
120,63,22,1,1487
121,63,83,1,1487
122,63,62,1,1487
123,63,20,1,1487
124,66,58,2,1487
125,66,70,1,1487
126,66,52,1,1487
127,66,72,1,1487
128,66,64,1,1487
129,66,66,1,1487
130,66,56,1,1487
131,66,91,2,1487
132,66,23,1,1487
133,66,17,1,1487
134,66,27,1,1487
135,66,36,1,1487
136,66,7,1,1487
137,66,24,1,1487
138,66,63,1,1487
139,66,65,1,1487
140,66,32,1,1487
141,66,82,1,1487
142,66,59,2,1487
143,66,3,1,1487
144,66,57,1,1487
145,66,35,1,1487
146,66,19,1,1487
147,66,2,1,1487
148,66,41,1,1487
149,66,69,1,1487
150,66,77,1,1487
151,66,44,1,1487
152,66,29,1,1487
153,46,22,1,1487
154,46,83,1,1487
155,46,92,1,1487
156,46,88,1,1487
157,46,31,1,1487
158,46,45,1,1487
159,46,72,1,1487
160,46,55,1,1487
161,46,48,1,1487
162,46,68,1,1487
163,46,63,1,1487
164,46,65,1,1487
165,46,51,1,1487
166,46,25,1,1487
167,46,43,2,1487
168,46,47,1,1487
169,46,27,1,1487
170,46,38,1,1487
171,46,23,1,1487
172,46,28,1,1487
173,46,35,1,1487
174,44,25,1,1487
175,44,57,1,1487
176,44,73,1,1487
177,44,39,1,1487
178,44,80,1,1487
179,44,46,1,1487
180,44,85,1,1487
181,44,66,1,1487
182,44,38,1,1487
183,44,51,1,1487
184,44,92,1,1487
185,44,32,1,1487
186,44,2,1,1487
187,44,52,1,1487
188,44,44,1,1487
189,79,61,1,1487
190,79,100,1,1487
191,79,85,1,1487
192,79,12,1,1487
193,79,15,1,1487
194,79,6,1,1487
195,79,71,1,1487
196,77,31,1,1487
197,77,75,2,1487
198,77,55,1,1487
199,77,63,1,1487
200,77,59,1,1487
201,77,57,2,1487
202,77,13,1,1487
203,77,78,1,1487
204,77,74,1,1487
205,77,19,1,1487
206,83,28,1,1487
207,83,51,1,1487
208,83,72,1,1487
209,83,57,1,1487
210,83,70,1,1487
211,83,91,1,1487
212,37,22,1,1487
213,37,43,1,1487
214,37,95,1,1487
215,37,90,1,1487
216,37,69,1,1487
217,37,58,1,1487
218,37,67,1,1487
219,37,70,1,1487
220,37,61,1,1487
221,37,91,1,1487
222,37,26,1,1487
223,37,27,1,1487
224,37,25,1,1487
225,37,39,1,1487
226,37,42,1,1487
227,37,55,1,1487
228,37,71,1,1487
229,27,93,3,1487
230,27,20,1,1487
231,27,27,1,1487
232,27,52,1,1487
233,27,69,1,1487
234,27,80,1,1487
235,27,65,1,1487
236,27,62,1,1487
237,27,41,1,1487
238,27,74,1,1487
239,27,77,1,1487
240,27,51,1,1487
241,27,23,1,1487
242,27,24,1,1487
243,27,11,1,1487
244,27,90,1,1487
245,27,43,1,1487
246,27,31,1,1487
247,27,2,1,1487
248,24,96,2,1487
249,24,42,2,1487
