nokta_no,x,y,count,sezon_dakikasi
1,39,12,1,1644
2,39,9,2,1644
3,39,6,2,1644
4,39,3,1,1644
5,39,17,1,1644
6,39,8,1,1644
7,39,5,1,1644
8,39,10,1,1644
9,39,18,1,1644
10,39,14,1,1644
11,39,4,1,1644
12,39,26,1,1644
13,36,3,2,1644
14,36,14,1,1644
15,36,0,1,1644
16,36,40,1,1644
17,36,20,1,1644
18,36,93,1,1644
19,35,11,1,1644
20,35,14,1,1644
21,35,9,1,1644
22,35,96,1,1644
23,35,47,1,1644
24,35,53,1,1644
25,35,23,1,1644
26,35,39,1,1644
27,35,8,1,1644
28,54,14,1,1644
29,54,10,2,1644
30,54,7,1,1644
31,54,22,3,1644
32,54,18,2,1644
33,54,0,1,1644
34,54,27,1,1644
35,54,97,1,1644
36,54,21,1,1644
37,54,31,1,1644
38,54,58,1,1644
39,54,4,1,1644
40,54,20,1,1644
41,54,43,1,1644
42,53,15,1,1644
43,53,7,1,1644
44,53,3,2,1644
45,53,9,1,1644
46,53,42,1,1644
47,53,6,1,1644
48,53,41,1,1644
49,53,19,2,1644
50,53,73,1,1644
51,53,10,1,1644
52,53,23,1,1644
53,65,20,1,1644
54,65,80,1,1644
55,65,6,2,1644
56,65,63,1,1644
57,65,9,1,1644
58,65,8,1,1644
59,65,83,1,1644
60,65,25,1,1644
61,65,89,1,1644
62,65,28,1,1644
63,65,10,1,1644
64,65,24,1,1644
65,65,5,2,1644
66,65,7,1,1644
67,65,12,2,1644
68,65,21,1,1644
69,65,3,1,1644
70,34,19,1,1644
71,34,12,2,1644
72,34,6,1,1644
73,34,5,2,1644
74,34,33,1,1644
75,34,96,2,1644
76,34,40,1,1644
77,34,70,1,1644
78,34,9,1,1644
79,34,55,1,1644
80,21,8,1,1644
81,21,48,1,1644
82,21,41,1,1644
83,21,70,1,1644
84,21,34,1,1644
85,21,33,1,1644
86,21,17,1,1644
87,18,44,1,1644
88,18,7,1,1644
89,18,48,2,1644
90,18,43,1,1644
91,18,10,1,1644
92,18,8,1,1644
93,18,32,1,1644
94,18,53,2,1644
95,18,9,1,1644
96,11,26,1,1644
97,11,33,1,1644
98,11,28,1,1644
99,11,34,1,1644
100,11,10,1,1644
101,33,5,1,1644
102,33,16,2,1644
103,33,20,1,1644
104,33,1,1,1644
105,33,19,1,1644
106,33,29,2,1644
107,33,54,1,1644
108,33,49,1,1644
109,33,4,1,1644
110,33,2,1,1644
111,77,19,1,1644
112,77,34,1,1644
113,77,29,1,1644
114,77,12,1,1644
115,77,17,1,1644
116,77,33,1,1644
117,77,5,1,1644
118,32,13,2,1644
119,32,7,1,1644
120,32,4,1,1644
121,32,55,1,1644
122,32,43,1,1644
123,32,25,1,1644
124,32,82,1,1644
125,32,53,1,1644
126,32,8,1,1644
127,64,12,1,1644
128,64,0,1,1644
129,64,23,1,1644
130,64,3,3,1644
131,64,9,2,1644
132,64,8,1,1644
133,64,21,2,1644
134,64,26,1,1644
135,64,97,1,1644
136,64,25,2,1644
137,64,39,1,1644
138,64,5,2,1644
139,64,18,1,1644
140,64,4,2,1644
141,64,82,1,1644
142,68,5,2,1644
143,68,31,1,1644
144,68,13,1,1644
145,68,3,1,1644
146,68,21,1,1644
147,68,1,2,1644
148,68,40,1,1644
149,68,9,2,1644
150,68,23,1,1644
151,68,6,1,1644
152,68,68,1,1644
153,68,11,1,1644
154,71,10,2,1644
155,71,0,2,1644
156,71,3,1,1644
157,71,35,1,1644
158,71,39,1,1644
159,71,33,1,1644
160,71,25,1,1644
161,71,92,1,1644
162,71,2,1,1644
163,71,6,1,1644
164,71,28,1,1644
165,71,4,1,1644
166,71,24,1,1644
167,71,5,3,1644
168,71,21,1,1644
169,71,15,1,1644
170,71,9,1,1644
171,1,5,1,1644
172,43,13,1,1644
173,43,11,1,1644
174,43,4,1,1644
175,43,8,2,1644
176,43,7,1,1644
177,43,31,2,1644
178,43,5,1,1644
179,43,46,1,1644
180,43,14,1,1644
181,43,18,1,1644
182,52,10,1,1644
183,52,6,3,1644
184,52,9,1,1644
185,52,2,1,1644
186,52,43,1,1644
187,52,85,1,1644
188,52,47,1,1644
189,52,8,2,1644
190,52,50,1,1644
191,52,3,1,1644
192,52,0,1,1644
193,52,25,1,1644
194,52,75,1,1644
195,55,16,1,1644
196,55,3,1,1644
197,55,36,1,1644
198,55,4,2,1644
199,55,9,1,1644
200,55,78,1,1644
201,55,94,1,1644
202,55,28,1,1644
203,55,18,1,1644
204,55,2,1,1644
205,38,26,1,1644
206,38,7,1,1644
207,38,8,1,1644
208,38,0,1,1644
209,38,9,1,1644
210,38,6,2,1644
211,38,91,1,1644
212,38,27,1,1644
213,38,18,1,1644
214,38,90,1,1644
215,38,15,1,1644
216,38,11,2,1644
217,41,13,1,1644
218,41,12,1,1644
219,41,14,1,1644
220,41,7,2,1644
221,41,96,1,1644
222,41,27,1,1644
223,41,68,1,1644
224,41,5,2,1644
225,41,34,1,1644
226,41,4,1,1644
227,41,32,1,1644
228,41,8,1,1644
229,40,9,2,1644
230,40,14,1,1644
231,40,2,1,1644
232,40,7,2,1644
233,40,19,1,1644
234,40,22,1,1644
235,40,15,1,1644
236,40,17,1,1644
237,40,57,1,1644
238,40,4,1,1644
239,24,38,1,1644
240,24,18,1,1644
241,24,10,2,1644
242,24,27,1,1644
243,24,0,1,1644
244,24,63,1,1644
245,24,39,1,1644
246,24,9,1,1644
247,24,46,1,1644
248,24,5,1,1644
249,24,41,1,1644
250,24,31,1,1644
251,24,1,1,1644
252,23,38,1,1644
253,23,30,1,1644
254,23,100,1,1644
255,23,2,1,1644
256,23,26,1,1644
257,23,12,1,1644
258,30,11,1,1644
259,30,31,1,1644
260,30,4,1,1644
261,30,8,1,1644
262,30,9,1,1644
263,30,0,1,1644
264,30,41,1,1644
265,30,6,1,1644
266,30,49,2,1644
267,30,66,2,1644
268,30,95,1,1644
269,30,15,1,1644
270,30,7,2,1644
271,30,48,1,1644
272,19,41,1,1644
273,19,0,1,1644
274,19,8,1,1644
275,19,85,2,1644
276,19,10,2,1644
277,19,7,1,1644
278,19,5,1,1644
279,6,14,1,1644
280,6,22,1,1644
281,6,10,1,1644
282,6,60,1,1644
283,6,89,1,1644
284,6,76,1,1644
285,6,18,1,1644
286,6,6,1,1644
287,7,10,1,1644
288,7,2,1,1644
289,7,73,1,1644
290,7,9,1,1644
291,7,25,1,1644
292,9,5,2,1644
293,9,23,1,1644
294,9,36,1,1644
295,9,41,2,1644
296,9,73,1,1644
297,9,25,1,1644
298,12,10,2,1644
299,12,38,1,1644
300,12,13,1,1644
301,12,14,1,1644
302,12,87,1,1644
303,12,42,1,1644
304,12,12,1,1644
305,75,9,1,1644
306,75,7,2,1644
307,75,5,1,1644
308,75,78,1,1644
309,75,3,1,1644
310,75,4,1,1644
311,75,24,1,1644
312,75,0,1,1644
313,75,36,1,1644
314,75,45,1,1644
315,75,8,1,1644
316,56,7,1,1644
317,56,4,1,1644
318,56,76,1,1644
319,56,15,1,1644
320,56,61,1,1644
321,56,26,1,1644
322,56,16,1,1644
323,56,81,1,1644
324,56,0,1,1644
325,56,31,1,1644
326,56,3,1,1644
327,56,23,1,1644
328,56,29,1,1644
329,56,14,1,1644
330,63,0,1,1644
331,63,4,2,1644
332,63,6,1,1644
333,63,24,2,1644
334,63,80,2,1644
335,63,19,1,1644
336,63,91,1,1644
337,63,7,1,1644
338,63,14,1,1644
339,63,8,1,1644
340,63,2,1,1644
341,63,10,1,1644
342,63,9,2,1644
343,63,29,1,1644
344,63,21,2,1644
345,5,44,1,1644
346,5,20,1,1644
347,5,38,1,1644
348,5,46,1,1644
349,5,77,1,1644
350,5,26,1,1644
351,5,2,1,1644
352,5,28,1,1644
353,76,11,1,1644
354,76,3,1,1644
355,76,56,1,1644
356,76,21,1,1644
357,76,4,3,1644
358,76,1,1,1644
359,76,39,1,1644
360,60,12,1,1644
361,60,0,1,1644
362,60,18,1,1644
363,60,41,1,1644
364,60,2,1,1644
365,60,64,1,1644
366,60,60,1,1644
367,60,23,1,1644
368,60,29,1,1644
369,60,26,1,1644
370,60,20,1,1644
371,60,6,1,1644
372,45,7,1,1644
373,45,12,1,1644
374,45,3,1,1644
375,45,8,1,1644
376,45,24,1,1644
377,45,16,2,1644
378,45,26,2,1644
379,45,72,1,1644
380,45,53,1,1644
381,45,52,1,1644
382,45,5,1,1644
383,45,55,1,1644
384,45,20,1,1644
385,45,45,1,1644
386,84,0,1,1644
387,84,7,1,1644
388,84,4,2,1644
389,84,12,1,1644
390,84,98,1,1644
391,84,32,1,1644
392,84,9,1,1644
393,84,17,1,1644
394,84,34,1,1644
395,84,13,1,1644
396,84,6,2,1644
397,84,11,1,1644
398,84,8,1,1644
399,72,2,1,1644
400,72,36,1,1644
401,72,14,2,1644
402,72,8,2,1644
403,72,4,3,1644
404,72,39,1,1644
405,72,25,2,1644
406,72,45,1,1644
407,72,32,1,1644
408,72,50,1,1644
409,72,5,4,1644
410,72,48,1,1644
411,72,42,1,1644
412,72,55,1,1644
413,72,31,1,1644
414,72,9,1,1644
415,72,38,1,1644
416,72,33,1,1644
417,72,56,1,1644
418,47,14,1,1644
419,47,13,1,1644
420,47,3,1,1644
421,47,15,1,1644
422,47,40,1,1644
423,47,19,1,1644
424,47,8,1,1644
425,47,46,1,1644
426,83,0,1,1644
427,83,8,1,1644
428,83,31,1,1644
429,83,43,1,1644
430,83,17,1,1644
431,83,4,1,1644
432,83,6,1,1644
433,89,4,1,1644
434,89,13,1,1644
435,89,28,2,1644
436,89,10,1,1644
437,89,6,1,1644
438,89,18,1,1644
439,89,52,1,1644
440,89,27,1,1644
441,89,7,1,1644
442,89,26,1,1644
443,89,14,1,1644
444,14,6,2,1644
445,14,29,1,1644
446,14,37,1,1644
447,14,81,1,1644
448,14,4,1,1644
449,26,52,1,1644
450,26,5,1,1644
451,26,4,1,1644
452,26,2,1,1644
453,26,8,1,1644
454,26,33,1,1644
455,26,7,1,1644
456,26,46,1,1644
457,26,74,1,1644
458,26,86,1,1644
459,26,55,2,1644
460,26,6,1,1644
461,74,0,1,1644
462,74,9,2,1644
463,74,5,2,1644
464,74,22,1,1644
465,74,30,1,1644
466,74,54,1,1644
467,74,48,1,1644
468,74,15,1,1644
469,74,7,1,1644
470,74,37,1,1644
471,74,38,1,1644
472,74,18,1,1644
473,74,45,1,1644
474,70,0,2,1644
475,70,100,1,1644
476,70,97,1,1644
477,70,93,1,1644
478,70,8,1,1644
479,70,18,1,1644
480,70,17,1,1644
481,70,10,1,1644
482,70,37,1,1644
483,70,31,1,1644
484,70,7,2,1644
485,70,34,1,1644
486,70,4,1,1644
487,70,52,1,1644
488,70,30,1,1644
489,42,15,2,1644
490,42,16,2,1644
491,42,35,2,1644
492,42,3,1,1644
493,42,81,1,1644
494,42,74,1,1644
495,42,67,1,1644
496,42,8,1,1644
497,42,4,1,1644
498,42,14,1,1644
499,42,5,2,1644
500,42,2,1,1644
501,42,93,1,1644
502,20,10,1,1644
503,20,65,1,1644
504,20,72,1,1644
505,20,31,1,1644
506,20,17,1,1644
507,20,23,1,1644
508,61,3,1,1644
509,61,7,1,1644
510,61,4,3,1644
511,61,23,1,1644
512,61,0,2,1644
513,61,18,1,1644
514,61,88,1,1644
515,61,30,1,1644
516,61,5,2,1644
517,61,9,1,1644
518,61,6,1,1644
519,61,37,1,1644
520,61,11,1,1644
521,90,31,1,1644
522,90,9,1,1644
523,90,23,1,1644
524,90,6,1,1644
525,90,11,2,1644
526,90,39,1,1644
527,90,25,1,1644
528,90,4,1,1644
529,90,42,1,1644
530,90,10,1,1644
531,90,7,1,1644
532,90,0,1,1644
533,90,52,1,1644
534,88,5,2,1644
535,88,12,1,1644
536,88,47,1,1644
537,88,7,1,1644
538,88,62,1,1644
539,93,27,1,1644
540,93,43,1,1644
541,93,36,1,1644
542,93,5,1,1644
543,93,0,1,1644
544,94,29,1,1644
545,94,95,1,1644
546,94,19,1,1644
547,94,49,1,1644
548,94,26,1,1644
549,94,91,1,1644
550,94,25,1,1644
551,94,45,1,1644
552,73,9,1,1644
553,73,26,1,1644
554,73,4,2,1644
555,73,33,1,1644
556,73,62,1,1644
557,73,7,2,1644
558,73,23,1,1644
559,73,5,1,1644
560,73,3,1,1644
561,73,38,1,1644
562,73,14,1,1644
563,73,6,1,1644
564,73,8,1,1644
565,73,13,1,1644
566,73,44,1,1644
567,16,4,2,1644
568,16,19,1,1644
569,16,13,1,1644
570,16,3,3,1644
571,16,85,1,1644
572,16,30,1,1644
573,16,11,1,1644
574,16,14,1,1644
575,46,8,1,1644
576,46,4,2,1644
577,46,3,1,1644
578,46,78,1,1644
579,46,25,1,1644
580,46,32,1,1644
581,46,18,1,1644
582,22,20,1,1644
583,22,6,1,1644
584,22,38,1,1644
585,22,21,2,1644
586,22,43,1,1644
587,22,4,1,1644
588,87,6,1,1644
589,87,34,1,1644
590,87,12,1,1644
591,87,0,1,1644
592,87,31,1,1644
593,87,8,1,1644
594,87,18,1,1644
595,87,21,1,1644
596,80,24,2,1644
597,80,8,1,1644
598,80,4,1,1644
599,80,22,1,1644
600,80,14,1,1644
601,80,32,1,1644
602,80,11,1,1644
603,80,34,1,1644
604,80,13,1,1644
605,15,40,2,1644
606,15,36,1,1644
607,15,87,1,1644
608,15,8,1,1644
609,15,4,1,1644
610,15,19,1,1644
611,31,15,3,1644
612,31,5,3,1644
613,31,26,1,1644
614,31,27,1,1644
615,31,90,1,1644
616,31,22,1,1644
617,31,7,1,1644
618,31,10,3,1644
619,31,75,1,1644
620,31,43,1,1644
621,69,36,1,1644
622,69,15,1,1644
623,69,10,2,1644
624,69,6,2,1644
625,69,42,1,1644
626,69,29,1,1644
627,69,20,1,1644
628,69,22,1,1644
629,69,18,1,1644
630,69,0,1,1644
631,69,31,2,1644
632,69,27,1,1644
633,69,64,1,1644
