nokta_no,x,y,count,sezon_dakikasi
1,36,66,2,3017
2,36,68,1,3017
3,36,85,2,3017
4,36,53,1,3017
5,36,84,3,3017
6,36,69,1,3017
7,36,70,1,3017
8,36,55,2,3017
9,36,37,1,3017
10,36,32,1,3017
11,36,19,2,3017
12,36,52,1,3017
13,36,88,1,3017
14,36,38,1,3017
15,36,16,1,3017
16,36,36,3,3017
17,36,57,1,3017
18,36,47,1,3017
19,36,30,1,3017
20,36,21,1,3017
21,36,73,2,3017
22,36,74,2,3017
23,36,82,1,3017
24,36,65,1,3017
25,36,89,1,3017
26,36,78,2,3017
27,36,76,1,3017
28,36,72,2,3017
29,36,62,1,3017
30,36,51,2,3017
31,36,67,1,3017
32,36,50,2,3017
33,36,91,1,3017
34,36,59,1,3017
35,36,61,1,3017
36,36,56,1,3017
37,36,77,1,3017
38,36,94,1,3017
39,30,32,1,3017
40,30,93,2,3017
41,30,70,3,3017
42,30,50,1,3017
43,30,34,1,3017
44,30,74,2,3017
45,30,76,2,3017
46,30,53,2,3017
47,30,55,1,3017
48,30,73,1,3017
49,30,65,2,3017
50,30,72,1,3017
51,30,75,2,3017
52,30,43,1,3017
53,30,69,4,3017
54,30,58,1,3017
55,30,46,1,3017
56,30,8,1,3017
57,30,47,2,3017
58,30,28,2,3017
59,30,71,1,3017
60,30,57,3,3017
61,30,88,1,3017
62,30,64,1,3017
63,30,37,1,3017
64,30,29,1,3017
65,30,96,1,3017
66,30,83,1,3017
67,30,66,1,3017
68,30,100,1,3017
69,30,86,1,3017
70,30,85,1,3017
71,30,68,1,3017
72,30,62,1,3017
73,30,56,2,3017
74,30,90,2,3017
75,30,78,1,3017
76,30,63,1,3017
77,30,67,1,3017
78,30,79,1,3017
79,30,52,1,3017
80,4,61,18,3017
81,4,59,8,3017
82,4,62,2,3017
83,4,49,3,3017
84,4,95,1,3017
85,4,55,1,3017
86,4,64,1,3017
87,4,57,3,3017
88,4,60,5,3017
89,4,47,1,3017
90,4,50,3,3017
91,4,40,2,3017
92,4,43,1,3017
93,4,96,1,3017
94,4,52,1,3017
95,4,89,1,3017
96,4,70,1,3017
97,4,44,1,3017
98,4,58,2,3017
99,4,38,1,3017
100,4,56,1,3017
101,4,67,1,3017
102,48,57,2,3017
103,48,75,2,3017
104,48,71,1,3017
105,48,46,2,3017
106,48,15,1,3017
107,48,69,1,3017
108,48,84,1,3017
109,48,56,1,3017
110,48,88,1,3017
111,48,89,1,3017
112,48,59,1,3017
113,48,67,1,3017
114,48,70,1,3017
115,47,67,1,3017
116,47,86,1,3017
117,47,49,1,3017
118,47,16,1,3017
119,47,43,1,3017
120,47,54,1,3017
121,47,30,1,3017
122,47,47,1,3017
123,47,69,2,3017
124,47,95,1,3017
125,47,46,2,3017
126,47,85,1,3017
127,47,75,1,3017
128,47,64,2,3017
129,47,72,1,3017
130,47,88,1,3017
131,47,66,1,3017
132,43,64,1,3017
133,43,69,1,3017
134,43,86,2,3017
135,43,62,1,3017
