nokta_no,x,y,count,sezon_dakikasi
1,37,97,1,1527
2,37,67,1,1527
3,37,72,1,1527
4,37,74,1,1527
5,37,95,1,1527
6,37,47,1,1527
7,37,70,1,1527
8,37,5,2,1527
9,37,85,2,1527
10,37,86,1,1527
11,37,78,2,1527
12,37,84,1,1527
13,37,90,1,1527
14,37,87,1,1527
15,37,26,1,1527
16,71,88,1,1527
17,71,99,1,1527
18,71,77,2,1527
19,71,79,1,1527
20,71,27,1,1527
21,71,28,1,1527
22,71,26,1,1527
23,71,33,1,1527
24,71,100,1,1527
25,71,64,2,1527
26,71,85,1,1527
27,71,72,1,1527
28,71,37,1,1527
29,71,30,1,1527
30,71,23,1,1527
31,71,12,1,1527
32,71,21,1,1527
33,65,100,4,1527
34,65,96,2,1527
35,65,43,1,1527
36,65,98,1,1527
37,65,86,1,1527
38,65,80,3,1527
39,65,94,2,1527
40,65,90,1,1527
41,65,37,1,1527
42,65,93,2,1527
43,65,87,1,1527
44,65,9,2,1527
45,65,8,2,1527
46,65,14,1,1527
47,65,62,1,1527
48,65,77,1,1527
49,65,7,1,1527
50,65,17,1,1527
51,65,28,2,1527
52,65,40,1,1527
53,65,38,1,1527
54,65,68,1,1527
55,65,52,1,1527
56,65,22,1,1527
57,65,33,1,1527
58,65,16,1,1527
59,65,10,1,1527
60,54,34,1,1527
61,54,83,1,1527
62,54,74,1,1527
63,54,76,1,1527
64,54,55,1,1527
65,54,70,2,1527
66,54,3,1,1527
67,54,72,1,1527
68,54,85,1,1527
69,54,89,1,1527
70,54,82,1,1527
71,54,95,1,1527
72,54,84,1,1527
73,54,88,1,1527
74,54,24,1,1527
75,54,92,1,1527
76,54,6,1,1527
77,54,42,1,1527
78,47,61,1,1527
79,47,48,2,1527
80,47,57,1,1527
81,47,79,1,1527
82,47,93,1,1527
83,47,69,1,1527
84,47,83,1,1527
85,47,60,1,1527
86,47,25,1,1527
87,10,87,1,1527
88,10,88,1,1527
89,10,37,1,1527
90,10,61,1,1527
91,10,92,2,1527
92,10,80,1,1527
93,10,74,1,1527
94,10,63,1,1527
95,10,51,1,1527
96,10,55,1,1527
97,10,73,1,1527
98,10,72,1,1527
99,10,29,1,1527
100,10,91,1,1527
101,10,46,1,1527
102,18,91,2,1527
103,18,59,1,1527
104,18,84,1,1527
105,18,85,2,1527
106,18,94,1,1527
107,18,93,1,1527
108,18,86,1,1527
109,18,71,1,1527
110,18,83,1,1527
111,18,36,1,1527
112,15,67,1,1527
113,15,88,1,1527
114,15,5,1,1527
115,15,7,1,1527
116,15,25,1,1527
117,15,28,1,1527
118,15,95,2,1527
119,15,77,1,1527
120,43,60,1,1527
121,43,50,1,1527
122,43,52,1,1527
123,43,91,1,1527
124,43,79,1,1527
125,43,4,1,1527
126,43,68,1,1527
127,43,8,1,1527
128,43,9,1,1527
129,43,63,1,1527
130,43,93,1,1527
131,43,96,1,1527
132,43,56,1,1527
133,40,32,1,1527
134,40,90,1,1527
135,40,92,1,1527
136,40,93,2,1527
137,40,79,1,1527
138,40,7,2,1527
139,40,36,1,1527
140,40,77,1,1527
141,40,96,1,1527
142,40,100,1,1527
143,40,81,2,1527
144,40,89,1,1527
145,40,67,1,1527
146,40,86,1,1527
147,40,27,1,1527
148,34,100,1,1527
149,34,85,2,1527
150,34,87,1,1527
151,34,3,1,1527
152,34,69,1,1527
153,34,7,2,1527
154,34,26,1,1527
155,34,46,1,1527
156,34,88,1,1527
157,34,86,2,1527
158,34,73,1,1527
159,34,75,1,1527
160,34,92,1,1527
161,34,32,1,1527
162,34,38,1,1527
163,34,47,1,1527
164,34,35,1,1527
165,78,87,1,1527
166,78,10,1,1527
167,78,24,1,1527
168,78,68,1,1527
169,78,6,1,1527
170,78,35,1,1527
171,78,30,1,1527
172,78,56,1,1527
173,78,14,1,1527
174,63,91,1,1527
175,63,93,2,1527
176,63,97,1,1527
177,63,89,1,1527
178,63,90,1,1527
179,63,36,2,1527
180,63,5,2,1527
181,63,55,1,1527
182,63,18,1,1527
183,63,12,2,1527
184,63,92,1,1527
185,63,73,1,1527
186,63,44,1,1527
187,63,16,1,1527
188,63,29,1,1527
189,63,10,1,1527
190,63,13,1,1527
191,36,93,1,1527
192,36,63,1,1527
193,36,96,1,1527
194,36,100,3,1527
195,36,29,1,1527
196,36,75,1,1527
197,36,1,1,1527
198,36,48,1,1527
199,36,2,1,1527
200,36,83,1,1527
201,36,92,1,1527
202,36,70,1,1527
203,36,88,1,1527
204,36,5,1,1527
205,36,19,1,1527
206,36,8,1,1527
207,62,95,3,1527
208,62,80,1,1527
209,62,55,1,1527
210,62,97,1,1527
211,62,35,1,1527
212,62,26,1,1527
213,62,12,1,1527
214,62,16,1,1527
215,62,59,1,1527
216,62,33,1,1527
217,62,41,1,1527
218,62,23,1,1527
219,62,27,1,1527
220,62,13,1,1527
221,62,3,1,1527
222,62,84,1,1527
223,62,93,1,1527
224,62,91,2,1527
225,62,77,1,1527
226,62,72,1,1527
227,62,85,1,1527
228,62,87,1,1527
229,62,88,1,1527
230,62,9,2,1527
231,62,6,1,1527
232,62,15,1,1527
233,62,18,2,1527
234,62,4,1,1527
235,62,8,1,1527
236,62,5,1,1527
237,64,94,2,1527
238,64,93,2,1527
239,64,96,1,1527
240,64,15,2,1527
241,64,100,1,1527
242,64,71,1,1527
243,64,65,1,1527
244,64,46,1,1527
245,64,5,1,1527
246,64,11,2,1527
247,64,70,1,1527
248,64,95,1,1527
