nokta_no,x,y,count,sezon_dakikasi
1,21,30,1,2214
2,21,15,1,2214
3,21,16,2,2214
4,21,0,1,2214
5,21,26,2,2214
6,21,33,2,2214
7,21,40,1,2214
8,21,24,1,2214
9,21,31,2,2214
10,21,9,1,2214
11,21,10,2,2214
12,21,37,1,2214
13,21,4,3,2214
14,21,56,1,2214
15,21,91,1,2214
16,51,0,2,2214
17,51,12,1,2214
18,51,11,1,2214
19,51,47,1,2214
20,51,16,1,2214
21,51,25,1,2214
22,51,4,3,2214
23,51,5,2,2214
24,51,9,1,2214
25,25,17,1,2214
26,25,8,2,2214
27,25,49,1,2214
28,25,15,1,2214
29,25,3,3,2214
30,25,5,1,2214
31,25,0,1,2214
32,25,10,1,2214
33,25,7,1,2214
34,25,29,1,2214
35,24,35,1,2214
36,24,8,1,2214
37,24,10,3,2214
38,24,27,1,2214
39,24,32,1,2214
40,24,23,1,2214
41,24,6,1,2214
42,24,2,1,2214
43,24,9,1,2214
44,24,22,1,2214
45,24,0,1,2214
46,41,18,3,2214
47,41,93,1,2214
48,41,4,2,2214
49,41,3,2,2214
50,41,8,1,2214
51,41,20,2,2214
52,41,26,1,2214
53,41,11,2,2214
54,41,17,2,2214
55,41,15,1,2214
56,41,13,1,2214
57,41,6,1,2214
58,41,16,1,2214
59,41,7,1,2214
60,41,2,1,2214
61,41,25,1,2214
62,41,72,1,2214
63,33,36,1,2214
64,33,0,6,2214
65,33,5,2,2214
66,33,73,1,2214
67,33,6,1,2214
68,33,10,2,2214
69,33,7,2,2214
70,33,4,1,2214
71,33,48,1,2214
72,33,13,1,2214
73,33,23,1,2214
74,33,60,1,2214
75,33,24,1,2214
76,33,32,1,2214
77,33,12,1,2214
78,33,56,1,2214
79,33,85,1,2214
80,45,9,1,2214
81,45,18,1,2214
82,45,0,4,2214
83,45,45,2,2214
84,45,23,2,2214
85,45,4,3,2214
86,45,12,3,2214
87,45,8,2,2214
88,45,17,1,2214
89,45,11,2,2214
90,45,10,1,2214
91,45,15,1,2214
92,45,34,2,2214
93,45,32,1,2214
94,11,77,1,2214
95,11,41,1,2214
96,11,10,1,2214
97,11,38,1,2214
98,11,26,1,2214
99,11,8,1,2214
100,11,12,2,2214
101,11,48,1,2214
102,11,2,1,2214
103,11,31,1,2214
104,11,94,1,2214
105,11,17,1,2214
106,11,47,1,2214
107,11,27,1,2214
108,11,84,1,2214
109,11,60,1,2214
110,11,91,2,2214
111,8,49,1,2214
112,8,43,4,2214
113,8,12,1,2214
114,8,56,1,2214
115,8,27,1,2214
116,8,39,1,2214
117,8,69,2,2214
118,8,26,2,2214
119,8,41,1,2214
120,8,8,1,2214
121,8,36,1,2214
122,8,17,1,2214
123,8,32,1,2214
124,8,18,2,2214
125,8,55,1,2214
126,8,10,1,2214
127,8,93,1,2214
128,8,94,1,2214
129,30,31,1,2214
130,30,5,1,2214
131,30,21,1,2214
132,30,17,1,2214
133,30,12,1,2214
134,30,28,1,2214
135,30,20,2,2214
136,30,93,2,2214
137,30,62,1,2214
138,30,8,2,2214
139,30,0,1,2214
140,30,7,1,2214
141,30,14,1,2214
142,34,17,2,2214
143,34,26,2,2214
144,34,15,2,2214
145,34,0,5,2214
146,34,5,2,2214
147,34,8,1,2214
148,34,40,1,2214
149,34,46,1,2214
150,34,23,3,2214
151,34,4,1,2214
152,34,3,2,2214
153,34,70,1,2214
154,34,10,1,2214
155,34,12,1,2214
156,34,9,1,2214
157,34,61,1,2214
158,67,0,3,2214
159,67,11,1,2214
160,67,24,1,2214
161,67,16,2,2214
162,67,49,1,2214
163,67,30,1,2214
164,67,6,1,2214
165,67,4,3,2214
166,67,8,1,2214
167,67,12,1,2214
168,67,3,1,2214
169,67,10,1,2214
170,67,48,1,2214
171,67,54,1,2214
172,67,96,1,2214
173,67,22,1,2214
174,28,23,1,2214
175,28,6,3,2214
176,28,5,1,2214
177,28,51,1,2214
178,28,9,2,2214
179,28,14,1,2214
180,28,24,1,2214
181,28,34,1,2214
182,28,88,1,2214
183,28,17,1,2214
184,28,15,1,2214
185,28,10,2,2214
186,28,13,1,2214
187,28,2,1,2214
188,28,4,1,2214
189,28,0,2,2214
190,28,82,1,2214
191,28,20,1,2214
192,28,40,2,2214
193,28,16,1,2214
194,28,93,1,2214
195,10,15,1,2214
196,10,22,2,2214
197,10,12,1,2214
198,10,38,1,2214
199,10,11,1,2214
200,10,32,2,2214
201,10,30,1,2214
202,10,53,1,2214
203,10,40,1,2214
204,10,43,1,2214
205,37,14,1,2214
206,37,5,3,2214
207,37,10,2,2214
208,37,0,3,2214
209,37,8,3,2214
210,37,15,2,2214
211,37,23,2,2214
212,37,56,1,2214
213,37,28,1,2214
214,37,4,2,2214
215,37,7,1,2214
216,37,3,1,2214
217,37,9,1,2214
218,37,92,1,2214
219,60,3,2,2214
220,60,31,1,2214
221,60,16,1,2214
222,60,25,1,2214
