nokta_no,x,y,count,sezon_dakikasi
1,40,81,2,2998
2,40,84,4,2998
3,40,100,1,2998
4,40,82,2,2998
5,40,65,1,2998
6,40,91,2,2998
7,40,83,5,2998
8,40,85,3,2998
9,40,23,2,2998
10,40,88,3,2998
11,40,66,3,2998
12,40,41,1,2998
13,40,10,2,2998
14,40,72,2,2998
15,40,64,6,2998
16,40,63,2,2998
17,40,31,1,2998
18,40,73,1,2998
19,40,77,2,2998
20,40,62,2,2998
21,40,43,1,2998
22,40,76,1,2998
23,40,70,2,2998
24,40,42,1,2998
25,40,89,1,2998
26,40,61,1,2998
27,40,58,1,2998
28,40,49,1,2998
29,40,68,3,2998
30,40,60,3,2998
31,40,80,2,2998
32,40,90,1,2998
33,40,71,1,2998
34,40,26,1,2998
35,40,87,1,2998
36,40,74,2,2998
37,40,75,1,2998
38,40,32,1,2998
39,40,38,1,2998
40,45,75,1,2998
41,45,73,2,2998
42,45,72,3,2998
43,45,82,2,2998
44,45,49,1,2998
45,45,89,2,2998
46,45,94,1,2998
47,45,93,1,2998
48,45,61,1,2998
49,45,98,1,2998
50,45,77,2,2998
51,45,65,2,2998
52,45,28,1,2998
53,45,43,1,2998
54,45,46,1,2998
55,45,83,1,2998
56,45,57,2,2998
57,45,55,1,2998
58,45,70,2,2998
59,45,90,2,2998
60,45,69,1,2998
61,45,44,1,2998
62,45,88,1,2998
63,45,54,1,2998
64,45,66,1,2998
65,45,11,1,2998
66,45,71,1,2998
67,45,85,1,2998
68,45,34,1,2998
69,45,68,1,2998
70,45,78,1,2998
71,61,79,3,2998
72,61,100,2,2998
73,61,92,1,2998
74,61,63,3,2998
75,61,70,2,2998
76,61,90,1,2998
77,61,16,2,2998
78,61,34,1,2998
79,61,35,1,2998
80,61,55,1,2998
81,61,62,3,2998
82,61,58,1,2998
83,61,84,1,2998
84,61,40,1,2998
85,61,75,2,2998
86,61,83,1,2998
87,61,87,1,2998
88,61,80,1,2998
89,61,76,1,2998
90,61,68,1,2998
91,61,88,1,2998
92,61,74,1,2998
93,61,81,2,2998
94,61,53,1,2998
95,65,94,2,2998
96,65,95,3,2998
97,65,90,1,2998
98,65,70,1,2998
99,65,79,1,2998
100,65,44,1,2998
101,65,68,1,2998
102,65,73,1,2998
103,65,91,1,2998
104,65,85,1,2998
105,65,72,1,2998
106,65,81,1,2998
107,65,57,1,2998
108,65,84,1,2998
109,65,87,1,2998
110,65,22,1,2998
111,33,79,3,2998
112,33,71,4,2998
113,33,73,5,2998
114,33,89,1,2998
115,33,97,1,2998
116,33,58,2,2998
117,33,91,2,2998
118,33,84,1,2998
119,33,74,2,2998
120,33,50,1,2998
121,33,65,4,2998
122,33,68,3,2998
123,33,37,1,2998
124,33,81,1,2998
125,33,87,2,2998
126,33,51,1,2998
127,33,77,2,2998
128,33,70,4,2998
129,33,63,2,2998
130,33,29,2,2998
131,33,24,1,2998
132,33,44,1,2998
133,33,31,1,2998
134,33,12,1,2998
135,33,40,1,2998
136,33,41,1,2998
137,33,62,4,2998
138,33,64,4,2998
139,33,67,1,2998
140,33,96,1,2998
141,33,66,2,2998
142,33,75,2,2998
143,33,92,1,2998
144,33,61,2,2998
145,33,55,1,2998
146,33,76,1,2998
147,33,57,1,2998
148,33,60,1,2998
149,33,88,1,2998
150,33,52,1,2998
151,33,93,1,2998
152,63,96,2,2998
153,63,88,2,2998
154,63,48,1,2998
155,63,32,1,2998
156,63,77,1,2998
157,63,63,1,2998
158,63,81,2,2998
159,63,67,1,2998
160,63,59,1,2998
161,63,62,1,2998
162,63,65,1,2998
163,63,80,1,2998
164,28,90,1,2998
165,28,72,2,2998
166,28,91,1,2998
167,28,50,1,2998
168,28,79,1,2998
169,28,85,2,2998
170,28,68,5,2998
171,28,89,1,2998
172,28,66,1,2998
173,28,77,2,2998
174,28,65,5,2998
175,28,69,1,2998
176,28,76,1,2998
177,28,11,2,2998
178,28,80,1,2998
179,28,60,2,2998
180,28,41,1,2998
181,28,35,1,2998
182,28,51,3,2998
183,28,32,1,2998
184,28,6,1,2998
185,28,43,1,2998
186,28,27,1,2998
187,28,87,2,2998
188,28,53,2,2998
189,28,73,2,2998
190,28,84,2,2998
191,28,64,2,2998
192,28,59,1,2998
