nokta_no,x,y,count,sezon_dakikasi
1,31,76,1,1527
2,31,88,2,1527
3,31,73,5,1527
4,31,41,2,1527
5,31,61,1,1527
6,31,49,2,1527
7,31,77,1,1527
8,31,78,2,1527
9,31,65,1,1527
10,31,34,1,1527
11,31,58,3,1527
12,31,68,4,1527
13,31,69,3,1527
14,31,67,3,1527
15,31,52,1,1527
16,31,97,1,1527
17,31,94,1,1527
18,31,60,3,1527
19,31,59,1,1527
20,31,93,1,1527
21,31,63,1,1527
22,31,66,2,1527
23,31,50,1,1527
24,31,31,1,1527
25,31,21,1,1527
26,31,51,1,1527
27,31,48,2,1527
28,31,47,1,1527
29,31,38,1,1527
30,31,57,2,1527
31,31,53,1,1527
32,31,28,1,1527
33,31,44,1,1527
34,31,70,1,1527
35,31,36,1,1527
36,31,84,1,1527
37,31,82,1,1527
38,31,33,1,1527
39,31,74,2,1527
40,31,79,1,1527
41,7,39,1,1527
42,7,37,1,1527
43,7,53,2,1527
44,7,83,1,1527
45,7,50,2,1527
46,7,43,1,1527
47,7,45,1,1527
48,7,57,1,1527
49,7,49,2,1527
50,7,79,1,1527
51,7,60,1,1527
52,7,52,1,1527
53,7,65,1,1527
54,7,67,1,1527
55,7,88,1,1527
56,4,60,7,1527
57,4,58,2,1527
58,4,48,2,1527
59,4,77,1,1527
60,4,52,1,1527
61,4,55,2,1527
62,4,56,1,1527
63,4,59,4,1527
64,4,57,1,1527
65,4,62,1,1527
66,4,61,4,1527
67,4,54,1,1527
68,4,39,1,1527
69,4,85,1,1527
70,4,79,1,1527
71,8,73,2,1527
72,8,62,1,1527
73,8,69,1,1527
74,8,52,1,1527
75,8,46,1,1527
76,8,74,1,1527
77,8,48,1,1527
78,8,51,1,1527
79,8,59,1,1527
80,8,61,1,1527
81,8,56,1,1527
82,8,57,1,1527
83,8,88,1,1527
84,8,54,1,1527
85,8,47,1,1527
86,8,78,1,1527
87,8,75,1,1527
88,8,72,1,1527
89,14,74,2,1527
90,14,71,1,1527
91,14,95,3,1527
92,14,73,1,1527
93,14,68,3,1527
94,14,70,2,1527
95,14,72,1,1527
96,14,78,1,1527
97,14,64,1,1527
98,14,44,1,1527
99,14,94,1,1527
100,14,15,1,1527
101,14,61,1,1527
102,14,56,1,1527
103,14,34,1,1527
104,14,80,1,1527
105,14,58,1,1527
106,14,86,1,1527
107,37,96,1,1527
108,37,67,2,1527
109,37,70,3,1527
110,37,69,2,1527
111,37,20,1,1527
112,37,62,2,1527
113,37,76,3,1527
114,37,51,2,1527
115,37,57,1,1527
116,37,94,1,1527
117,37,37,1,1527
118,37,82,2,1527
119,37,24,1,1527
120,37,65,2,1527
121,37,97,1,1527
122,37,60,2,1527
123,37,78,1,1527
124,37,80,1,1527
125,37,52,2,1527
