nokta_no,x,y,count,sezon_dakikasi
1,44,4,1,1127
2,44,26,1,1127
3,44,47,1,1127
4,44,35,2,1127
5,44,15,1,1127
6,44,75,1,1127
7,44,84,1,1127
8,44,24,1,1127
9,44,48,1,1127
10,44,92,1,1127
11,44,18,1,1127
12,63,8,1,1127
13,63,36,1,1127
14,63,16,1,1127
15,63,34,3,1127
16,63,29,1,1127
17,63,3,1,1127
18,63,4,1,1127
19,63,90,1,1127
20,63,82,1,1127
21,63,62,1,1127
22,63,17,1,1127
23,63,18,1,1127
24,63,84,1,1127
25,63,13,1,1127
26,69,23,2,1127
27,69,37,1,1127
28,69,60,1,1127
29,69,28,1,1127
30,69,5,1,1127
31,69,30,1,1127
32,69,33,1,1127
33,69,15,1,1127
34,69,46,1,1127
35,69,22,1,1127
36,69,27,1,1127
37,69,24,1,1127
38,59,25,2,1127
39,59,24,2,1127
40,59,7,1,1127
41,59,5,1,1127
42,59,4,2,1127
43,59,22,1,1127
44,59,21,1,1127
45,59,8,2,1127
46,59,60,1,1127
47,59,41,2,1127
48,59,93,1,1127
49,59,40,1,1127
50,59,31,1,1127
51,59,14,1,1127
52,59,73,1,1127
53,59,15,1,1127
54,59,6,1,1127
55,75,61,1,1127
56,75,39,1,1127
57,75,33,1,1127
58,75,38,1,1127
59,75,80,1,1127
60,75,50,1,1127
61,75,29,1,1127
62,75,17,1,1127
63,75,3,1,1127
64,65,28,1,1127
65,65,14,1,1127
66,65,22,2,1127
67,65,38,1,1127
68,65,10,1,1127
69,65,6,2,1127
70,65,16,2,1127
71,65,32,1,1127
72,65,21,1,1127
73,65,43,1,1127
74,65,12,1,1127
75,90,9,1,1127
76,90,18,1,1127
77,90,16,2,1127
78,90,22,1,1127
79,90,2,1,1127
80,90,49,3,1127
81,90,7,1,1127
82,90,15,2,1127
83,90,12,1,1127
84,90,51,1,1127
85,90,13,1,1127
86,90,48,1,1127
87,29,61,1,1127
88,29,77,1,1127
89,40,21,1,1127
90,40,30,1,1127
91,40,26,1,1127
92,40,6,1,1127
93,40,38,1,1127
94,40,12,2,1127
95,40,45,1,1127
96,40,92,1,1127
97,40,25,1,1127
98,40,44,1,1127
99,40,17,1,1127
100,40,64,1,1127
101,39,14,1,1127
102,39,90,2,1127
103,39,37,1,1127
104,39,0,2,1127
105,39,32,1,1127
106,39,33,1,1127
107,51,9,1,1127
108,51,32,1,1127
109,51,70,1,1127
110,51,4,1,1127
111,51,28,1,1127
112,60,5,1,1127
113,60,23,3,1127
114,60,39,2,1127
115,60,14,1,1127
116,60,30,1,1127
117,60,41,1,1127
118,60,25,2,1127
119,60,33,1,1127
120,60,15,2,1127
121,60,19,1,1127
122,60,16,1,1127
123,60,73,1,1127
124,60,81,1,1127
125,60,11,1,1127
126,60,3,1,1127
127,74,36,1,1127
