nokta_no,x,y,count,sezon_dakikasi
1,40,95,2,1483
2,40,80,2,1483
3,40,75,1,1483
4,40,70,1,1483
5,40,94,1,1483
6,40,90,1,1483
7,40,100,1,1483
8,40,13,1,1483
9,40,69,1,1483
10,40,8,1,1483
11,40,4,1,1483
12,40,92,1,1483
13,40,60,1,1483
14,40,0,1,1483
15,40,5,2,1483
16,40,6,1,1483
17,40,21,1,1483
18,40,88,1,1483
19,40,39,1,1483
20,12,79,1,1483
21,12,5,1,1483
22,12,91,1,1483
23,12,92,1,1483
24,12,31,1,1483
25,12,49,1,1483
26,12,81,1,1483
27,12,90,1,1483
28,12,52,2,1483
29,9,88,1,1483
30,9,93,1,1483
31,9,97,1,1483
32,9,31,1,1483
33,9,4,1,1483
34,9,67,2,1483
35,9,47,1,1483
36,9,86,1,1483
37,16,94,1,1483
38,16,70,1,1483
39,16,64,1,1483
40,16,9,1,1483
41,16,33,1,1483
42,16,10,1,1483
43,16,0,1,1483
44,16,95,1,1483
45,16,93,1,1483
46,16,85,1,1483
47,65,62,2,1483
48,65,92,1,1483
49,65,88,1,1483
50,65,67,1,1483
51,65,100,2,1483
52,65,68,1,1483
53,65,72,1,1483
54,65,12,1,1483
55,65,7,1,1483
56,65,20,1,1483
57,65,65,1,1483
58,65,93,1,1483
59,65,98,1,1483
60,65,14,2,1483
61,65,50,1,1483
62,65,84,1,1483
63,65,6,1,1483
64,65,81,1,1483
65,65,96,1,1483
66,65,86,1,1483
67,65,70,1,1483
68,92,61,1,1483
69,92,84,1,1483
70,92,82,1,1483
71,92,81,2,1483
72,92,87,2,1483
73,92,24,1,1483
74,92,22,1,1483
75,92,45,2,1483
76,92,25,1,1483
77,92,5,1,1483
78,90,82,2,1483
79,90,100,2,1483
80,90,89,1,1483
81,90,84,1,1483
82,90,13,1,1483
83,90,12,1,1483
84,90,10,1,1483
85,90,0,1,1483
86,90,94,1,1483
87,90,85,1,1483
88,63,89,1,1483
89,63,95,1,1483
90,63,83,1,1483
91,63,85,1,1483
92,63,57,1,1483
93,63,88,2,1483
94,63,51,1,1483
95,63,70,1,1483
96,63,31,1,1483
97,63,3,1,1483
98,63,0,1,1483
99,63,100,1,1483
100,63,79,1,1483
101,63,94,1,1483
102,24,67,1,1483
103,24,75,1,1483
104,24,32,1,1483
105,24,82,1,1483
106,24,8,1,1483
107,24,9,1,1483
108,24,7,1,1483
109,24,5,3,1483
110,24,89,1,1483
111,24,11,1,1483
112,24,98,1,1483
113,24,93,1,1483
114,24,65,1,1483
115,22,68,1,1483
116,22,7,1,1483
117,22,81,1,1483
118,22,100,1,1483
119,22,1,1,1483
120,22,15,1,1483
121,22,96,1,1483
122,22,79,1,1483
123,22,61,1,1483
124,22,59,1,1483
125,22,73,1,1483
126,30,82,1,1483
127,30,70,1,1483
128,30,91,1,1483
129,30,96,1,1483
130,30,93,1,1483
131,30,71,1,1483
132,30,4,1,1483
133,30,6,1,1483
134,30,21,1,1483
135,30,10,1,1483
136,30,9,2,1483
137,30,94,3,1483
138,30,22,1,1483
139,30,81,1,1483
140,30,5,1,1483
141,30,18,1,1483
142,30,78,1,1483
143,30,79,1,1483
144,30,98,1,1483
145,30,74,1,1483
146,30,85,1,1483
147,62,96,3,1483
148,62,88,2,1483
149,62,84,1,1483
150,62,93,1,1483
151,62,52,1,1483
152,62,91,1,1483
