nokta_no,x,y,count,sezon_dakikasi
1,33,30,1,1032
2,33,69,1,1032
3,33,32,2,1032
4,33,50,1,1032
5,33,38,1,1032
6,33,63,1,1032
7,33,3,1,1032
8,33,16,1,1032
9,33,65,1,1032
10,33,55,1,1032
11,33,45,1,1032
12,33,76,1,1032
13,48,33,1,1032
14,48,92,1,1032
15,48,54,2,1032
16,48,67,2,1032
17,48,31,1,1032
18,48,56,1,1032
19,48,59,1,1032
20,48,65,1,1032
21,48,61,1,1032
22,77,47,1,1032
23,77,42,1,1032
24,77,8,1,1032
25,77,94,1,1032
26,77,27,1,1032
27,77,80,1,1032
28,67,55,1,1032
29,67,67,1,1032
30,67,93,1,1032
31,67,92,1,1032
32,67,33,1,1032
33,67,72,1,1032
34,67,49,1,1032
35,67,40,1,1032
36,67,43,1,1032
37,67,39,2,1032
38,67,17,1,1032
39,29,71,1,1032
40,29,8,2,1032
41,29,32,2,1032
42,29,34,1,1032
43,29,49,1,1032
44,29,78,1,1032
45,29,70,1,1032
46,29,77,1,1032
47,29,27,1,1032
48,29,76,1,1032
49,29,16,1,1032
50,99,99,18,1032
51,99,0,4,1032
52,99,62,1,1032
53,39,95,1,1032
54,39,61,1,1032
55,39,69,1,1032
56,39,32,1,1032
57,39,22,1,1032
58,39,53,1,1032
59,39,6,1,1032
60,39,24,1,1032
61,39,68,3,1032
62,39,7,1,1032
63,39,13,1,1032
64,39,25,1,1032
65,39,10,1,1032
66,39,72,1,1032
67,39,77,1,1032
68,39,15,1,1032
69,39,29,2,1032
70,21,67,1,1032
71,21,51,1,1032
72,21,66,1,1032
73,21,29,1,1032
74,21,74,1,1032
75,21,72,1,1032
76,21,62,1,1032
77,21,68,2,1032
78,21,36,1,1032
79,41,32,1,1032
80,41,65,1,1032
81,41,66,1,1032
82,41,30,2,1032
83,41,86,2,1032
84,41,5,2,1032
85,41,23,1,1032
86,41,24,2,1032
87,41,18,1,1032
88,41,71,1,1032
89,41,38,1,1032
90,41,36,1,1032
91,41,68,1,1032
92,41,37,1,1032
93,41,51,1,1032
94,42,35,1,1032
95,42,31,1,1032
96,42,89,1,1032
97,42,54,1,1032
98,42,1,1,1032
99,42,36,1,1032
100,42,65,1,1032
101,42,78,1,1032
102,42,32,1,1032
103,42,9,1,1032
104,42,47,2,1032
105,46,55,2,1032
106,46,8,1,1032
107,46,31,1,1032
108,46,30,2,1032
109,46,33,1,1032
110,46,41,2,1032
111,46,38,1,1032
112,46,11,1,1032
113,46,26,1,1032
114,46,51,1,1032
115,46,25,1,1032
116,46,42,1,1032
117,46,43,2,1032
118,46,44,1,1032
119,46,53,1,1032
120,46,76,1,1032
121,63,24,1,1032
122,63,80,2,1032
123,63,15,1,1032
124,63,69,1,1032
125,63,53,1,1032
126,63,51,1,1032
127,63,68,1,1032
128,63,57,1,1032
129,63,7,1,1032
130,63,58,1,1032
131,63,12,1,1032
132,63,29,2,1032
133,63,37,1,1032
134,63,48,1,1032
135,63,64,1,1032
136,63,71,1,1032
137,63,52,1,1032
138,63,44,1,1032
139,63,87,1,1032
140,63,67,1,1032
141,63,35,1,1032
142,63,6,1,1032
143,63,19,1,1032
