nokta_no,x,y,count,sezon_dakikasi
1,51,32,1,2572
2,51,43,1,2572
3,51,66,1,2572
4,51,35,1,2572
5,51,93,1,2572
6,51,4,1,2572
7,51,20,1,2572
8,51,25,1,2572
9,56,0,1,2572
10,56,55,1,2572
11,56,57,1,2572
12,56,45,1,2572
13,56,18,1,2572
14,56,15,1,2572
15,56,52,1,2572
16,56,33,1,2572
17,56,72,1,2572
18,56,9,1,2572
19,56,21,1,2572
20,56,19,1,2572
21,56,93,1,2572
22,43,67,1,2572
23,43,13,2,2572
24,43,8,1,2572
25,43,66,1,2572
26,43,65,1,2572
27,43,82,2,2572
28,43,32,1,2572
29,43,63,2,2572
30,43,45,1,2572
31,43,31,1,2572
32,43,72,1,2572
33,43,64,2,2572
34,43,42,1,2572
35,43,6,1,2572
36,43,93,1,2572
37,43,86,1,2572
38,43,25,1,2572
39,43,22,1,2572
40,59,85,1,2572
41,59,56,1,2572
42,59,62,1,2572
43,59,41,1,2572
44,59,6,1,2572
45,59,65,2,2572
46,59,14,1,2572
47,59,68,1,2572
48,95,75,1,2572
49,95,29,2,2572
50,95,28,1,2572
51,95,88,1,2572
52,95,71,1,2572
53,95,56,1,2572
54,95,66,1,2572
55,95,40,1,2572
56,95,52,1,2572
57,95,68,1,2572
58,95,73,1,2572
59,95,44,1,2572
60,95,31,1,2572
61,75,15,1,2572
62,75,72,2,2572
63,75,3,1,2572
64,75,5,1,2572
65,75,57,1,2572
66,75,2,1,2572
67,75,75,1,2572
68,75,91,1,2572
69,75,49,1,2572
70,75,6,1,2572
71,91,3,1,2572
72,91,93,1,2572
73,91,31,1,2572
74,91,71,1,2572
75,91,73,1,2572
76,91,51,1,2572
77,91,82,1,2572
78,91,60,2,2572
79,91,37,1,2572
80,91,50,2,2572
81,91,72,1,2572
82,91,43,1,2572
83,91,80,1,2572
84,91,47,1,2572
85,91,46,2,2572
86,91,63,1,2572
87,91,53,2,2572
88,91,84,1,2572
89,69,71,1,2572
90,69,70,1,2572
91,69,18,1,2572
92,69,91,1,2572
93,69,62,2,2572
94,69,41,1,2572
95,69,61,1,2572
96,69,60,1,2572
97,69,52,2,2572
98,69,68,1,2572
99,69,38,1,2572
100,69,49,2,2572
101,69,13,1,2572
102,49,49,4,2572
103,49,50,16,2572
104,49,57,1,2572
105,49,54,1,2572
106,49,28,1,2572
107,44,67,1,2572
108,44,19,2,2572
109,44,82,2,2572
110,44,45,1,2572
111,44,28,1,2572
112,44,52,1,2572
113,44,51,1,2572
114,44,6,1,2572
115,44,58,1,2572
116,44,3,1,2572
117,44,21,1,2572
118,37,67,1,2572
119,37,44,1,2572
120,37,11,1,2572
121,37,56,1,2572
122,37,85,1,2572
123,37,9,1,2572
124,37,64,1,2572
125,37,22,1,2572
126,37,75,1,2572
127,37,49,1,2572
128,37,70,1,2572
129,37,28,2,2572
130,37,8,1,2572
131,37,61,1,2572
132,53,22,1,2572
133,53,68,2,2572
134,53,34,1,2572
135,53,66,2,2572
136,53,54,1,2572
137,53,9,1,2572
138,53,80,1,2572
139,61,57,1,2572
140,61,66,2,2572
141,61,33,1,2572
142,61,67,2,2572
143,61,54,2,2572
144,61,65,2,2572
145,61,35,1,2572
146,61,68,1,2572
147,61,79,1,2572
148,61,32,1,2572
149,61,70,1,2572
150,61,11,1,2572
151,61,63,1,2572
152,61,9,1,2572
153,98,42,1,2572
154,98,14,1,2572
155,98,71,1,2572
156,98,40,1,2572
157,70,42,1,2572
158,70,5,1,2572
159,70,94,1,2572
160,70,22,1,2572
161,70,85,1,2572
162,70,40,1,2572
163,70,39,1,2572
164,70,29,2,2572
165,70,79,1,2572
166,70,14,1,2572
167,70,43,1,2572
168,70,48,1,2572
169,70,82,1,2572
170,70,50,1,2572
171,38,8,1,2572
172,38,14,1,2572
173,38,77,1,2572
174,38,2,1,2572
175,38,72,2,2572
176,38,34,1,2572
177,38,92,1,2572
178,38,10,1,2572
179,38,42,1,2572
180,38,95,2,2572
181,38,21,1,2572
182,38,26,1,2572
183,38,6,1,2572
184,46,41,1,2572
185,46,68,1,2572
186,46,43,2,2572
187,46,57,1,2572
188,46,89,1,2572
189,46,14,1,2572
190,46,26,1,2572
191,46,40,1,2572
192,46,46,1,2572
193,46,44,1,2572
194,46,92,1,2572
195,46,90,1,2572
196,46,45,1,2572
197,46,49,3,2572
198,46,20,1,2572
199,46,81,1,2572
200,46,54,1,2572
201,46,53,1,2572
202,55,57,1,2572
203,55,44,1,2572
204,55,65,1,2572
205,55,10,1,2572
206,55,9,1,2572
207,55,70,1,2572
208,55,35,1,2572
209,55,23,1,2572
210,55,5,1,2572
211,55,59,1,2572
212,55,21,1,2572
213,55,91,1,2572
214,62,66,2,2572
215,62,75,2,2572
216,62,60,2,2572
217,62,92,1,2572
218,62,74,1,2572
219,62,18,1,2572
220,62,11,1,2572
221,62,82,1,2572
222,62,17,1,2572
223,62,65,1,2572
224,62,53,1,2572
225,62,88,1,2572
226,62,93,1,2572
227,62,25,1,2572
228,62,61,1,2572
229,50,49,21,2572
230,50,50,20,2572
231,50,57,1,2572
232,74,64,1,2572
233,74,50,1,2572
234,74,33,1,2572
235,74,65,1,2572
236,74,59,1,2572
237,74,82,2,2572
238,74,84,1,2572
239,74,92,1,2572
240,74,52,1,2572
241,74,49,2,2572
242,74,40,2,2572
243,74,31,1,2572
244,74,19,1,2572
245,74,87,1,2572
246,74,74,1,2572
247,74,41,1,2572
248,74,46,1,2572
249,74,10,1,2572
250,76,70,1,2572
251,76,5,1,2572
252,76,44,1,2572
253,76,16,1,2572
254,76,59,1,2572
255,76,48,1,2572
256,76,39,1,2572
257,76,69,1,2572
258,72,66,1,2572
259,72,76,1,2572
260,72,15,1,2572
261,72,79,1,2572
262,72,80,2,2572
263,72,32,1,2572
264,72,92,1,2572
