nokta_no,x,y,count,sezon_dakikasi
1,25,53,1,1008
2,25,87,1,1008
3,25,66,2,1008
4,25,81,1,1008
5,25,15,1,1008
6,25,70,1,1008
7,25,58,1,1008
8,25,49,1,1008
9,25,75,3,1008
10,25,96,1,1008
11,25,23,1,1008
12,25,63,1,1008
13,38,22,1,1008
14,38,35,1,1008
15,38,68,1,1008
16,38,75,2,1008
17,38,82,1,1008
18,38,43,1,1008
19,38,93,1,1008
20,38,59,1,1008
21,38,72,2,1008
22,38,58,1,1008
23,38,56,1,1008
24,38,29,1,1008
25,38,10,3,1008
26,38,92,1,1008
27,38,38,1,1008
28,38,45,1,1008
29,38,70,1,1008
30,38,73,1,1008
31,36,31,1,1008
32,36,32,2,1008
33,36,30,2,1008
34,36,59,2,1008
35,36,35,1,1008
36,36,36,3,1008
37,36,14,1,1008
38,36,42,1,1008
39,36,29,2,1008
40,36,19,1,1008
41,36,67,1,1008
42,36,47,1,1008
43,36,23,1,1008
44,36,17,1,1008
45,36,52,1,1008
46,36,15,1,1008
47,36,58,1,1008
48,36,66,1,1008
49,36,82,1,1008
50,36,28,1,1008
51,36,33,1,1008
52,19,54,1,1008
53,19,56,1,1008
54,19,39,1,1008
55,19,24,1,1008
56,35,51,1,1008
57,35,40,1,1008
58,35,54,1,1008
59,35,56,1,1008
60,35,88,2,1008
61,35,27,1,1008
62,35,39,1,1008
63,35,12,1,1008
64,35,91,1,1008
65,35,76,1,1008
66,35,63,1,1008
67,35,57,1,1008
68,35,65,1,1008
69,35,19,1,1008
70,35,18,1,1008
71,35,75,1,1008
72,35,31,1,1008
73,35,79,1,1008
74,35,70,1,1008
75,13,22,1,1008
76,13,39,1,1008
77,13,91,1,1008
78,13,31,3,1008
79,13,7,1,1008
80,13,33,1,1008
81,13,55,1,1008
82,87,35,1,1008
83,87,56,1,1008
84,87,88,1,1008
85,44,69,1,1008
86,44,30,1,1008
87,44,66,1,1008
88,44,40,1,1008
89,44,52,1,1008
90,44,56,1,1008
91,44,91,1,1008
92,44,63,1,1008
93,44,55,1,1008
94,44,22,1,1008
95,44,33,2,1008
96,44,65,1,1008
97,44,8,1,1008
98,44,6,1,1008
99,30,57,1,1008
100,30,96,1,1008
101,30,36,1,1008
102,30,92,1,1008
103,30,59,1,1008
104,30,30,1,1008
105,30,72,1,1008
106,30,78,1,1008
107,30,61,1,1008
108,30,13,1,1008
109,30,73,1,1008
110,30,28,1,1008
111,30,21,1,1008
112,41,57,1,1008
113,41,39,2,1008
114,41,64,1,1008
115,41,65,1,1008
116,41,59,1,1008
117,41,68,1,1008
118,41,73,2,1008
119,41,30,1,1008
120,41,69,1,1008
121,41,83,1,1008
122,41,29,1,1008
123,41,37,1,1008
124,41,24,1,1008
125,41,21,1,1008
126,41,32,1,1008
127,31,39,1,1008
128,31,32,1,1008
129,31,74,1,1008
130,31,85,1,1008
131,31,20,1,1008
132,31,27,1,1008
133,31,77,1,1008
134,31,79,1,1008
135,31,17,1,1008
136,31,65,1,1008
137,31,43,1,1008
138,31,33,1,1008
139,55,66,1,1008
140,55,47,1,1008
141,55,84,1,1008
142,55,46,1,1008
143,55,51,1,1008
144,55,5,1,1008
145,55,25,1,1008
146,55,3,1,1008
147,55,67,2,1008
148,55,56,1,1008
149,55,35,1,1008
150,65,61,1,1008
151,65,33,1,1008
152,65,0,1,1008
153,65,26,2,1008
154,65,82,1,1008
155,65,62,1,1008
156,65,81,1,1008
157,65,43,1,1008
158,65,14,1,1008
159,65,46,1,1008
160,65,42,1,1008
161,65,24,1,1008
162,65,29,1,1008
163,65,13,1,1008
164,65,74,1,1008
165,65,48,1,1008
166,65,83,1,1008
167,65,22,1,1008
168,65,36,1,1008
169,57,37,1,1008
170,57,34,3,1008
171,57,25,1,1008
172,57,65,1,1008
173,57,2,1,1008
174,57,94,1,1008
175,57,8,1,1008
176,57,80,1,1008
177,57,30,1,1008
178,57,62,1,1008
179,57,31,2,1008
180,57,54,1,1008
181,57,19,1,1008
182,57,69,1,1008
183,42,64,1,1008
184,42,36,1,1008
185,42,31,1,1008
186,42,63,1,1008
187,42,28,1,1008
188,42,68,1,1008
189,42,25,3,1008
190,42,12,1,1008
191,42,35,1,1008
192,42,43,1,1008
193,42,79,1,1008
194,42,24,1,1008
195,39,52,1,1008
196,39,27,1,1008
197,39,36,1,1008
198,39,56,1,1008
199,39,57,1,1008
200,39,16,1,1008
201,39,66,2,1008
202,39,30,1,1008
203,39,33,1,1008
204,39,63,1,1008
205,39,54,2,1008
206,39,7,1,1008
207,39,29,1,1008
208,39,87,1,1008
209,39,60,1,1008
210,39,38,2,1008
211,32,60,2,1008
212,32,47,1,1008
213,32,57,1,1008
214,32,23,1,1008
215,32,19,1,1008
216,32,26,2,1008
217,32,31,2,1008
218,32,58,1,1008
219,32,83,1,1008
220,32,82,2,1008
221,32,11,1,1008
222,32,66,1,1008
223,34,30,1,1008
224,34,68,1,1008
225,34,88,1,1008
226,34,61,1,1008
227,34,60,1,1008
228,34,65,1,1008
229,34,79,1,1008
230,34,90,1,1008
231,34,74,2,1008
232,34,34,1,1008
233,34,18,1,1008
234,20,13,1,1008
235,20,43,1,1008
236,20,53,1,1008
237,20,64,1,1008
238,22,71,1,1008
239,22,67,1,1008
240,22,44,1,1008
241,22,16,1,1008
242,22,58,1,1008
243,22,73,1,1008
244,22,70,1,1008
245,22,10,2,1008
246,22,49,1,1008
247,43,61,1,1008
248,43,45,1,1008
249,43,80,1,1008
250,43,22,1,1008
251,43,65,1,1008
252,43,10,1,1008
253,43,54,1,1008
254,43,29,1,1008
255,45,76,1,1008
256,45,72,2,1008
257,45,29,1,1008
258,45,75,2,1008
259,45,59,1,1008
260,45,55,1,1008
261,45,13,1,1008
262,45,28,1,1008
263,45,84,1,1008
264,45,33,1,1008
265,45,70,1,1008
266,45,41,1,1008
267,48,64,1,1008
268,48,84,1,1008
269,18,61,1,1008
270,18,9,1,1008
271,18,30,1,1008
272,15,60,1,1008
273,15,61,1,1008
274,15,33,1,1008
275,9,28,1,1008
276,9,88,1,1008
277,9,54,1,1008
278,9,87,1,1008
279,9,86,1,1008
280,9,70,1,1008
281,9,32,1,1008
282,9,31,1,1008
283,9,66,1,1008
284,5,25,1,1008
285,28,27,1,1008
286,28,15,1,1008
287,28,41,1,1008
288,28,47,2,1008
289,28,68,1,1008
290,28,89,1,1008
291,28,64,1,1008
292,28,36,2,1008
293,28,53,1,1008
294,28,69,2,1008
295,29,28,2,1008
296,29,15,1,1008
297,29,58,1,1008
298,29,32,1,1008
299,29,51,1,1008
300,29,12,1,1008
301,29,67,1,1008
302,29,30,1,1008
303,29,68,1,1008
304,52,44,1,1008
305,52,43,1,1008
306,52,74,1,1008
307,52,53,1,1008
308,52,45,1,1008
309,52,68,1,1008
310,52,36,1,1008
311,52,37,1,1008
312,52,41,1,1008
313,52,25,1,1008
314,52,40,1,1008
315,52,49,1,1008
316,52,20,2,1008
317,52,46,1,1008
318,75,41,1,1008
319,75,60,1,1008
320,75,65,1,1008
321,75,46,1,1008
322,75,62,1,1008
323,51,52,1,1008
324,51,75,1,1008
325,51,12,2,1008
326,51,69,1,1008
327,51,66,1,1008
328,51,76,1,1008
329,51,64,1,1008
330,56,29,1,1008
331,56,65,1,1008
332,56,34,1,1008
333,56,80,1,1008
334,56,31,1,1008
335,56,64,1,1008
336,62,69,1,1008
337,62,94,1,1008
338,62,20,2,1008
339,62,9,1,1008
340,62,30,1,1008
341,62,38,2,1008
342,62,36,1,1008
343,62,72,3,1008
344,62,60,1,1008
345,62,49,1,1008
346,62,42,1,1008
347,62,15,2,1008
348,62,4,1,1008
349,62,17,1,1008
350,62,19,1,1008
351,62,29,1,1008
352,62,62,1,1008
353,62,68,1,1008
354,67,6,1,1008
355,67,32,1,1008
356,67,37,2,1008
357,67,16,1,1008
358,67,52,1,1008
359,67,24,1,1008
360,67,85,1,1008
361,67,41,1,1008
362,67,33,1,1008
363,67,58,1,1008
364,67,56,1,1008
365,67,69,1,1008
366,67,64,1,1008
367,67,30,1,1008
368,67,67,1,1008
369,8,91,1,1008
370,8,42,1,1008
371,8,58,1,1008
372,8,33,1,1008
373,8,24,1,1008
374,14,41,1,1008
375,14,46,1,1008
376,14,4,2,1008
377,14,85,1,1008
378,14,86,1,1008
379,14,58,1,1008
380,91,69,1,1008
381,91,50,1,1008
382,91,6,1,1008
383,72,95,1,1008
384,72,30,1,1008
385,72,5,2,1008
386,72,6,1,1008
387,72,73,1,1008
388,72,28,1,1008
389,72,32,1,1008
390,72,25,1,1008
391,76,72,1,1008
392,76,60,1,1008
393,76,31,1,1008
394,76,54,1,1008
395,76,27,1,1008
396,76,25,1,1008
397,76,26,1,1008
398,76,38,1,1008
399,69,62,1,1008
400,69,61,1,1008
401,69,30,1,1008
402,69,17,1,1008
403,69,69,1,1008
404,69,26,2,1008
405,69,82,1,1008
406,69,25,1,1008
