nokta_no,x,y,count,sezon_dakikasi
1,36,75,1,1331
2,36,62,1,1331
3,36,73,3,1331
4,36,72,1,1331
5,36,87,1,1331
6,36,90,1,1331
7,36,65,2,1331
8,36,91,2,1331
9,36,96,1,1331
10,36,89,1,1331
11,36,77,1,1331
12,36,84,2,1331
13,36,80,2,1331
14,36,79,1,1331
15,36,69,1,1331
16,36,71,1,1331
17,36,86,1,1331
18,36,36,1,1331
19,38,76,2,1331
20,38,84,1,1331
21,38,60,1,1331
22,38,82,1,1331
23,38,93,1,1331
24,38,94,1,1331
25,38,37,1,1331
26,38,69,1,1331
27,38,85,1,1331
28,38,83,1,1331
29,38,66,1,1331
30,38,89,1,1331
31,38,75,1,1331
32,38,67,2,1331
33,38,70,1,1331
34,38,19,1,1331
35,38,96,1,1331
36,38,49,2,1331
37,38,77,1,1331
38,38,87,1,1331
39,38,63,1,1331
40,42,76,2,1331
41,42,96,1,1331
42,42,75,2,1331
43,42,74,1,1331
44,42,73,1,1331
45,42,69,3,1331
46,42,88,3,1331
47,42,71,1,1331
48,42,87,1,1331
49,42,83,2,1331
50,42,81,1,1331
51,42,66,2,1331
52,42,72,2,1331
53,42,70,1,1331
54,42,85,1,1331
55,42,86,1,1331
56,48,71,3,1331
57,48,76,1,1331
58,48,77,1,1331
59,48,92,1,1331
60,48,73,1,1331
61,46,75,1,1331
62,46,82,1,1331
63,46,52,1,1331
64,46,88,1,1331
65,46,67,1,1331
66,46,80,2,1331
67,46,48,1,1331
68,46,87,1,1331
69,46,78,1,1331
70,44,96,2,1331
71,44,93,3,1331
72,44,82,1,1331
73,44,77,2,1331
74,44,67,1,1331
75,44,94,1,1331
76,44,56,1,1331
77,44,73,2,1331
78,44,74,2,1331
79,44,89,1,1331
80,44,75,3,1331
81,44,78,2,1331
82,44,70,2,1331
83,44,100,1,1331
84,44,41,1,1331
85,44,91,1,1331
86,43,83,1,1331
87,43,84,1,1331
88,43,70,3,1331
89,43,92,1,1331
90,43,73,1,1331
91,43,81,1,1331
92,43,79,1,1331
93,43,78,2,1331
94,43,71,1,1331
95,43,63,1,1331
96,43,53,1,1331
97,43,64,1,1331
98,43,76,1,1331
99,43,86,1,1331
100,43,88,1,1331
101,43,74,1,1331
102,22,65,1,1331
103,22,60,1,1331
104,22,93,1,1331
105,22,76,1,1331
106,22,75,2,1331
107,22,72,1,1331
108,22,89,1,1331
109,22,81,1,1331
110,22,92,1,1331
111,22,63,1,1331
112,22,73,1,1331
113,22,94,1,1331
114,22,80,1,1331
115,22,84,1,1331
116,22,82,1,1331
117,24,78,2,1331
118,24,75,1,1331
119,24,86,1,1331
120,24,70,1,1331
121,24,67,1,1331
122,24,65,1,1331
123,24,54,1,1331
124,24,45,1,1331
125,24,82,1,1331
126,24,66,1,1331
127,24,71,1,1331
128,24,64,1,1331
129,24,69,1,1331
130,24,87,1,1331
131,24,92,1,1331
132,24,49,1,1331
133,24,76,1,1331
134,63,95,1,1331
135,63,18,1,1331
136,63,85,3,1331
137,63,86,2,1331
138,63,91,1,1331
139,63,90,2,1331
140,63,94,1,1331
141,63,71,1,1331
142,63,80,1,1331
143,63,70,1,1331
144,63,76,1,1331
145,63,78,1,1331
146,63,93,1,1331
147,27,71,1,1331
148,27,72,1,1331
149,27,80,2,1331
150,27,88,2,1331
151,27,87,3,1331
152,27,75,1,1331
153,27,63,2,1331
154,27,84,3,1331
155,27,39,1,1331
156,27,65,2,1331
157,27,68,1,1331
158,27,62,1,1331
159,27,70,1,1331
160,27,94,1,1331
161,27,92,1,1331
162,27,83,1,1331
163,25,80,1,1331
164,25,82,1,1331
165,25,96,1,1331
166,25,76,1,1331
167,25,87,2,1331
168,25,89,1,1331
169,25,72,2,1331
170,25,68,1,1331
171,25,55,1,1331
172,25,85,1,1331
173,25,93,1,1331
174,25,67,1,1331
175,25,73,1,1331
176,25,56,1,1331
177,35,90,2,1331
178,35,73,1,1331
179,35,92,2,1331
180,35,76,1,1331
181,35,87,1,1331
182,35,91,2,1331
183,35,74,1,1331
184,35,45,1,1331
185,35,94,1,1331
186,35,68,1,1331
187,35,70,1,1331
188,35,35,1,1331
189,35,84,1,1331
190,35,82,1,1331
191,41,83,2,1331
192,41,71,2,1331
193,41,81,3,1331
194,41,87,1,1331
195,41,82,1,1331
196,41,70,2,1331
197,41,66,1,1331
198,41,86,2,1331
199,41,92,1,1331
200,41,80,1,1331
201,41,89,1,1331
202,41,63,1,1331
203,41,67,1,1331
204,41,78,1,1331
205,41,76,3,1331
206,41,84,1,1331
207,11,50,1,1331
208,11,88,3,1331
209,11,46,2,1331
210,11,80,1,1331
211,11,92,1,1331
212,11,79,1,1331
213,11,82,1,1331
214,11,31,1,1331
215,11,86,1,1331
216,11,62,1,1331
217,11,71,1,1331
218,11,94,1,1331
219,11,90,1,1331
220,11,69,1,1331
221,11,59,1,1331
222,61,60,1,1331
223,61,41,2,1331
224,61,89,1,1331
225,61,84,1,1331
226,61,68,1,1331
227,61,91,1,1331
228,61,69,1,1331
229,61,82,1,1331
230,61,83,1,1331
231,61,86,1,1331
232,61,90,1,1331
233,61,73,1,1331
234,61,71,1,1331
235,61,67,1,1331
236,61,74,1,1331
237,61,76,1,1331
238,30,77,1,1331
239,30,50,1,1331
240,30,80,3,1331
241,30,89,2,1331
242,30,73,1,1331
243,30,82,2,1331
