nokta_no,x,y,count,sezon_dakikasi
1,13,73,4,2961
2,13,61,1,2961
3,13,76,3,2961
4,13,80,1,2961
5,13,79,3,2961
6,13,57,2,2961
7,13,81,2,2961
8,13,88,2,2961
9,13,82,1,2961
10,13,70,1,2961
11,13,89,1,2961
12,13,91,2,2961
13,13,44,2,2961
14,13,66,1,2961
15,13,71,1,2961
16,13,65,1,2961
17,13,39,1,2961
18,13,85,1,2961
19,13,56,1,2961
20,13,64,1,2961
21,13,68,1,2961
22,13,72,1,2961
23,13,51,1,2961
24,13,63,1,2961
25,13,77,1,2961
26,15,83,2,2961
27,15,90,2,2961
28,15,60,1,2961
29,15,69,1,2961
30,15,64,1,2961
31,15,63,1,2961
32,15,84,1,2961
33,15,68,1,2961
34,15,52,1,2961
35,15,6,1,2961
36,15,92,1,2961
37,15,78,1,2961
38,15,65,1,2961
39,15,96,1,2961
40,46,73,3,2961
41,46,72,2,2961
42,46,90,2,2961
43,46,85,2,2961
44,46,55,3,2961
45,46,88,1,2961
46,46,79,3,2961
47,46,64,3,2961
48,46,82,2,2961
49,46,52,1,2961
50,46,68,1,2961
51,46,36,2,2961
52,46,69,3,2961
53,46,49,1,2961
54,46,46,1,2961
55,46,84,1,2961
56,46,89,1,2961
57,46,66,1,2961
58,46,50,1,2961
59,46,74,2,2961
60,46,78,3,2961
61,46,57,1,2961
62,46,26,1,2961
63,46,14,2,2961
64,46,17,1,2961
65,46,23,1,2961
66,46,27,1,2961
67,46,32,1,2961
68,46,35,1,2961
69,46,80,1,2961
70,46,70,1,2961
71,46,71,1,2961
72,46,75,1,2961
73,46,65,1,2961
74,46,47,1,2961
75,19,69,2,2961
76,19,88,1,2961
77,19,66,1,2961
78,19,70,1,2961
79,19,91,1,2961
80,19,74,1,2961
81,19,79,2,2961
82,19,30,2,2961
83,19,53,1,2961
84,19,78,1,2961
85,19,63,1,2961
86,19,14,1,2961
87,19,82,2,2961
88,19,73,2,2961
89,19,87,1,2961
90,19,80,1,2961
91,44,71,1,2961
92,44,92,1,2961
93,44,90,1,2961
94,44,62,1,2961
95,44,73,2,2961
96,44,70,1,2961
97,44,78,1,2961
98,44,59,2,2961
99,44,57,1,2961
100,44,82,1,2961
101,44,79,3,2961
102,44,50,1,2961
103,44,54,1,2961
104,44,35,1,2961
105,44,49,1,2961
106,44,72,1,2961
107,44,47,1,2961
108,44,46,1,2961
109,44,43,1,2961
110,44,26,1,2961
111,44,76,1,2961
112,44,84,1,2961
113,44,60,1,2961
114,44,52,1,2961
115,44,94,1,2961
116,44,44,1,2961
117,58,75,1,2961
118,58,77,2,2961
119,58,18,1,2961
120,58,81,1,2961
121,58,79,1,2961
122,58,64,1,2961
123,58,28,1,2961
124,58,72,1,2961
125,58,68,1,2961
126,58,78,1,2961
127,58,76,1,2961
128,58,84,1,2961
129,58,87,1,2961
130,58,61,1,2961
131,58,92,1,2961
132,58,33,1,2961
133,58,90,1,2961
134,58,29,1,2961
135,58,70,1,2961
136,58,88,1,2961
137,58,69,1,2961
138,58,26,1,2961
139,58,17,1,2961
140,58,66,1,2961
141,58,82,1,2961
142,58,31,1,2961
143,58,67,2,2961
144,58,85,1,2961
145,56,88,2,2961
146,56,77,2,2961
147,56,84,1,2961
148,56,83,1,2961
149,56,82,1,2961
150,56,14,1,2961
151,56,94,2,2961
152,56,10,1,2961
153,56,70,1,2961
154,56,86,2,2961
155,56,87,1,2961
156,56,48,2,2961
157,56,90,4,2961
158,56,79,1,2961
159,56,67,1,2961
160,56,74,1,2961
161,56,85,2,2961
162,56,52,1,2961
163,56,72,2,2961
164,56,92,1,2961
165,56,46,1,2961
166,56,26,1,2961
167,56,75,1,2961
168,56,66,1,2961
169,56,97,1,2961
170,56,15,1,2961
171,56,21,1,2961
172,56,69,2,2961
173,56,32,1,2961
174,56,78,1,2961
175,56,93,1,2961
176,56,81,2,2961
177,56,73,1,2961
178,56,89,1,2961
179,33,78,6,2961
180,33,86,3,2961
181,33,80,1,2961
182,33,76,2,2961
183,33,58,2,2961
184,33,54,2,2961
185,33,77,1,2961
186,33,74,2,2961
187,33,84,2,2961
188,33,73,2,2961
189,33,79,2,2961
190,33,87,3,2961
191,33,65,1,2961
192,33,59,1,2961
193,33,53,1,2961
194,33,71,2,2961
195,33,56,1,2961
196,33,62,1,2961
197,33,42,1,2961
198,33,61,1,2961
199,33,52,1,2961
200,33,91,1,2961
201,33,68,1,2961
202,33,72,1,2961
203,33,100,1,2961
204,33,63,1,2961
205,33,69,2,2961
206,33,94,1,2961
207,33,47,1,2961
208,33,28,1,2961
209,33,17,1,2961
210,33,37,1,2961
211,33,64,1,2961
212,33,75,1,2961
213,33,50,3,2961
214,33,51,1,2961
215,33,36,1,2961
216,33,82,2,2961
217,33,90,1,2961
218,33,35,1,2961
219,31,87,4,2961
220,31,62,2,2961
221,31,70,4,2961
222,31,83,1,2961
223,31,75,2,2961
224,31,63,3,2961
225,31,76,2,2961
226,31,82,3,2961
227,31,57,2,2961
228,31,25,1,2961
229,31,72,4,2961
230,31,91,3,2961
231,31,67,3,2961
232,31,55,1,2961
233,31,79,4,2961
234,31,56,1,2961
235,31,53,2,2961
236,31,59,1,2961
237,31,10,1,2961
238,31,73,3,2961
239,31,71,3,2961
240,31,69,3,2961
241,31,66,1,2961
242,31,78,1,2961
243,31,65,1,2961
244,31,54,3,2961
245,31,68,2,2961
246,31,80,1,2961
247,31,61,1,2961
248,31,64,1,2961
249,31,81,2,2961
250,31,39,1,2961
251,31,38,1,2961
252,31,32,2,2961
253,31,0,1,2961
254,31,13,1,2961
255,31,33,1,2961
256,31,23,1,2961
257,31,96,1,2961
258,31,100,1,2961
259,31,50,1,2961
260,31,46,2,2961
261,53,90,3,2961
262,53,80,4,2961
263,53,62,1,2961
264,53,83,3,2961
265,53,71,2,2961
266,53,60,1,2961
267,53,53,1,2961
268,53,92,1,2961
269,53,77,2,2961
270,53,88,1,2961
271,53,74,1,2961
272,53,70,1,2961
273,53,46,1,2961
274,53,66,1,2961
275,53,42,1,2961
276,53,76,1,2961
277,53,30,3,2961
278,53,35,1,2961
279,53,29,1,2961
280,53,82,1,2961
281,53,89,1,2961
282,53,26,1,2961
283,53,27,1,2961
284,53,22,1,2961
285,53,81,1,2961
286,53,34,1,2961
287,53,84,1,2961
288,53,78,1,2961
289,53,49,1,2961
290,53,68,1,2961
291,53,75,1,2961
292,53,72,1,2961
293,53,73,1,2961
294,53,67,1,2961
295,29,69,3,2961
296,29,57,3,2961
297,29,30,1,2961
298,29,68,3,2961
299,29,78,3,2961
300,29,61,2,2961
301,29,56,1,2961
302,29,70,1,2961
303,29,94,1,2961
304,29,63,1,2961
305,29,64,1,2961
306,29,82,2,2961
307,29,73,2,2961
308,29,54,1,2961
309,29,75,3,2961
310,29,71,4,2961
311,29,48,1,2961
312,29,72,2,2961
313,29,65,1,2961
314,29,55,1,2961
315,29,20,1,2961
316,29,19,1,2961
317,29,53,1,2961
318,29,47,2,2961
319,29,62,3,2961
320,29,77,1,2961
321,29,67,1,2961
322,29,90,2,2961
323,29,32,1,2961
324,29,41,1,2961
325,29,40,1,2961
326,29,13,1,2961
327,29,37,1,2961
328,29,24,1,2961
329,29,52,2,2961
330,29,31,2,2961
331,29,79,1,2961
332,29,60,1,2961
333,29,92,1,2961
334,29,76,2,2961
335,29,93,1,2961
336,29,80,1,2961
337,54,76,2,2961
338,54,75,4,2961
339,54,79,2,2961
340,54,66,1,2961
341,54,73,1,2961
342,54,69,1,2961
343,54,78,2,2961
344,54,82,1,2961
345,54,68,4,2961
346,54,48,1,2961
347,54,71,1,2961
348,54,70,2,2961
349,54,59,3,2961
350,54,65,1,2961
351,54,67,2,2961
352,54,56,1,2961
353,54,14,1,2961
354,54,74,2,2961
355,54,89,2,2961
356,54,80,1,2961
357,54,15,2,2961
358,54,29,1,2961
359,54,27,1,2961
360,54,23,2,2961
361,54,28,1,2961
362,54,4,1,2961
363,54,36,1,2961
364,54,92,1,2961
365,54,87,1,2961
366,54,84,1,2961
367,54,88,1,2961
368,54,94,2,2961
369,54,95,1,2961
370,54,72,1,2961
371,54,93,1,2961
372,62,87,2,2961
373,62,71,2,2961
374,62,56,1,2961
375,62,76,2,2961
376,62,16,1,2961
377,62,88,1,2961
378,62,85,1,2961
379,62,54,1,2961
380,62,83,2,2961
381,62,70,1,2961
382,62,82,1,2961
383,62,67,1,2961
384,62,7,1,2961
385,62,39,1,2961
386,62,34,1,2961
387,62,91,1,2961
388,62,68,1,2961
389,66,86,1,2961
390,66,41,1,2961
391,66,65,1,2961
392,66,69,1,2961
393,66,71,1,2961
394,66,60,4,2961
395,66,81,1,2961
396,66,90,2,2961
397,66,75,3,2961
398,66,66,1,2961
399,66,70,2,2961
400,66,73,1,2961
401,66,44,1,2961
402,66,64,1,2961
403,66,24,1,2961
404,66,32,1,2961
405,66,23,1,2961
406,66,93,1,2961
407,66,56,1,2961
408,66,80,1,2961
409,66,68,1,2961
410,66,76,1,2961
411,66,42,1,2961
412,66,51,1,2961
413,66,82,1,2961
414,52,75,1,2961
415,52,80,1,2961
416,52,66,1,2961
417,52,87,1,2961
418,52,81,1,2961
419,52,84,2,2961
420,52,56,2,2961
421,52,70,2,2961
422,52,64,1,2961
423,52,68,1,2961
424,52,50,2,2961
425,52,91,2,2961
426,52,58,2,2961
427,52,73,3,2961
428,52,78,4,2961
429,52,76,2,2961
430,52,43,1,2961
431,52,74,1,2961
432,52,88,1,2961
433,52,23,1,2961
434,52,13,1,2961
435,52,11,1,2961
436,52,30,1,2961
437,52,46,1,2961
438,52,71,1,2961
439,52,65,1,2961
440,52,60,1,2961
441,52,94,1,2961
442,52,93,1,2961
443,52,95,1,2961
444,52,69,1,2961
445,52,54,1,2961
446,52,90,1,2961
447,63,79,1,2961
448,63,16,1,2961
449,63,57,2,2961
450,63,62,2,2961
451,63,75,2,2961
452,63,72,2,2961
453,63,35,1,2961
454,63,86,2,2961
455,63,66,2,2961
456,63,94,1,2961
457,63,41,2,2961
458,63,63,1,2961
459,63,80,2,2961
460,63,40,3,2961
461,63,85,2,2961
462,63,81,1,2961
463,63,73,1,2961
464,63,96,1,2961
465,63,68,1,2961
466,63,65,1,2961
467,14,65,2,2961
468,14,88,1,2961
469,14,85,1,2961
470,14,95,1,2961
471,14,48,1,2961
472,14,87,1,2961
473,14,63,1,2961
474,14,59,3,2961
475,14,14,2,2961
476,14,38,1,2961
477,14,62,1,2961
478,14,75,1,2961
479,14,54,1,2961
480,14,41,1,2961
481,14,73,2,2961
482,14,49,2,2961
483,14,78,1,2961
484,14,39,2,2961
485,14,58,2,2961
486,14,46,2,2961
487,14,18,1,2961
488,14,30,1,2961
489,14,36,1,2961
490,14,44,1,2961
491,14,66,1,2961
492,14,67,1,2961
493,14,80,1,2961
494,14,3,1,2961
495,16,96,2,2961
496,16,87,1,2961
497,16,48,1,2961
498,16,76,1,2961
499,16,47,1,2961
500,16,54,2,2961
501,16,84,3,2961
502,16,57,1,2961
503,16,21,1,2961
504,16,72,1,2961
505,16,75,1,2961
506,16,71,1,2961
507,16,77,2,2961
508,16,94,1,2961
509,24,90,2,2961
510,24,79,2,2961
511,24,59,2,2961
512,24,55,1,2961
513,24,67,4,2961
514,24,94,3,2961
515,24,15,1,2961
516,24,72,2,2961
517,24,76,1,2961
518,24,78,2,2961
519,24,84,1,2961
520,24,33,1,2961
521,24,65,1,2961
522,24,88,1,2961
523,24,66,2,2961
524,24,77,2,2961
525,24,49,1,2961
526,24,63,1,2961
527,24,62,1,2961
528,24,74,1,2961
529,24,58,1,2961
530,24,22,2,2961
531,24,61,1,2961
532,24,71,2,2961
533,24,80,1,2961
534,24,82,2,2961
535,24,68,2,2961
536,24,85,1,2961
537,24,92,2,2961
538,24,69,1,2961
539,24,75,1,2961
540,61,75,3,2961
541,61,95,2,2961
542,61,52,1,2961
543,61,49,1,2961
544,61,69,3,2961
545,61,91,1,2961
546,61,88,1,2961
547,61,38,1,2961
548,61,66,1,2961
549,61,85,1,2961
550,61,76,2,2961
551,61,70,1,2961
552,61,92,2,2961
553,61,74,1,2961
554,61,86,1,2961
555,61,68,1,2961
556,61,65,1,2961
557,61,67,1,2961
558,61,27,1,2961
559,61,63,1,2961
560,61,55,1,2961
561,61,81,2,2961
562,61,62,1,2961
563,61,18,1,2961
564,61,61,1,2961
565,61,16,1,2961
566,61,33,2,2961
567,61,87,2,2961
568,61,83,1,2961
569,61,57,1,2961
570,61,78,1,2961
571,61,53,1,2961
572,61,79,1,2961
573,67,70,1,2961
574,67,79,3,2961
575,67,74,1,2961
576,67,76,2,2961
577,67,57,1,2961
578,67,61,1,2961
579,67,81,2,2961
580,67,86,1,2961
581,67,88,1,2961
582,67,69,1,2961
583,67,65,1,2961
584,67,55,1,2961
585,67,53,1,2961
586,67,34,1,2961
587,67,77,2,2961
588,67,80,3,2961
589,67,75,1,2961
590,67,63,2,2961
591,67,85,1,2961
592,37,73,1,2961
593,37,95,4,2961
594,37,75,4,2961
595,37,66,1,2961
596,37,34,1,2961
597,37,84,2,2961
598,37,67,2,2961
599,37,71,1,2961
600,37,63,1,2961
601,37,87,3,2961
602,37,85,2,2961
603,37,74,1,2961
604,37,65,1,2961
605,37,70,1,2961
606,37,61,3,2961
607,37,79,1,2961
608,37,37,1,2961
609,37,97,2,2961
610,37,88,2,2961
611,37,81,2,2961
612,37,90,1,2961
613,37,92,1,2961
614,37,17,1,2961
615,37,0,1,2961
616,37,28,1,2961
617,37,60,2,2961
618,37,80,1,2961
619,37,72,1,2961
620,37,59,1,2961
