nokta_no,x,y,count,sezon_dakikasi
1,4,38,1,1347
2,4,74,1,1347
3,4,69,1,1347
4,4,75,1,1347
5,4,62,1,1347
6,4,59,1,1347
7,4,53,1,1347
8,0,38,1,1347
9,0,84,1,1347
10,26,38,2,1347
11,26,66,1,1347
12,26,58,1,1347
13,26,68,1,1347
14,26,18,1,1347
15,26,0,1,1347
16,26,31,1,1347
17,26,11,1,1347
18,26,5,1,1347
19,26,43,1,1347
20,26,67,1,1347
21,26,78,1,1347
22,26,47,1,1347
23,26,62,1,1347
24,26,46,1,1347
25,26,16,2,1347
26,26,72,2,1347
27,26,94,1,1347
28,26,71,1,1347
29,26,61,1,1347
30,26,74,1,1347
31,26,7,1,1347
32,26,51,1,1347
33,26,32,1,1347
34,85,70,1,1347
35,12,88,1,1347
36,12,49,1,1347
37,12,46,1,1347
38,12,41,2,1347
39,12,55,1,1347
40,12,48,1,1347
41,12,62,2,1347
42,12,54,1,1347
43,12,4,1,1347
44,12,52,1,1347
45,12,86,1,1347
46,12,72,1,1347
47,12,69,2,1347
48,12,27,1,1347
49,12,14,1,1347
50,12,37,1,1347
51,19,66,1,1347
52,19,0,1,1347
53,19,19,1,1347
54,19,93,2,1347
55,19,28,1,1347
56,19,76,1,1347
57,19,59,1,1347
58,19,86,1,1347
59,19,87,1,1347
60,19,72,1,1347
61,19,33,1,1347
62,20,71,1,1347
63,20,68,2,1347
64,20,69,1,1347
65,20,33,2,1347
66,20,15,1,1347
67,20,80,1,1347
68,20,78,1,1347
69,20,46,1,1347
70,20,51,1,1347
71,20,76,1,1347
72,20,13,1,1347
73,89,46,1,1347
74,89,67,1,1347
75,89,31,1,1347
76,87,48,1,1347
77,30,72,4,1347
78,30,56,1,1347
79,30,47,1,1347
80,30,22,1,1347
81,30,20,1,1347
82,30,6,1,1347
83,30,53,2,1347
84,30,64,2,1347
85,30,59,1,1347
86,30,58,1,1347
87,30,73,3,1347
88,30,77,1,1347
89,30,92,2,1347
90,30,65,1,1347
91,30,71,2,1347
92,30,74,1,1347
93,30,82,1,1347
94,30,68,1,1347
95,30,36,1,1347
96,30,42,1,1347
97,30,67,1,1347
98,30,0,1,1347
99,30,55,1,1347
100,30,27,1,1347
101,30,52,1,1347
102,30,26,1,1347
103,30,62,2,1347
104,30,39,1,1347
105,30,40,1,1347
106,9,66,1,1347
107,9,0,1,1347
108,9,53,2,1347
109,9,43,1,1347
110,9,44,1,1347
111,9,23,1,1347
112,9,16,1,1347
113,9,48,1,1347
114,9,11,1,1347
115,9,38,2,1347
116,9,47,1,1347
117,9,52,1,1347
118,9,49,1,1347
119,9,46,1,1347
120,9,54,1,1347
121,9,9,1,1347
122,9,35,1,1347
123,9,17,1,1347
124,21,60,1,1347
125,21,41,2,1347
126,21,54,1,1347
127,21,65,2,1347
128,21,22,1,1347
129,21,63,1,1347
130,21,90,1,1347
131,21,95,1,1347
132,21,45,1,1347
133,21,74,1,1347
134,21,79,1,1347
135,21,78,1,1347
136,21,36,1,1347
137,21,20,1,1347
138,17,94,1,1347
139,17,51,1,1347
140,17,56,2,1347
141,17,16,1,1347
142,17,54,1,1347
143,17,96,1,1347
144,17,73,1,1347
145,16,97,2,1347
146,16,38,1,1347
147,16,68,1,1347
148,16,46,1,1347
149,16,62,1,1347
150,16,63,1,1347
151,16,66,1,1347
152,8,91,1,1347
153,8,67,1,1347
154,8,50,2,1347
155,8,95,1,1347
156,8,3,1,1347
157,8,16,1,1347
158,8,36,2,1347
159,8,33,3,1347
160,8,47,1,1347
161,8,58,1,1347
162,8,31,1,1347
163,8,55,1,1347
164,8,82,1,1347
165,8,48,1,1347
166,8,73,1,1347
167,8,79,1,1347
168,8,64,1,1347
169,8,43,2,1347
170,8,6,2,1347
171,11,97,1,1347
172,11,77,2,1347
173,11,28,1,1347
174,11,60,1,1347
175,11,66,1,1347
176,11,52,1,1347
177,11,61,1,1347
178,11,59,1,1347
179,11,83,1,1347
180,11,41,1,1347
181,11,57,1,1347
182,11,43,1,1347
183,11,49,1,1347
184,11,48,1,1347
185,11,8,2,1347
186,11,74,1,1347
187,11,25,1,1347
188,13,94,2,1347
189,13,57,1,1347
190,13,40,1,1347
191,13,53,1,1347
192,13,89,1,1347
193,13,63,1,1347
194,13,77,1,1347
195,13,47,1,1347
196,13,13,1,1347
197,40,63,1,1347
198,40,34,1,1347
199,40,20,1,1347
200,40,69,1,1347
201,40,86,1,1347
202,40,19,1,1347
203,40,61,1,1347
204,40,66,1,1347
205,40,78,1,1347
206,40,81,1,1347
207,40,79,1,1347
208,40,88,1,1347
209,40,18,1,1347
210,27,61,2,1347
211,27,26,3,1347
212,27,32,2,1347
213,27,30,1,1347
214,27,90,1,1347
215,27,10,1,1347
216,27,77,2,1347
217,27,73,1,1347
218,27,69,2,1347
219,27,80,1,1347
220,27,72,2,1347
221,27,54,1,1347
222,27,53,1,1347
223,27,37,2,1347
224,27,43,1,1347
225,27,66,1,1347
226,27,96,1,1347
227,27,82,1,1347
228,27,49,1,1347
229,29,75,1,1347
230,29,3,1,1347
231,29,8,1,1347
232,29,88,1,1347
233,29,64,1,1347
234,29,90,1,1347
235,29,58,1,1347
236,29,50,1,1347
237,29,76,1,1347
238,29,69,1,1347
239,29,72,3,1347
240,29,89,1,1347
241,29,59,1,1347
242,29,68,2,1347
243,29,60,1,1347
244,29,74,1,1347
245,29,27,1,1347
246,29,41,1,1347
247,29,36,1,1347
248,3,69,1,1347
249,3,55,1,1347
250,3,39,1,1347
251,3,84,1,1347
252,3,28,1,1347
253,3,29,1,1347
254,3,74,2,1347
255,3,27,2,1347
256,3,10,1,1347
257,23,10,1,1347
258,23,18,1,1347
259,23,35,1,1347
260,23,32,1,1347
261,23,71,2,1347
262,23,60,2,1347
263,23,31,2,1347
264,23,27,1,1347
265,23,42,1,1347
266,23,73,2,1347
267,23,70,1,1347
268,23,30,1,1347
269,42,25,2,1347
270,42,38,1,1347
271,42,40,1,1347
272,42,21,1,1347
273,42,10,1,1347
274,42,34,3,1347
275,42,84,2,1347
276,42,73,2,1347
277,42,90,1,1347
278,42,87,1,1347
279,42,47,1,1347
280,42,52,1,1347
281,42,33,1,1347
282,42,83,1,1347
283,32,24,1,1347
284,32,14,1,1347
285,32,10,1,1347
286,32,45,1,1347
287,32,8,1,1347
288,32,7,3,1347
289,32,23,1,1347
290,32,31,1,1347
291,32,95,2,1347
292,32,62,1,1347
293,32,47,1,1347
294,32,59,1,1347
295,32,66,1,1347
296,32,16,1,1347
297,32,35,1,1347
298,32,74,1,1347
299,32,80,1,1347
300,32,41,1,1347
301,32,48,1,1347
302,32,18,1,1347
303,32,0,1,1347
304,14,30,2,1347
305,14,54,1,1347
306,14,14,3,1347
307,14,68,1,1347
308,14,25,1,1347
309,14,45,1,1347
310,14,37,1,1347
311,14,53,1,1347
312,14,69,1,1347
313,14,90,1,1347
314,14,67,1,1347
315,14,44,1,1347
316,14,87,1,1347
317,14,26,1,1347
318,56,32,2,1347
319,56,23,1,1347
320,56,35,1,1347
321,56,46,1,1347
322,56,43,1,1347
323,56,7,1,1347
324,56,0,1,1347
325,56,4,1,1347
326,56,85,1,1347
327,56,90,1,1347
328,56,20,1,1347
329,56,11,1,1347
330,56,25,1,1347
331,56,61,1,1347
332,56,66,1,1347
333,56,73,1,1347
334,56,63,1,1347
335,56,18,1,1347
336,38,23,1,1347
337,38,67,2,1347
338,38,46,2,1347
339,38,19,2,1347
340,38,9,1,1347
341,38,26,1,1347
342,38,78,1,1347
343,38,90,1,1347
344,38,71,1,1347
345,38,70,1,1347
346,38,69,1,1347
347,38,80,1,1347
348,38,34,1,1347
349,38,28,1,1347
350,38,81,1,1347
351,68,13,1,1347
352,68,5,1,1347
353,64,30,1,1347
354,64,23,1,1347
355,64,13,1,1347
356,64,86,1,1347
357,64,70,1,1347
358,64,59,1,1347
