nokta_no,x,y,count,sezon_dakikasi
1,33,24,2,1532
2,33,48,3,1532
3,33,58,1,1532
4,33,72,1,1532
5,33,64,1,1532
6,33,57,2,1532
7,33,83,1,1532
8,33,69,1,1532
9,33,68,1,1532
10,33,33,1,1532
11,33,79,1,1532
12,33,73,2,1532
13,33,55,1,1532
14,33,62,1,1532
15,33,66,1,1532
16,33,42,1,1532
17,33,21,1,1532
18,62,36,3,1532
19,62,87,1,1532
20,62,71,2,1532
21,62,46,1,1532
22,62,89,1,1532
23,62,63,1,1532
24,62,75,1,1532
25,62,31,3,1532
26,62,77,2,1532
27,62,18,2,1532
28,62,40,1,1532
29,62,85,1,1532
30,62,88,1,1532
31,62,35,1,1532
32,62,25,1,1532
33,62,26,1,1532
34,62,41,1,1532
35,62,44,1,1532
36,62,23,1,1532
37,62,68,1,1532
38,62,30,1,1532
39,62,65,3,1532
40,62,74,1,1532
41,62,80,1,1532
42,62,16,1,1532
43,62,79,1,1532
44,62,37,1,1532
45,62,55,1,1532
46,62,82,1,1532
47,64,83,1,1532
48,64,14,1,1532
49,64,82,1,1532
50,64,72,1,1532
51,64,70,1,1532
52,64,42,1,1532
53,64,25,2,1532
54,64,49,1,1532
55,64,93,1,1532
56,64,35,1,1532
57,64,40,1,1532
58,64,29,1,1532
59,64,75,1,1532
60,64,68,1,1532
61,64,59,1,1532
62,64,27,1,1532
63,64,36,1,1532
64,64,33,1,1532
65,64,81,1,1532
66,64,28,1,1532
67,64,43,2,1532
68,64,26,1,1532
69,64,41,1,1532
70,64,44,1,1532
71,69,51,1,1532
72,69,93,1,1532
73,69,36,1,1532
74,69,37,2,1532
75,69,91,1,1532
76,69,46,1,1532
77,69,73,1,1532
78,69,52,1,1532
79,69,12,1,1532
80,69,11,1,1532
81,69,24,1,1532
82,69,87,1,1532
83,69,18,1,1532
84,69,15,1,1532
85,76,37,1,1532
86,76,77,1,1532
87,76,22,1,1532
88,76,36,1,1532
89,76,30,1,1532
90,76,66,1,1532
91,76,15,1,1532
92,76,64,1,1532
93,76,93,1,1532
94,76,69,1,1532
95,53,76,2,1532
96,53,41,2,1532
97,53,64,2,1532
98,53,84,1,1532
99,53,83,1,1532
100,53,31,1,1532
101,53,72,1,1532
102,53,4,1,1532
103,53,73,1,1532
104,53,42,1,1532
105,53,57,2,1532
106,53,36,2,1532
107,53,27,1,1532
108,53,80,1,1532
109,53,65,1,1532
110,53,20,1,1532
111,53,56,1,1532
112,53,86,1,1532
113,53,75,1,1532
114,53,40,1,1532
115,53,68,1,1532
116,53,45,1,1532
117,53,51,1,1532
118,53,44,1,1532
119,53,48,1,1532
120,53,71,1,1532
121,55,71,2,1532
122,55,36,4,1532
123,55,56,1,1532
124,55,28,1,1532
125,55,74,1,1532
126,55,70,1,1532
127,55,53,1,1532
128,55,34,1,1532
129,55,67,1,1532
130,55,69,1,1532
131,55,23,1,1532
132,55,80,1,1532
133,55,65,1,1532
134,55,64,1,1532
135,55,14,1,1532
136,55,24,1,1532
137,55,55,1,1532
138,55,33,1,1532
139,55,48,1,1532
140,55,57,1,1532
141,55,68,1,1532
142,55,16,2,1532
143,55,21,1,1532
144,50,75,1,1532
145,50,50,1,1532
146,50,49,1,1532
147,50,77,1,1532
148,50,42,1,1532
149,50,62,1,1532
150,41,78,1,1532
151,41,77,1,1532
152,41,35,2,1532
153,41,13,1,1532
154,41,22,1,1532
155,41,39,1,1532
156,41,87,1,1532
157,41,65,2,1532
158,41,85,1,1532
159,41,69,1,1532
160,41,27,1,1532
161,41,38,1,1532
162,41,32,1,1532
163,41,37,1,1532
164,70,51,1,1532
165,70,93,1,1532
166,70,70,1,1532
167,70,58,1,1532
168,70,80,2,1532
169,70,13,2,1532
170,70,25,1,1532
171,70,33,1,1532
172,70,47,1,1532
173,70,67,1,1532
174,70,71,1,1532
175,70,86,1,1532
176,70,37,1,1532
177,70,56,1,1532
178,23,60,1,1532
179,23,40,1,1532
180,23,50,1,1532
181,23,88,1,1532
182,23,45,1,1532
183,23,96,1,1532
184,23,62,2,1532
185,23,33,1,1532
186,23,84,1,1532
187,23,89,2,1532
188,23,29,1,1532
189,23,87,1,1532
190,23,72,1,1532
191,45,49,2,1532
192,45,73,1,1532
193,45,82,1,1532
194,45,69,1,1532
195,45,76,2,1532
196,45,21,1,1532
197,45,33,2,1532
198,45,56,2,1532
199,45,66,1,1532
200,45,67,1,1532
201,45,30,1,1532
202,45,54,1,1532
203,45,42,2,1532
204,45,47,1,1532
205,45,41,1,1532
206,45,15,1,1532
207,45,81,1,1532
208,45,36,1,1532
209,28,48,1,1532
210,28,21,1,1532
211,28,59,1,1532
212,28,64,1,1532
213,28,55,1,1532
214,28,38,1,1532
215,28,34,3,1532
216,28,69,2,1532
217,28,79,1,1532
218,28,53,2,1532
219,28,10,2,1532
220,28,65,1,1532
221,28,74,1,1532
222,28,77,1,1532
223,28,56,1,1532
224,28,6,1,1532
225,28,11,1,1532
226,75,62,1,1532
227,75,72,1,1532
228,75,53,1,1532
229,75,80,1,1532
230,75,73,1,1532
231,75,46,1,1532
232,75,9,1,1532
233,75,77,1,1532
234,75,32,1,1532
235,75,4,1,1532
236,75,82,1,1532
237,75,37,1,1532
238,60,89,1,1532
239,60,79,1,1532
240,60,66,1,1532
241,60,68,1,1532
242,60,5,1,1532
243,60,44,1,1532
244,60,61,1,1532
245,60,33,1,1532
246,60,35,1,1532
247,60,36,1,1532
248,60,37,1,1532
249,60,58,1,1532
250,60,76,1,1532
251,60,21,1,1532
252,60,77,2,1532
253,60,62,1,1532
254,60,73,1,1532
255,60,47,1,1532
256,60,88,1,1532
257,66,84,1,1532
258,66,70,1,1532
259,66,47,1,1532
260,66,44,1,1532
261,66,56,1,1532
262,66,63,1,1532
263,66,74,2,1532
264,66,39,1,1532
265,66,23,1,1532
266,66,21,1,1532
267,66,85,2,1532
268,66,72,1,1532
269,66,28,1,1532
270,66,41,1,1532
271,66,18,1,1532
272,66,69,2,1532
273,66,79,1,1532
274,66,62,1,1532
275,66,36,1,1532
276,66,48,1,1532
277,66,49,1,1532
278,66,65,1,1532
279,66,27,1,1532
280,66,31,2,1532
281,66,24,2,1532
282,66,83,1,1532
283,66,76,1,1532
284,66,26,1,1532
285,66,29,1,1532
286,71,87,1,1532
287,71,100,1,1532
288,71,38,1,1532
289,71,78,1,1532
290,71,91,1,1532
291,71,93,1,1532
292,71,30,1,1532
293,71,40,1,1532
294,71,33,1,1532
295,71,21,1,1532
296,71,52,1,1532
297,71,45,1,1532
298,71,60,1,1532
299,71,63,1,1532
300,71,47,1,1532
301,87,98,1,1532
302,87,85,1,1532
303,87,24,1,1532
304,87,38,1,1532
305,35,73,1,1532
306,35,86,1,1532
307,35,52,2,1532
308,35,69,1,1532
309,35,61,1,1532
310,35,42,2,1532
311,35,51,1,1532
312,35,39,1,1532
313,35,50,1,1532
314,35,55,1,1532
315,35,84,1,1532
316,35,83,1,1532
317,35,58,1,1532
318,35,16,1,1532
319,35,28,2,1532
320,35,24,1,1532
321,35,40,1,1532
322,35,93,1,1532
323,35,45,2,1532
324,35,36,1,1532
325,35,67,2,1532
326,21,30,2,1532
327,21,95,2,1532
328,21,71,1,1532
329,21,61,1,1532
330,21,74,1,1532
331,21,41,1,1532
332,46,34,1,1532
333,46,61,1,1532
334,46,45,1,1532
335,46,72,1,1532
336,46,78,1,1532
337,46,23,1,1532
338,46,76,1,1532
339,46,55,3,1532
340,46,51,2,1532
341,46,44,1,1532
342,46,40,1,1532
343,46,70,3,1532
344,46,56,1,1532
345,46,87,1,1532
346,46,77,1,1532
347,46,48,1,1532
348,46,49,1,1532
349,46,33,1,1532
350,46,16,1,1532
351,46,71,1,1532
352,56,38,1,1532
353,56,73,3,1532
354,56,60,1,1532
355,56,29,1,1532
356,56,27,1,1532
357,56,68,2,1532
358,56,78,1,1532
359,56,71,1,1532
360,56,74,2,1532
361,56,28,1,1532
362,56,31,1,1532
363,56,70,1,1532
364,56,63,1,1532
365,56,30,2,1532
366,56,26,1,1532
367,56,62,1,1532
368,56,49,1,1532
369,56,67,1,1532
370,56,36,1,1532
371,56,72,1,1532
372,56,21,1,1532
373,56,47,1,1532
374,56,20,1,1532
375,31,8,1,1532
376,31,57,1,1532
377,31,75,2,1532
378,31,33,1,1532
379,31,76,1,1532
380,31,63,2,1532
381,31,25,2,1532
382,31,18,1,1532
383,31,59,1,1532
384,31,40,1,1532
385,31,54,1,1532
386,31,78,1,1532
387,31,49,1,1532
388,31,67,1,1532
389,31,44,1,1532
390,31,62,1,1532
391,31,61,1,1532
392,31,51,1,1532
393,31,48,1,1532
394,31,35,1,1532
395,31,69,1,1532
396,52,51,1,1532
397,52,81,1,1532
398,52,43,1,1532
399,52,58,1,1532
400,52,76,2,1532
401,52,77,1,1532
402,52,31,1,1532
403,52,80,1,1532
404,52,69,2,1532
405,52,79,2,1532
406,52,59,1,1532
407,52,38,1,1532
408,52,68,1,1532
409,52,63,1,1532
410,52,32,1,1532
411,52,25,1,1532
412,44,51,2,1532
413,44,85,1,1532
414,44,33,1,1532
