nokta_no,x,y,count,sezon_dakikasi
1,31,15,2,1717
2,31,3,1,1717
3,31,44,1,1717
4,31,16,1,1717
5,31,24,1,1717
6,31,83,1,1717
7,31,95,1,1717
8,31,6,1,1717
9,31,96,2,1717
10,31,19,1,1717
11,31,9,1,1717
12,36,23,1,1717
13,36,4,2,1717
14,36,46,1,1717
15,36,14,2,1717
16,36,21,1,1717
17,36,19,1,1717
18,36,77,1,1717
19,36,0,1,1717
20,36,5,2,1717
21,36,11,1,1717
22,36,95,1,1717
23,36,92,1,1717
24,36,59,1,1717
25,47,9,1,1717
26,47,41,1,1717
27,47,30,1,1717
28,47,17,1,1717
29,47,32,1,1717
30,47,94,1,1717
31,47,5,2,1717
32,47,43,1,1717
33,47,60,2,1717
34,85,13,2,1717
35,85,3,1,1717
36,85,29,1,1717
37,85,41,1,1717
38,85,15,1,1717
39,85,21,1,1717
40,85,12,1,1717
41,85,71,1,1717
42,85,62,1,1717
43,85,19,1,1717
44,85,16,1,1717
45,85,88,1,1717
46,33,2,1,1717
47,33,8,1,1717
48,33,13,2,1717
49,33,16,1,1717
50,33,5,1,1717
51,33,14,2,1717
52,33,54,1,1717
53,33,53,2,1717
54,33,10,1,1717
55,33,85,1,1717
56,33,7,1,1717
57,33,90,1,1717
58,33,19,1,1717
59,33,39,1,1717
60,16,22,1,1717
61,16,29,1,1717
62,16,15,1,1717
63,16,1,1,1717
64,28,16,2,1717
65,28,52,1,1717
66,28,33,1,1717
67,28,31,1,1717
68,28,28,1,1717
69,28,75,1,1717
70,28,6,1,1717
71,28,4,1,1717
72,28,10,1,1717
73,28,25,1,1717
74,28,17,1,1717
75,28,63,2,1717
76,28,84,1,1717
77,28,9,1,1717
78,44,7,1,1717
79,44,22,2,1717
80,44,97,1,1717
81,44,6,1,1717
82,44,55,1,1717
83,44,8,1,1717
84,44,3,1,1717
85,44,74,1,1717
86,44,34,1,1717
87,44,19,1,1717
88,44,36,1,1717
89,44,53,1,1717
90,44,41,1,1717
91,44,17,1,1717
92,44,4,1,1717
93,44,31,1,1717
94,44,29,1,1717
95,44,2,1,1717
96,44,86,1,1717
97,65,22,1,1717
98,65,27,1,1717
99,65,9,2,1717
100,65,29,1,1717
101,65,6,2,1717
102,65,40,1,1717
103,65,11,1,1717
104,65,8,1,1717
105,65,15,1,1717
106,65,46,1,1717
107,65,4,1,1717
108,65,33,1,1717
109,65,95,2,1717
110,65,5,1,1717
111,65,17,1,1717
112,65,21,1,1717
113,65,85,1,1717
114,65,72,2,1717
115,65,94,1,1717
116,65,49,1,1717
117,65,19,1,1717
118,74,58,1,1717
119,74,18,1,1717
120,74,7,2,1717
121,74,48,1,1717
122,74,16,2,1717
123,74,80,1,1717
124,74,8,1,1717
125,74,95,1,1717
126,74,17,1,1717
127,74,32,1,1717
128,74,3,2,1717
129,74,5,1,1717
130,74,88,1,1717
131,74,19,1,1717
