nokta_no,x,y,count,sezon_dakikasi
1,35,40,1,1090
2,35,29,2,1090
3,35,25,1,1090
4,35,14,1,1090
5,35,55,1,1090
6,35,9,1,1090
7,35,20,1,1090
8,35,49,1,1090
9,35,42,1,1090
10,35,32,2,1090
11,35,15,2,1090
12,35,30,1,1090
13,35,33,1,1090
14,35,21,1,1090
15,35,22,1,1090
16,35,34,2,1090
17,35,31,1,1090
18,35,37,2,1090
19,33,42,1,1090
20,33,28,2,1090
21,33,57,1,1090
22,33,30,3,1090
23,33,27,3,1090
24,33,98,1,1090
25,33,33,1,1090
26,33,25,1,1090
27,33,48,2,1090
28,33,43,1,1090
29,33,45,1,1090
30,33,36,1,1090
31,33,16,1,1090
32,33,17,2,1090
33,33,44,3,1090
34,33,0,1,1090
35,33,24,1,1090
36,33,62,2,1090
37,33,3,1,1090
38,33,21,1,1090
39,29,40,3,1090
40,29,31,3,1090
41,29,35,1,1090
42,29,37,3,1090
43,29,28,3,1090
44,29,15,2,1090
45,29,38,1,1090
46,29,25,1,1090
47,29,14,1,1090
48,29,22,1,1090
49,29,30,1,1090
50,29,41,1,1090
51,29,45,2,1090
52,29,21,1,1090
53,29,34,1,1090
54,29,7,1,1090
55,29,18,1,1090
56,29,26,1,1090
57,29,24,1,1090
58,26,28,2,1090
59,26,42,1,1090
60,26,32,2,1090
61,26,8,2,1090
62,26,10,2,1090
63,26,23,1,1090
64,26,30,1,1090
65,26,64,2,1090
66,26,39,2,1090
67,26,56,2,1090
68,26,24,1,1090
69,26,0,1,1090
70,26,20,1,1090
71,26,4,1,1090
72,26,37,1,1090
73,26,36,1,1090
74,32,28,1,1090
75,32,27,2,1090
76,32,36,1,1090
77,32,6,1,1090
78,32,49,1,1090
79,32,50,1,1090
80,32,29,1,1090
81,32,17,2,1090
82,32,24,1,1090
83,32,3,3,1090
84,32,64,1,1090
85,32,46,4,1090
86,32,35,2,1090
87,32,0,1,1090
88,32,16,1,1090
89,37,27,2,1090
90,37,50,1,1090
91,37,43,2,1090
92,37,28,2,1090
93,37,30,2,1090
94,37,22,1,1090
95,37,63,1,1090
96,37,33,1,1090
97,37,14,1,1090
98,37,6,1,1090
99,37,26,4,1090
100,37,59,3,1090
101,37,39,1,1090
102,37,68,1,1090
103,37,4,1,1090
104,37,49,1,1090
105,37,51,1,1090
106,37,36,1,1090
107,37,18,2,1090
108,37,32,1,1090
109,37,10,1,1090
110,37,25,1,1090
111,37,12,1,1090
112,37,44,2,1090
113,13,8,1,1090
114,13,3,2,1090
115,13,61,1,1090
116,13,14,1,1090
117,13,37,3,1090
118,13,18,1,1090
119,13,90,2,1090
120,13,46,1,1090
121,13,43,1,1090
122,13,51,1,1090
123,13,28,1,1090
124,13,6,1,1090
125,13,15,2,1090
126,13,26,1,1090
127,13,21,1,1090
128,9,10,1,1090
129,9,27,1,1090
130,9,4,1,1090
131,9,59,1,1090
132,9,29,1,1090
133,9,56,1,1090
134,9,57,1,1090
135,9,32,1,1090
136,9,44,2,1090
137,9,47,1,1090
138,9,53,1,1090
139,9,31,1,1090
140,8,12,1,1090
141,8,32,1,1090
142,8,51,2,1090
143,8,28,1,1090
144,8,64,1,1090
145,8,15,1,1090
146,8,63,2,1090
147,8,24,1,1090
148,8,5,1,1090
149,8,30,1,1090
150,8,55,1,1090
151,8,18,1,1090
152,10,4,1,1090
153,10,22,1,1090
154,10,50,1,1090
155,10,80,1,1090
156,10,16,1,1090
157,10,58,1,1090
158,10,61,1,1090
159,10,10,1,1090
160,10,28,1,1090
161,10,13,1,1090
162,10,32,1,1090
163,10,30,1,1090
164,10,48,2,1090
165,10,15,1,1090
166,10,45,1,1090
167,72,43,2,1090
168,72,28,1,1090
169,72,19,1,1090
170,72,15,1,1090
171,28,28,1,1090
172,28,69,1,1090
173,28,14,1,1090
174,28,40,3,1090
175,28,44,2,1090
176,28,18,2,1090
177,28,42,1,1090
178,28,54,1,1090
179,28,25,1,1090
180,28,41,1,1090
181,28,53,1,1090
182,28,12,1,1090
183,28,39,1,1090
184,28,30,2,1090
185,28,26,1,1090
186,28,34,1,1090
187,28,15,1,1090
188,28,21,1,1090
189,43,8,1,1090
190,43,13,1,1090
191,43,51,1,1090
192,43,52,1,1090
193,43,21,1,1090
194,43,25,2,1090
195,43,12,1,1090
196,43,40,1,1090
197,43,5,1,1090
198,43,64,1,1090
199,43,18,1,1090
200,43,16,2,1090
201,43,3,1,1090
202,43,34,1,1090
203,43,56,1,1090
204,43,30,1,1090
205,43,32,1,1090
206,43,26,1,1090
207,43,6,1,1090
208,43,49,1,1090
209,43,22,1,1090
210,4,37,1,1090
211,4,71,1,1090
212,4,25,1,1090
213,4,24,1,1090
214,4,60,1,1090
215,4,45,1,1090
216,27,37,1,1090
217,27,12,1,1090
218,27,32,2,1090
219,27,23,2,1090
220,27,36,2,1090
221,27,45,2,1090
222,27,15,1,1090
223,27,7,1,1090
224,27,54,1,1090
225,27,44,1,1090
226,27,22,1,1090
227,27,39,1,1090
228,27,13,2,1090
229,27,25,1,1090
230,27,21,1,1090
231,27,0,1,1090
232,27,2,1,1090
233,27,46,1,1090
234,27,11,1,1090
235,27,35,1,1090
236,27,49,1,1090
237,27,6,2,1090
238,27,27,1,1090
239,27,28,1,1090
240,27,26,1,1090
241,27,4,1,1090
242,27,14,1,1090
243,27,30,3,1090
244,27,8,1,1090
245,27,9,1,1090
246,27,34,1,1090
247,27,31,1,1090
248,46,73,1,1090
249,46,15,1,1090
250,46,9,1,1090
251,46,24,1,1090
252,46,14,2,1090
253,46,42,1,1090
254,46,55,1,1090
255,46,40,1,1090
256,46,11,1,1090
257,46,48,1,1090
258,46,29,1,1090
259,46,8,1,1090
260,46,53,1,1090
261,46,34,2,1090
262,48,73,1,1090
263,48,53,2,1090
264,48,48,1,1090
265,48,33,1,1090
266,48,29,2,1090
267,48,24,1,1090
268,48,41,1,1090
269,48,13,1,1090
270,21,32,1,1090
271,21,25,2,1090
272,21,16,1,1090
273,21,21,2,1090
274,21,6,1,1090
275,21,30,2,1090
276,21,5,1,1090
277,21,28,1,1090
278,21,29,1,1090
279,21,15,1,1090
