nokta_no,x,y,count,sezon_dakikasi
1,50,49,5,2693
2,50,50,2,2693
3,50,61,1,2693
4,50,55,1,2693
5,50,81,2,2693
6,50,63,1,2693
7,50,41,1,2693
8,50,57,1,2693
9,50,53,1,2693
10,55,63,2,2693
11,55,80,3,2693
12,55,42,2,2693
13,55,24,1,2693
14,55,75,2,2693
15,55,45,1,2693
16,55,68,1,2693
17,55,83,1,2693
18,55,57,1,2693
19,55,78,1,2693
20,55,52,2,2693
21,55,23,1,2693
22,55,20,2,2693
23,55,60,2,2693
24,55,27,2,2693
25,55,34,1,2693
26,55,50,1,2693
27,55,28,1,2693
28,55,7,1,2693
29,55,76,1,2693
30,55,55,1,2693
31,55,77,1,2693
32,55,70,1,2693
33,55,26,1,2693
34,55,69,1,2693
35,55,92,1,2693
36,74,79,2,2693
37,74,28,1,2693
38,74,50,1,2693
39,74,27,1,2693
40,74,36,2,2693
41,74,46,1,2693
42,74,14,1,2693
43,74,60,1,2693
44,74,12,1,2693
45,74,30,2,2693
46,74,17,1,2693
47,74,88,1,2693
48,74,78,1,2693
49,74,13,2,2693
50,74,45,1,2693
51,74,8,1,2693
52,74,37,2,2693
53,74,59,1,2693
54,74,4,1,2693
55,74,85,2,2693
56,74,69,1,2693
57,74,66,3,2693
58,74,55,2,2693
59,74,61,1,2693
60,74,20,1,2693
61,74,15,1,2693
62,74,76,1,2693
63,74,32,1,2693
64,74,96,1,2693
65,74,64,1,2693
66,74,92,1,2693
67,74,91,1,2693
68,74,81,1,2693
69,74,84,2,2693
70,30,2,2,2693
71,30,72,1,2693
72,30,69,1,2693
73,30,60,1,2693
74,30,84,1,2693
75,30,74,3,2693
76,30,36,1,2693
77,30,55,1,2693
78,30,70,1,2693
79,30,24,1,2693
80,30,90,1,2693
81,30,89,1,2693
82,30,67,1,2693
83,30,35,3,2693
84,30,6,1,2693
85,30,5,1,2693
86,30,13,1,2693
87,30,77,1,2693
88,30,87,1,2693
89,30,78,3,2693
90,30,86,1,2693
91,30,15,1,2693
92,30,92,2,2693
93,30,29,1,2693
94,30,79,1,2693
95,30,45,1,2693
96,30,50,1,2693
97,30,93,2,2693
98,30,71,1,2693
99,30,61,1,2693
100,34,64,2,2693
101,34,5,1,2693
102,34,79,1,2693
103,34,11,1,2693
104,34,21,1,2693
105,34,14,2,2693
106,34,59,1,2693
107,34,19,1,2693
108,34,13,2,2693
109,34,40,1,2693
110,34,38,1,2693
111,34,26,1,2693
112,34,46,2,2693
113,34,84,1,2693
114,34,39,1,2693
115,34,35,1,2693
116,34,96,1,2693
117,34,55,2,2693
118,34,37,2,2693
119,34,67,1,2693
120,34,52,1,2693
121,34,44,1,2693
122,34,36,1,2693
123,34,90,1,2693
124,34,87,1,2693
125,34,82,1,2693
126,34,48,1,2693
127,34,60,1,2693
128,34,62,1,2693
129,34,70,1,2693
130,13,92,3,2693
131,13,69,1,2693
132,13,37,1,2693
133,13,51,2,2693
134,37,90,1,2693
135,37,80,1,2693
136,37,48,1,2693
137,37,4,1,2693
138,37,36,1,2693
139,37,29,2,2693
140,37,44,2,2693
141,37,69,3,2693
142,37,24,1,2693
143,37,38,2,2693
144,37,22,2,2693
145,37,50,1,2693
146,37,43,1,2693
147,37,79,1,2693
148,37,49,1,2693
149,37,100,1,2693
150,37,2,1,2693
151,37,54,2,2693
152,37,34,1,2693
153,37,70,2,2693
154,37,81,1,2693
155,37,59,1,2693
156,37,91,1,2693
157,37,64,1,2693
158,37,75,1,2693
159,37,86,1,2693
160,37,83,1,2693
161,37,77,1,2693
162,33,83,1,2693
163,33,56,2,2693
164,33,33,1,2693
165,33,80,2,2693
166,33,54,1,2693
167,33,81,1,2693
168,33,50,2,2693
169,33,94,1,2693
170,33,63,2,2693
171,33,40,1,2693
172,33,65,1,2693
173,33,93,1,2693
174,33,39,1,2693
175,33,82,1,2693
176,33,19,1,2693
177,33,59,1,2693
178,33,25,1,2693
179,33,22,1,2693
180,33,26,1,2693
181,33,41,1,2693
182,33,60,2,2693
183,33,38,1,2693
184,33,8,1,2693
185,33,87,1,2693
186,33,72,1,2693
187,33,49,2,2693
188,33,47,1,2693
189,33,64,1,2693
190,24,62,1,2693
191,24,69,2,2693
192,24,37,1,2693
193,24,50,1,2693
194,24,74,1,2693
195,24,2,1,2693
196,24,86,1,2693
197,24,18,1,2693
198,24,98,1,2693
199,24,58,1,2693
200,24,90,1,2693
201,58,7,1,2693
202,58,13,2,2693
203,58,39,1,2693
204,58,96,1,2693
205,58,29,1,2693
206,58,47,1,2693
207,58,32,2,2693
208,58,30,1,2693
209,58,62,3,2693
210,58,73,1,2693
211,58,17,1,2693
212,58,81,1,2693
213,58,89,1,2693
214,58,4,2,2693
215,58,41,1,2693
216,58,65,2,2693
217,58,33,1,2693
218,58,9,1,2693
219,58,63,1,2693
220,58,26,2,2693
221,58,21,1,2693
222,58,90,1,2693
223,58,79,1,2693
224,58,50,1,2693
225,58,80,1,2693
226,58,93,1,2693
227,58,44,1,2693
228,58,78,1,2693
229,58,87,1,2693
230,58,61,1,2693
231,58,6,1,2693
232,58,91,2,2693
233,58,71,1,2693
234,58,64,3,2693
235,58,48,1,2693
236,63,26,2,2693
237,63,35,2,2693
238,63,91,2,2693
239,63,76,2,2693
240,63,74,1,2693
241,63,39,2,2693
242,63,2,1,2693
243,63,14,1,2693
244,63,30,1,2693
245,63,46,1,2693
246,63,93,4,2693
247,63,31,4,2693
248,63,88,2,2693
249,63,78,2,2693
250,63,83,1,2693
251,63,71,1,2693
252,63,57,1,2693
253,63,62,1,2693
254,63,53,1,2693
255,63,7,1,2693
256,63,75,1,2693
257,63,29,1,2693
258,63,17,1,2693
259,63,49,1,2693
260,63,85,3,2693
261,63,52,2,2693
262,63,86,1,2693
263,63,54,1,2693
264,63,92,1,2693
265,71,73,1,2693
266,71,86,1,2693
267,71,23,3,2693
268,71,78,1,2693
269,71,18,1,2693
270,71,50,2,2693
271,71,48,1,2693
272,71,64,1,2693
273,71,8,1,2693
274,71,60,2,2693
275,71,27,1,2693
276,71,16,1,2693
277,71,70,1,2693
278,71,72,1,2693
279,71,28,1,2693
280,71,54,3,2693
281,71,19,1,2693
282,71,61,1,2693
283,71,57,1,2693
284,71,68,1,2693
285,71,79,1,2693
286,71,55,2,2693
287,71,69,1,2693
288,71,10,1,2693
289,71,93,1,2693
290,71,65,1,2693
291,71,38,1,2693
292,71,51,1,2693
293,71,37,1,2693
294,71,67,1,2693
295,59,33,1,2693
296,59,74,2,2693
297,59,89,1,2693
298,59,36,1,2693
299,59,46,1,2693
300,59,86,1,2693
301,59,32,1,2693
302,59,49,1,2693
303,59,67,1,2693
304,59,60,1,2693
305,59,56,1,2693
306,59,77,1,2693
307,59,81,1,2693
308,59,72,1,2693
309,59,47,1,2693
310,59,16,1,2693
311,59,22,1,2693
312,59,11,1,2693
313,59,39,2,2693
314,59,62,1,2693
315,59,61,2,2693
316,59,41,1,2693
317,59,83,1,2693
318,59,85,1,2693
319,59,58,1,2693
320,59,68,1,2693
321,59,59,1,2693
322,9,26,1,2693
323,9,34,2,2693
324,9,14,1,2693
325,9,17,1,2693
326,9,87,1,2693
327,9,43,1,2693
328,9,74,1,2693
329,9,59,1,2693
330,9,60,1,2693
331,32,41,1,2693
332,32,29,1,2693
333,32,46,1,2693
334,32,47,2,2693
335,32,60,1,2693
336,32,27,1,2693
337,32,75,2,2693
338,32,13,1,2693
339,32,12,1,2693
340,32,30,2,2693
341,32,69,1,2693
342,32,9,1,2693
343,32,55,1,2693
344,32,50,2,2693
345,32,87,1,2693
346,32,85,1,2693
347,32,39,1,2693
348,32,61,1,2693
349,32,70,1,2693
350,32,78,2,2693
351,32,88,1,2693
352,32,56,4,2693
353,32,18,1,2693
354,32,63,1,2693
355,32,64,1,2693
356,32,49,1,2693
357,32,97,1,2693
358,32,67,1,2693
359,56,12,1,2693
360,56,86,1,2693
361,56,33,2,2693
362,56,30,3,2693
363,56,45,2,2693
364,56,16,1,2693
365,56,44,1,2693
366,56,69,2,2693
367,56,76,1,2693
368,56,54,2,2693
369,56,43,2,2693
370,56,75,1,2693
371,56,65,2,2693
372,56,20,1,2693
373,56,50,1,2693
374,56,51,1,2693
375,56,64,2,2693
376,56,35,1,2693
377,56,67,2,2693
378,56,32,1,2693
379,56,10,1,2693
380,56,91,1,2693
381,56,7,1,2693
382,56,26,1,2693
383,56,78,1,2693
384,56,53,1,2693
385,56,68,2,2693
386,56,8,1,2693
387,56,31,1,2693
388,56,4,1,2693
389,57,5,2,2693
390,57,73,1,2693
391,57,39,1,2693
392,57,31,1,2693
393,57,34,1,2693
394,57,23,1,2693
395,57,64,1,2693
396,57,20,1,2693
397,57,94,2,2693
398,57,55,1,2693
399,57,85,1,2693
400,57,81,5,2693
401,57,69,1,2693
402,57,49,1,2693
403,57,3,1,2693
404,57,72,1,2693
