nokta_no,x,y,count,sezon_dakikasi
1,25,76,1,1163
2,25,75,1,1163
3,25,4,1,1163
4,25,20,1,1163
5,62,96,1,1163
6,62,73,1,1163
7,62,63,1,1163
8,62,68,1,1163
9,62,34,1,1163
10,62,15,1,1163
11,62,13,1,1163
12,62,2,1,1163
13,62,24,1,1163
14,62,84,1,1163
15,34,88,1,1163
16,34,79,1,1163
17,34,74,1,1163
18,34,6,1,1163
19,34,89,1,1163
20,34,90,1,1163
21,34,77,1,1163
22,34,24,1,1163
23,34,23,1,1163
24,34,80,1,1163
25,38,93,1,1163
26,38,77,1,1163
27,38,95,1,1163
28,38,82,1,1163
29,38,85,1,1163
30,38,29,2,1163
31,38,5,1,1163
32,38,9,1,1163
33,38,24,1,1163
34,38,71,1,1163
35,38,67,1,1163
36,38,75,1,1163
37,86,69,2,1163
38,86,83,2,1163
39,86,6,2,1163
40,86,87,1,1163
41,86,88,1,1163
42,86,86,1,1163
43,86,15,1,1163
44,86,46,1,1163
45,86,74,1,1163
46,93,76,1,1163
47,93,7,1,1163
48,93,15,1,1163
49,93,80,1,1163
50,93,89,1,1163
51,75,86,1,1163
52,75,88,2,1163
53,75,75,1,1163
54,75,78,1,1163
55,75,100,1,1163
56,75,18,1,1163
57,75,92,1,1163
58,75,3,1,1163
59,75,4,1,1163
60,75,72,1,1163
61,75,51,1,1163
62,75,30,1,1163
63,75,65,1,1163
64,75,85,2,1163
65,75,2,1,1163
66,75,1,1,1163
67,75,6,2,1163
68,75,7,1,1163
69,75,90,1,1163
70,75,10,1,1163
71,75,45,1,1163
72,68,85,1,1163
73,68,97,1,1163
74,68,47,1,1163
75,68,90,1,1163
76,68,71,1,1163
77,68,16,1,1163
78,68,70,1,1163
79,68,8,1,1163
80,68,61,1,1163
81,68,19,1,1163
82,87,79,1,1163
83,87,46,1,1163
84,87,86,1,1163
85,87,42,1,1163
86,87,32,1,1163
87,87,78,1,1163
88,65,87,1,1163
89,65,29,2,1163
90,65,7,1,1163
91,65,66,1,1163
92,65,34,1,1163
93,65,21,1,1163
94,65,49,1,1163
95,65,1,1,1163
96,65,54,1,1163
97,65,88,2,1163
98,65,90,1,1163
99,65,48,2,1163
100,65,23,1,1163
101,65,18,1,1163
102,65,9,1,1163
103,65,11,1,1163
104,65,72,1,1163
105,65,17,1,1163
106,65,78,1,1163
107,65,13,1,1163
108,71,74,1,1163
109,71,58,1,1163
110,71,91,1,1163
111,71,5,2,1163
112,71,33,1,1163
113,71,10,1,1163
114,71,42,1,1163
115,71,18,1,1163
116,71,7,2,1163
117,71,53,1,1163
118,71,65,1,1163
119,71,94,1,1163
120,88,87,1,1163
121,88,42,1,1163
122,88,84,1,1163
123,88,96,1,1163
124,88,48,1,1163
125,88,15,1,1163
126,88,80,1,1163
127,88,30,1,1163
128,88,5,1,1163
129,88,7,1,1163
130,88,39,1,1163
131,88,6,1,1163
132,88,40,1,1163
133,88,77,1,1163
134,89,67,1,1163
135,89,4,1,1163
136,89,25,1,1163
137,89,85,1,1163
138,89,11,1,1163
139,89,29,1,1163
140,89,15,1,1163
141,89,61,1,1163
142,89,91,1,1163
143,89,6,1,1163
144,89,20,1,1163
145,89,76,1,1163
146,89,90,1,1163
147,69,85,1,1163
148,69,67,1,1163
149,69,46,1,1163
150,69,12,1,1163
151,69,6,1,1163
152,69,28,1,1163
153,69,90,2,1163
154,69,66,1,1163
155,69,57,1,1163
156,69,78,1,1163
157,69,24,1,1163
158,69,5,1,1163
159,69,9,1,1163
160,69,79,1,1163
161,69,63,1,1163
162,69,23,1,1163
163,72,96,1,1163
164,72,56,1,1163
165,72,19,1,1163
166,72,53,1,1163
167,72,49,1,1163
168,72,69,1,1163
169,72,31,1,1163
170,72,36,1,1163
171,72,4,1,1163
172,72,54,1,1163
173,70,96,2,1163
174,70,90,1,1163
175,70,56,1,1163
176,70,64,1,1163
177,70,8,1,1163
178,70,10,1,1163
179,70,33,1,1163
180,70,28,1,1163
181,70,3,1,1163
182,70,59,1,1163
183,70,40,1,1163
184,70,9,1,1163
185,70,53,1,1163
186,70,45,1,1163
187,70,75,1,1163
188,70,48,1,1163
189,70,4,2,1163
190,70,89,1,1163
191,70,6,1,1163
192,24,83,1,1163
193,24,86,1,1163
194,24,75,1,1163
195,24,69,1,1163
196,24,73,1,1163
197,24,30,1,1163
198,24,28,1,1163
199,24,31,1,1163
200,24,44,1,1163
201,83,10,1,1163
202,83,81,1,1163
203,83,38,1,1163
204,48,0,1,1163
205,48,34,1,1163
206,48,90,1,1163
207,48,74,1,1163
208,48,41,1,1163
209,48,43,1,1163
210,48,11,1,1163
211,48,4,1,1163
212,76,11,1,1163
213,76,86,1,1163
214,76,79,2,1163
215,76,14,1,1163
216,76,63,1,1163
217,76,95,1,1163
218,76,64,1,1163
219,76,60,1,1163
220,76,53,1,1163
221,76,20,1,1163
222,76,37,1,1163
223,76,8,1,1163
224,76,17,1,1163
225,76,80,2,1163
226,73,26,1,1163
227,73,69,1,1163
228,73,60,2,1163
229,73,75,1,1163
230,73,84,1,1163
231,73,91,1,1163
232,73,45,1,1163
233,73,88,1,1163
234,73,70,1,1163
235,73,58,1,1163
236,73,31,1,1163
237,73,24,1,1163
238,73,18,1,1163
239,73,67,1,1163
240,73,85,1,1163
241,90,52,3,1163
242,90,95,1,1163
243,90,77,1,1163
244,90,75,1,1163
245,90,91,1,1163
246,90,68,1,1163
247,90,13,1,1163
248,90,8,1,1163
249,90,84,2,1163
250,84,21,1,1163
251,84,76,1,1163
252,84,13,1,1163
253,84,8,1,1163
254,84,23,1,1163
255,84,15,1,1163
256,84,62,1,1163
257,84,58,1,1163
258,84,84,1,1163
259,46,72,1,1163
260,46,63,1,1163
261,46,35,1,1163
262,46,1,1,1163
263,46,18,1,1163
264,46,6,1,1163
265,46,10,1,1163
266,46,71,1,1163
267,46,34,1,1163
268,20,87,1,1163
269,20,36,2,1163
270,20,10,1,1163
271,20,12,1,1163
272,30,95,1,1163
273,30,81,1,1163
274,30,59,1,1163
275,30,86,1,1163
276,66,38,1,1163
277,66,19,1,1163
278,66,9,2,1163
279,66,65,1,1163
280,66,91,1,1163
281,66,89,1,1163
282,66,60,1,1163
283,66,47,2,1163
284,66,55,1,1163
285,66,51,1,1163
286,66,6,1,1163
287,66,5,2,1163
288,66,10,1,1163
289,66,15,1,1163
290,66,35,1,1163
291,66,7,1,1163
292,66,31,2,1163
293,66,84,1,1163
294,60,66,1,1163
295,60,80,1,1163
296,60,6,1,1163
297,60,40,1,1163
298,60,12,1,1163
299,60,20,2,1163
300,60,88,1,1163
301,60,60,1,1163
302,60,23,1,1163
303,60,95,1,1163
304,67,59,1,1163
305,67,97,1,1163
306,67,12,1,1163
