nokta_no,x,y,count,sezon_dakikasi
1,56,16,2,2038
2,56,19,1,2038
3,56,7,1,2038
4,56,5,1,2038
5,56,87,1,2038
6,56,10,1,2038
7,56,15,2,2038
8,56,66,1,2038
9,56,25,2,2038
10,56,35,1,2038
11,56,77,1,2038
12,56,67,1,2038
13,56,79,1,2038
14,56,22,1,2038
15,56,40,2,2038
16,56,64,1,2038
17,56,9,1,2038
18,56,36,1,2038
19,56,38,1,2038
20,56,12,1,2038
21,56,4,1,2038
22,56,34,2,2038
23,56,37,2,2038
24,56,26,1,2038
25,56,82,1,2038
26,56,17,1,2038
27,56,28,1,2038
28,56,41,1,2038
29,32,4,1,2038
30,32,11,1,2038
31,32,37,1,2038
32,32,48,1,2038
33,32,10,1,2038
34,32,7,2,2038
35,32,55,1,2038
36,32,95,1,2038
37,32,39,1,2038
38,32,62,1,2038
39,32,21,1,2038
40,32,72,1,2038
41,32,73,1,2038
42,32,25,1,2038
43,32,38,1,2038
44,32,59,1,2038
45,32,66,1,2038
46,32,52,1,2038
47,32,32,1,2038
48,32,12,1,2038
49,48,13,1,2038
50,48,18,1,2038
51,48,80,2,2038
52,48,73,1,2038
53,48,69,1,2038
54,48,22,1,2038
55,48,93,1,2038
56,48,11,1,2038
57,48,6,1,2038
58,48,54,2,2038
59,48,40,1,2038
60,48,67,1,2038
61,48,25,1,2038
62,48,24,1,2038
63,48,15,1,2038
64,33,10,2,2038
65,33,76,1,2038
66,33,47,1,2038
67,33,0,1,2038
68,33,46,1,2038
69,33,65,1,2038
70,33,90,1,2038
71,33,56,2,2038
72,33,70,1,2038
73,33,55,1,2038
74,33,21,3,2038
75,33,79,1,2038
76,33,75,1,2038
77,33,48,1,2038
78,33,60,1,2038
79,33,18,1,2038
80,33,43,1,2038
81,33,16,1,2038
82,33,11,2,2038
83,33,33,1,2038
84,33,31,1,2038
85,33,49,1,2038
86,60,9,1,2038
87,60,36,1,2038
88,60,77,1,2038
89,60,21,1,2038
90,60,78,1,2038
91,60,13,2,2038
92,60,75,1,2038
93,60,84,1,2038
94,60,53,2,2038
95,60,27,1,2038
96,60,62,1,2038
97,60,10,1,2038
98,60,39,1,2038
99,60,7,1,2038
100,60,64,2,2038
101,60,29,2,2038
102,60,17,1,2038
103,60,19,1,2038
104,60,25,1,2038
105,60,28,1,2038
106,60,12,1,2038
107,60,68,1,2038
108,60,80,1,2038
109,60,59,1,2038
110,60,22,1,2038
111,60,34,1,2038
112,70,67,2,2038
113,70,42,1,2038
114,70,61,2,2038
115,70,66,1,2038
116,70,35,1,2038
117,70,27,1,2038
118,70,6,1,2038
119,70,23,1,2038
120,70,53,1,2038
121,70,22,2,2038
122,70,98,1,2038
123,70,88,1,2038
124,70,84,1,2038
125,70,63,1,2038
126,70,19,1,2038
127,70,47,1,2038
128,70,13,1,2038
129,70,31,1,2038
130,70,18,1,2038
131,70,14,1,2038
132,70,10,1,2038
133,70,49,1,2038
134,70,7,1,2038
135,69,83,1,2038
136,69,25,2,2038
137,69,53,2,2038
138,69,65,2,2038
139,69,20,1,2038
140,69,79,1,2038
141,69,42,1,2038
142,69,59,1,2038
143,69,7,1,2038
144,69,33,1,2038
145,69,5,2,2038
146,69,67,1,2038
147,69,90,1,2038
148,69,70,1,2038
149,69,72,1,2038
150,69,21,1,2038
151,69,84,1,2038
152,20,55,1,2038
153,20,25,1,2038
154,20,42,1,2038
155,20,65,1,2038
156,20,18,1,2038
157,20,5,1,2038
158,20,38,1,2038
159,67,17,1,2038
160,67,68,1,2038
161,67,80,1,2038
162,67,10,1,2038
163,67,70,1,2038
164,67,12,1,2038
165,67,73,2,2038
166,67,54,1,2038
167,67,35,1,2038
168,67,45,1,2038
