nokta_no,x,y,count,sezon_dakikasi
1,28,36,3,1624
2,28,42,1,1624
3,28,27,3,1624
4,28,33,1,1624
5,28,29,1,1624
6,28,39,3,1624
7,28,30,1,1624
8,28,43,1,1624
9,28,16,1,1624
10,28,9,2,1624
11,28,22,1,1624
12,28,65,1,1624
13,28,35,2,1624
14,28,67,1,1624
15,28,56,1,1624
16,28,10,1,1624
17,28,15,1,1624
18,28,20,1,1624
19,28,25,1,1624
20,28,32,1,1624
21,28,6,1,1624
22,28,21,1,1624
23,28,34,1,1624
24,28,13,1,1624
25,28,24,1,1624
26,28,17,1,1624
27,18,19,1,1624
28,18,15,1,1624
29,18,28,1,1624
30,18,12,1,1624
31,18,47,1,1624
32,18,17,1,1624
33,18,10,1,1624
34,18,76,1,1624
35,18,29,1,1624
36,18,11,2,1624
37,18,21,2,1624
38,18,4,1,1624
39,18,46,2,1624
40,18,20,1,1624
41,18,44,1,1624
42,24,36,1,1624
43,24,28,1,1624
44,24,12,1,1624
45,24,34,1,1624
46,24,15,2,1624
47,24,10,2,1624
48,24,37,1,1624
49,24,5,1,1624
50,24,39,2,1624
51,24,18,1,1624
52,24,43,1,1624
53,24,23,1,1624
54,24,16,2,1624
55,24,63,1,1624
56,24,72,2,1624
57,24,8,1,1624
58,24,33,1,1624
59,24,35,1,1624
60,24,22,1,1624
61,58,18,1,1624
62,58,22,1,1624
63,58,17,1,1624
64,58,10,1,1624
65,58,26,1,1624
66,58,28,1,1624
67,58,5,1,1624
68,58,21,1,1624
69,58,24,1,1624
70,58,27,1,1624
71,49,24,1,1624
72,49,20,1,1624
73,49,1,1,1624
74,7,14,2,1624
75,7,4,1,1624
76,7,49,1,1624
77,7,16,1,1624
78,7,13,2,1624
79,7,5,1,1624
80,7,25,2,1624
81,7,9,1,1624
82,7,67,1,1624
83,7,75,1,1624
84,7,27,1,1624
85,7,58,1,1624
86,7,30,1,1624
87,57,11,1,1624
88,57,14,1,1624
89,57,12,2,1624
90,57,63,1,1624
91,57,35,2,1624
92,57,23,1,1624
93,57,6,1,1624
94,57,9,1,1624
95,57,8,1,1624
96,57,7,1,1624
97,57,24,2,1624
98,57,27,2,1624
99,57,21,1,1624
100,38,15,1,1624
101,38,34,1,1624
102,38,40,1,1624
103,38,37,2,1624
104,38,32,2,1624
105,38,23,2,1624
106,38,27,1,1624
107,38,5,2,1624
108,38,68,1,1624
109,38,25,1,1624
110,38,8,1,1624
111,38,18,1,1624
112,38,92,1,1624
113,38,26,1,1624
114,38,12,1,1624
115,38,21,1,1624
116,38,30,1,1624
117,38,22,1,1624
118,38,17,1,1624
119,38,59,1,1624
120,19,38,1,1624
121,19,29,1,1624
122,19,8,1,1624
123,19,41,1,1624
124,19,30,1,1624
125,19,9,1,1624
126,19,24,1,1624
127,19,10,1,1624
128,19,46,1,1624
129,19,37,1,1624
130,19,17,1,1624
131,19,6,1,1624
132,19,34,1,1624
133,1,2,2,1624
134,1,32,2,1624
135,1,31,1,1624
136,21,50,1,1624
137,21,32,1,1624
138,21,5,2,1624
139,21,26,1,1624
140,21,10,2,1624
141,21,33,1,1624
142,21,35,2,1624
143,21,46,1,1624
144,21,62,1,1624
145,21,39,1,1624
146,21,21,1,1624
147,21,70,1,1624
148,21,24,1,1624
149,21,25,1,1624
150,21,8,1,1624
151,11,35,1,1624
152,11,9,2,1624
153,11,7,3,1624
154,11,2,1,1624
155,11,23,1,1624
156,11,41,1,1624
157,11,40,1,1624
158,11,18,1,1624
159,11,20,1,1624
160,11,25,2,1624
161,11,13,1,1624
162,11,15,2,1624
163,11,3,1,1624
164,11,4,1,1624
165,11,16,2,1624
166,11,30,1,1624
167,11,84,1,1624
168,11,53,1,1624
169,11,14,1,1624
170,11,22,1,1624
171,11,42,1,1624
172,11,60,1,1624
173,31,52,1,1624
174,31,26,3,1624
175,31,25,2,1624
176,31,35,1,1624
177,31,42,1,1624
178,31,44,1,1624
179,31,18,3,1624
180,31,24,1,1624
181,31,47,1,1624
182,31,33,1,1624
183,31,12,1,1624
184,31,27,1,1624
185,31,22,1,1624
186,31,41,1,1624
187,31,14,1,1624
188,31,30,3,1624
189,31,32,2,1624
190,31,21,1,1624
191,31,29,1,1624
192,31,15,1,1624
193,31,10,1,1624
194,31,31,1,1624
195,31,37,1,1624
196,31,13,1,1624
197,51,43,1,1624
198,51,82,1,1624
199,51,38,1,1624
200,51,9,1,1624
201,51,15,1,1624
202,51,39,1,1624
203,51,74,1,1624
204,29,27,1,1624
205,29,14,2,1624
206,29,42,1,1624
207,29,28,2,1624
208,29,39,1,1624
209,29,37,2,1624
210,29,49,1,1624
211,29,25,1,1624
212,29,36,1,1624
213,29,70,1,1624
214,29,32,1,1624
215,29,50,1,1624
216,29,17,2,1624
217,29,23,1,1624
218,29,80,1,1624
219,29,38,1,1624
220,29,2,1,1624
221,29,8,2,1624
222,29,46,1,1624
223,29,16,1,1624
224,56,32,2,1624
225,56,29,1,1624
226,56,27,1,1624
227,56,28,1,1624
228,56,10,1,1624
229,56,33,1,1624
230,56,16,1,1624
231,56,25,1,1624
232,56,15,1,1624
233,56,12,1,1624
234,10,32,2,1624
235,10,27,2,1624
236,10,34,1,1624
237,10,24,1,1624
238,10,3,1,1624
239,10,16,2,1624
240,10,4,1,1624
241,10,11,1,1624
242,10,9,1,1624
243,10,5,1,1624
244,10,43,1,1624
245,10,46,1,1624
246,10,15,1,1624
247,10,57,1,1624
248,67,34,1,1624
249,67,13,1,1624
250,67,7,1,1624
251,67,4,1,1624
252,43,11,4,1624
253,43,12,2,1624
254,43,37,2,1624
255,43,32,2,1624
256,43,52,1,1624
257,43,20,1,1624
258,43,38,1,1624
259,43,30,2,1624
260,43,64,1,1624
261,43,39,1,1624
262,43,55,1,1624
263,43,7,1,1624
264,43,25,1,1624
265,37,38,1,1624
266,37,28,2,1624
267,37,44,1,1624
268,37,19,1,1624
269,37,37,1,1624
270,37,30,5,1624
271,37,31,1,1624
272,37,1,1,1624
273,37,20,1,1624
274,37,36,1,1624
275,37,25,2,1624
276,37,34,2,1624
277,37,22,1,1624
278,37,13,1,1624
279,37,23,1,1624
280,37,21,2,1624
281,37,26,1,1624
282,37,46,1,1624
283,37,3,1,1624
284,37,15,2,1624
285,37,17,1,1624
286,22,39,1,1624
287,22,47,1,1624
288,22,41,1,1624
289,22,22,1,1624
290,22,35,1,1624
291,22,32,2,1624
292,22,27,2,1624
293,22,17,3,1624
294,22,30,2,1624
295,22,59,1,1624
296,22,56,1,1624
297,22,28,2,1624
298,22,2,1,1624
299,22,72,1,1624
300,22,18,1,1624
301,22,23,1,1624
302,22,33,1,1624
303,22,14,1,1624
304,22,37,1,1624
305,22,36,1,1624
306,22,9,1,1624
307,22,19,1,1624
308,22,26,1,1624
309,53,19,1,1624
310,53,8,1,1624
311,53,21,2,1624
312,53,42,1,1624
313,53,30,1,1624
314,53,31,2,1624
315,53,73,1,1624
316,53,13,1,1624
317,53,23,1,1624
318,53,66,1,1624
319,53,71,1,1624
320,53,46,1,1624
321,53,26,1,1624
322,53,7,2,1624
323,53,5,1,1624
324,39,17,1,1624
325,39,61,1,1624
326,39,34,1,1624
327,39,50,1,1624
328,39,36,1,1624
329,39,19,1,1624
330,39,30,1,1624
331,39,35,2,1624
332,39,12,2,1624
333,39,29,1,1624
334,39,69,1,1624
335,39,3,1,1624
336,39,87,1,1624
337,39,23,2,1624
338,39,16,1,1624
339,39,15,1,1624
340,39,42,1,1624
341,39,31,1,1624
342,25,26,3,1624
343,25,29,1,1624
344,25,33,2,1624
345,25,8,1,1624
346,25,24,1,1624
347,25,55,1,1624
348,25,41,2,1624
349,25,44,1,1624
350,25,19,1,1624
351,25,23,1,1624
352,25,13,1,1624
353,25,37,1,1624
354,25,35,1,1624
355,25,30,1,1624
356,25,18,2,1624
357,25,43,2,1624
358,25,28,2,1624
359,25,27,1,1624
360,25,31,1,1624
361,25,12,1,1624
362,25,9,1,1624
363,25,49,1,1624
364,33,11,1,1624
365,33,21,1,1624
366,33,14,1,1624
367,33,28,2,1624
368,33,68,1,1624
369,33,46,2,1624
370,33,27,1,1624
371,33,8,1,1624
372,33,54,1,1624
373,33,57,1,1624
374,33,53,1,1624
375,33,40,1,1624
376,33,24,3,1624
377,33,29,1,1624
378,33,22,2,1624
379,33,44,1,1624
380,33,26,1,1624
381,33,63,1,1624
382,33,10,1,1624
383,33,30,1,1624
384,33,50,1,1624
385,33,23,1,1624
386,33,33,1,1624
387,33,7,1,1624
388,33,16,1,1624
389,32,23,1,1624
390,32,11,3,1624
391,32,29,1,1624
392,32,49,1,1624
393,32,35,2,1624
394,32,7,3,1624
395,32,9,3,1624
396,32,27,1,1624
397,32,87,1,1624
398,32,26,1,1624
399,32,39,1,1624
400,32,4,1,1624
401,32,22,1,1624
402,32,44,1,1624
403,32,15,1,1624
404,32,33,1,1624
405,32,30,2,1624
406,3,26,1,1624
407,3,23,1,1624
408,3,6,1,1624
409,3,47,1,1624
410,3,92,1,1624
411,3,17,1,1624
412,3,7,1,1624
413,3,30,1,1624
414,3,34,1,1624
415,3,9,1,1624
416,3,57,1,1624
417,3,16,1,1624
418,3,62,1,1624
419,3,5,1,1624
420,2,27,1,1624
421,2,29,1,1624
422,2,14,1,1624
423,2,22,1,1624
424,2,37,1,1624
425,9,15,1,1624
426,9,5,1,1624
427,9,3,1,1624
428,9,31,1,1624
429,9,43,2,1624
430,9,40,2,1624
431,9,9,1,1624
432,9,88,1,1624
433,9,11,1,1624
434,9,12,2,1624
435,9,25,2,1624
436,9,45,1,1624
437,9,7,1,1624
438,9,16,2,1624
439,9,8,1,1624
440,9,35,1,1624
441,9,27,1,1624
442,9,13,1,1624
443,9,51,1,1624
444,9,36,1,1624
445,9,50,1,1624
446,30,20,1,1624
447,30,29,3,1624
448,30,30,1,1624
449,30,31,1,1624
450,30,14,1,1624
451,30,21,2,1624
452,30,45,1,1624
453,30,15,1,1624
454,30,50,2,1624
455,30,37,1,1624
456,30,24,1,1624
457,30,26,3,1624
458,30,38,1,1624
459,30,23,1,1624
460,30,40,2,1624
461,30,27,1,1624
462,30,16,1,1624
463,30,25,2,1624
464,30,35,1,1624
465,30,18,1,1624
466,30,17,1,1624
467,30,49,1,1624
468,54,23,3,1624
469,54,10,2,1624
470,54,21,1,1624
471,54,14,1,1624
472,54,57,1,1624
473,54,43,2,1624
474,54,48,1,1624
475,54,8,1,1624
476,54,34,1,1624
477,54,31,2,1624
478,54,28,1,1624
479,54,11,2,1624
480,54,4,1,1624
481,54,33,1,1624
482,52,17,1,1624
483,52,61,1,1624
484,52,6,2,1624
485,52,56,1,1624
486,52,18,1,1624
487,52,3,1,1624
488,52,21,1,1624
489,52,40,1,1624
490,52,43,1,1624
491,52,4,1,1624
492,52,12,1,1624
493,13,29,1,1624
494,13,26,1,1624
495,13,45,2,1624
496,13,14,1,1624
497,13,52,1,1624
498,13,64,1,1624
499,13,41,1,1624
500,13,49,2,1624
501,13,8,1,1624
502,13,6,1,1624
503,13,28,1,1624
504,13,25,1,1624
505,13,62,1,1624
506,13,39,1,1624
507,13,13,1,1624
508,12,28,1,1624
509,12,25,1,1624
510,12,14,1,1624
511,12,54,2,1624
512,12,26,1,1624
513,12,11,1,1624
514,12,84,1,1624
515,12,5,2,1624
516,12,39,1,1624
517,12,16,1,1624
518,12,45,1,1624
519,12,6,1,1624
520,12,40,1,1624
521,12,32,1,1624
522,12,7,1,1624
523,12,31,1,1624
524,12,4,1,1624
525,12,36,1,1624
526,12,17,1,1624
527,17,7,1,1624
528,17,24,1,1624
529,17,66,1,1624
530,17,44,1,1624
531,17,50,1,1624
532,17,46,1,1624
533,17,8,2,1624
534,17,34,1,1624
535,17,16,1,1624
536,17,43,1,1624
537,17,53,1,1624
538,17,41,1,1624
539,17,19,2,1624
540,17,15,1,1624
541,17,69,1,1624
542,6,34,1,1624
543,6,40,1,1624
544,6,38,1,1624
545,6,2,1,1624
546,6,19,1,1624
547,6,27,1,1624
548,6,9,1,1624
549,6,26,1,1624
550,6,28,1,1624
551,6,25,1,1624
552,6,49,1,1624
553,27,30,2,1624
554,27,36,3,1624
555,27,28,2,1624
556,27,56,1,1624
557,27,50,1,1624
558,27,23,1,1624
559,27,32,1,1624
560,27,34,1,1624
561,27,0,1,1624
562,27,18,1,1624
563,27,26,1,1624
564,27,74,1,1624
565,27,35,1,1624
566,27,14,2,1624
567,27,16,1,1624
568,27,12,1,1624
569,40,20,2,1624
570,40,27,3,1624
571,40,34,2,1624
572,40,24,2,1624
573,40,12,1,1624
574,40,35,1,1624
575,40,22,1,1624
576,40,25,1,1624
577,40,6,1,1624
578,40,21,2,1624
579,40,26,1,1624
580,40,30,1,1624
581,40,19,1,1624
582,40,3,1,1624
583,40,33,2,1624
584,40,28,1,1624
585,70,26,1,1624
586,70,23,1,1624
587,70,45,1,1624
588,70,77,1,1624
589,60,8,1,1624
590,60,13,1,1624
591,60,79,1,1624
592,60,17,1,1624
593,60,30,1,1624
594,60,34,1,1624
595,60,26,1,1624
596,60,39,1,1624
597,60,14,1,1624
598,60,15,2,1624
599,47,11,1,1624
600,47,35,1,1624
601,47,13,1,1624
602,47,55,1,1624
603,47,19,3,1624
604,47,36,1,1624
605,47,43,1,1624
606,47,41,1,1624
607,47,6,1,1624
608,47,3,1,1624
609,47,10,1,1624
610,47,29,1,1624
611,47,14,1,1624
612,34,73,1,1624
613,34,27,2,1624
614,34,20,2,1624
615,34,34,1,1624
616,34,24,2,1624
617,34,55,1,1624
618,34,56,1,1624
619,34,5,1,1624
620,34,46,1,1624
621,34,30,1,1624
622,34,21,1,1624
623,34,40,1,1624
624,34,37,1,1624
625,34,44,1,1624
626,34,41,1,1624
627,34,7,1,1624
628,34,18,2,1624
629,34,39,1,1624
630,34,57,1,1624
631,34,32,1,1624
632,34,36,1,1624
633,34,35,1,1624
634,34,42,1,1624
635,34,15,1,1624
636,73,17,1,1624
637,45,46,2,1624
638,45,17,1,1624
639,45,28,1,1624
640,45,20,1,1624
641,45,23,1,1624
642,45,15,1,1624
643,45,26,1,1624
644,45,43,1,1624
645,45,39,1,1624
646,45,22,1,1624
647,45,25,1,1624
648,45,34,1,1624
649,45,14,1,1624
650,45,31,1,1624
651,44,33,1,1624
652,44,30,2,1624
653,44,34,3,1624
654,44,39,1,1624
655,44,27,3,1624
656,44,19,2,1624
657,44,12,1,1624
658,44,23,2,1624
659,44,65,1,1624
660,44,17,1,1624
661,44,53,1,1624
662,44,25,1,1624
663,44,5,1,1624
664,44,26,1,1624
665,44,44,1,1624
666,44,13,1,1624
667,44,28,1,1624
668,44,29,1,1624
669,41,20,2,1624
670,41,28,1,1624
671,41,30,2,1624
672,41,8,1,1624
673,41,32,1,1624
674,41,31,1,1624
675,41,33,2,1624
676,41,7,1,1624
677,41,27,2,1624
678,41,45,2,1624
679,41,23,1,1624
680,41,42,1,1624
681,41,22,1,1624
682,41,25,1,1624
683,41,21,1,1624
684,41,16,1,1624
685,41,15,1,1624
686,41,10,1,1624
687,48,25,1,1624
688,48,15,2,1624
689,48,33,1,1624
690,48,22,1,1624
691,48,31,1,1624
692,48,29,1,1624
693,48,72,1,1624
694,48,30,1,1624
695,48,47,1,1624
696,48,41,1,1624
697,48,39,1,1624
698,35,35,1,1624
699,35,31,2,1624
700,35,28,1,1624
701,35,48,1,1624
702,35,24,3,1624
703,35,30,3,1624
704,35,41,1,1624
705,35,29,2,1624
706,35,34,1,1624
707,35,12,1,1624
708,35,25,3,1624
709,35,14,1,1624
710,35,13,1,1624
