nokta_no,x,y,count,sezon_dakikasi
1,20,32,1,1073
2,20,14,1,1073
3,20,6,1,1073
4,30,25,1,1073
5,30,23,3,1073
6,30,47,2,1073
7,30,72,1,1073
8,30,37,2,1073
9,30,6,1,1073
10,30,34,1,1073
11,37,36,1,1073
12,37,12,1,1073
13,37,32,1,1073
14,37,9,1,1073
15,37,3,3,1073
16,37,6,1,1073
17,37,5,2,1073
18,37,31,1,1073
19,37,15,1,1073
20,54,13,1,1073
21,54,30,1,1073
22,54,2,1,1073
23,54,54,1,1073
24,70,18,1,1073
25,70,94,1,1073
26,70,23,1,1073
27,70,4,1,1073
28,70,19,1,1073
29,70,28,1,1073
30,44,23,1,1073
31,44,80,1,1073
32,44,68,1,1073
33,44,9,1,1073
34,44,31,1,1073
35,44,13,1,1073
36,44,14,1,1073
37,44,78,1,1073
38,44,10,1,1073
39,33,21,1,1073
40,33,6,1,1073
41,33,27,1,1073
42,33,31,1,1073
43,33,9,1,1073
44,33,92,1,1073
45,33,20,1,1073
46,33,4,1,1073
47,33,78,1,1073
48,33,65,2,1073
49,33,25,1,1073
50,23,7,1,1073
51,23,27,2,1073
52,23,18,1,1073
53,23,11,2,1073
54,97,30,1,1073
55,97,27,1,1073
56,97,75,1,1073
57,97,3,1,1073
58,100,21,1,1073
59,100,30,1,1073
60,85,59,1,1073
61,85,57,1,1073
62,85,12,1,1073
63,53,19,1,1073
64,53,41,1,1073
65,53,59,2,1073
66,53,77,1,1073
67,53,20,1,1073
68,53,86,1,1073
69,56,13,1,1073
70,56,54,2,1073
71,56,51,1,1073
72,56,85,1,1073
73,56,23,1,1073
74,66,23,1,1073
75,66,8,1,1073
76,66,7,1,1073
77,66,96,1,1073
78,66,70,1,1073
79,66,5,1,1073
80,66,13,1,1073
81,34,14,1,1073
82,34,5,1,1073
83,34,20,1,1073
84,34,36,1,1073
85,34,9,2,1073
86,34,8,1,1073
87,34,19,1,1073
88,78,30,1,1073
89,78,89,1,1073
90,78,8,1,1073
91,78,4,1,1073
92,43,27,1,1073
93,43,36,1,1073
94,43,83,1,1073
95,43,81,1,1073
96,43,3,1,1073
97,43,11,2,1073
98,43,58,1,1073
99,43,22,1,1073
100,43,10,2,1073
101,43,19,1,1073
102,43,41,1,1073
103,55,23,1,1073
104,55,6,1,1073
105,55,4,1,1073
106,55,8,1,1073
107,55,85,1,1073
108,59,29,1,1073
109,59,9,1,1073
110,59,2,1,1073
111,59,3,1,1073
112,59,27,1,1073
113,59,20,1,1073
114,59,6,1,1073
115,59,13,1,1073
116,59,72,1,1073
117,73,15,1,1073
118,73,2,1,1073
119,95,22,1,1073
120,95,30,1,1073
121,95,45,2,1073
122,42,8,1,1073
123,42,80,1,1073
124,42,10,1,1073
125,42,4,1,1073
126,42,32,1,1073
127,42,92,1,1073
128,42,28,1,1073
129,42,5,1,1073
130,42,7,1,1073
131,42,24,1,1073
132,27,27,1,1073
133,27,8,1,1073
134,27,91,1,1073
135,27,72,1,1073
136,27,64,1,1073
137,27,10,1,1073
138,28,15,1,1073
139,28,25,1,1073
140,28,6,2,1073
141,28,34,2,1073
142,28,7,1,1073
143,28,24,1,1073
144,92,7,1,1073
145,92,11,3,1073
146,92,25,1,1073
147,92,51,1,1073
148,92,28,1,1073
149,92,30,1,1073
150,92,32,1,1073
151,92,33,1,1073
152,67,16,2,1073
153,67,71,1,1073
154,67,26,1,1073
155,67,52,1,1073
156,67,5,1,1073
157,67,15,1,1073
158,62,6,1,1073
159,62,5,1,1073
160,62,2,1,1073
161,62,7,1,1073
162,62,14,2,1073
163,62,27,1,1073
164,82,49,1,1073
165,82,89,1,1073
166,82,0,1,1073
167,82,76,1,1073
168,24,13,1,1073
169,24,34,1,1073
170,24,3,1,1073
171,15,13,1,1073
172,40,5,1,1073
173,40,9,1,1073
174,40,38,1,1073
175,40,7,1,1073
176,40,96,1,1073
177,40,6,3,1073
178,40,13,1,1073
179,40,75,1,1073
180,41,6,1,1073
181,41,7,1,1073
182,41,72,1,1073
183,41,64,1,1073
184,41,12,1,1073
185,41,41,1,1073
186,41,22,1,1073
187,47,31,1,1073
188,47,35,1,1073
189,47,2,1,1073
190,47,7,2,1073
191,79,29,1,1073
192,79,9,1,1073
193,79,13,1,1073
194,79,6,1,1073
195,79,3,1,1073
196,89,23,1,1073
197,89,94,1,1073
198,89,52,1,1073
199,89,12,1,1073
200,89,35,1,1073
201,89,25,1,1073
202,89,30,1,1073
203,89,49,1,1073
204,89,20,1,1073
205,63,0,1,1073
206,63,68,1,1073
207,63,40,1,1073
208,63,64,1,1073
209,63,19,1,1073
210,63,20,1,1073
211,63,25,1,1073
212,63,17,1,1073
213,63,13,2,1073
214,63,30,1,1073
215,63,16,1,1073
216,63,7,1,1073
217,63,41,1,1073
218,63,70,1,1073
219,63,53,1,1073
220,63,39,1,1073
221,31,4,1,1073
222,31,29,1,1073
223,31,50,1,1073
224,31,16,1,1073
225,39,4,2,1073
226,39,17,1,1073
227,39,67,1,1073
228,39,19,1,1073
229,39,5,1,1073
230,39,62,1,1073
231,35,4,1,1073
232,35,8,1,1073
233,35,48,1,1073
234,35,6,2,1073
235,35,17,2,1073
236,9,43,1,1073
237,9,46,1,1073
238,9,5,1,1073
239,9,7,2,1073
240,21,25,1,1073
241,21,3,1,1073
242,21,1,1,1073
243,21,18,1,1073
244,25,36,1,1073
245,25,4,2,1073
246,25,18,1,1073
247,25,27,1,1073
248,87,19,1,1073
249,87,18,1,1073
250,87,10,1,1073
251,87,20,1,1073
252,87,8,1,1073
253,87,43,1,1073
254,6,11,1,1073
255,6,41,1,1073
256,6,21,1,1073
257,6,43,1,1073
258,8,10,1,1073
259,8,43,1,1073
260,8,22,1,1073
261,8,60,1,1073
262,8,44,1,1073
263,7,9,1,1073
264,7,47,1,1073
265,7,45,1,1073
266,93,29,1,1073
267,93,27,1,1073
268,93,49,2,1073
269,93,18,1,1073
270,93,24,1,1073
271,93,44,1,1073
272,93,28,1,1073
273,93,6,1,1073
274,93,40,1,1073
275,93,4,1,1073
276,93,5,1,1073
277,68,43,1,1073
278,68,84,1,1073
279,68,8,2,1073
280,68,93,1,1073
281,68,78,1,1073
282,68,0,1,1073
283,68,5,1,1073
284,68,79,1,1073
285,68,4,1,1073
286,68,51,1,1073
287,94,10,1,1073
288,94,80,1,1073
289,94,47,3,1073
290,3,60,1,1073
291,71,7,2,1073
292,71,51,2,1073
293,71,30,1,1073
294,71,53,1,1073
295,71,81,1,1073
296,71,71,1,1073
297,71,63,1,1073
298,71,10,2,1073
299,71,75,1,1073
300,71,34,1,1073
301,71,17,2,1073
302,71,39,3,1073
303,71,38,1,1073
304,71,72,2,1073
305,49,50,2,1073
306,49,49,2,1073
307,49,17,1,1073
308,49,28,1,1073
309,49,34,1,1073
310,75,49,1,1073
311,75,74,1,1073
312,75,28,1,1073
313,75,59,1,1073
314,75,100,1,1073
315,75,24,2,1073
316,75,42,1,1073
317,75,33,1,1073
318,75,9,1,1073
319,75,0,1,1073
320,65,71,1,1073
321,65,23,2,1073
322,65,69,2,1073
323,65,22,1,1073
324,65,10,1,1073
325,65,6,2,1073
326,65,21,1,1073
327,65,5,1,1073
328,65,12,1,1073
329,65,3,1,1073
330,65,59,1,1073
331,65,47,1,1073
332,22,2,2,1073
333,22,12,1,1073
334,22,7,1,1073
335,72,34,1,1073
336,72,31,1,1073
337,72,5,1,1073
338,72,14,1,1073
339,72,8,1,1073
340,72,9,1,1073
341,72,57,1,1073
342,69,66,1,1073
343,69,42,1,1073
344,69,23,1,1073
345,69,14,1,1073
346,69,30,2,1073
347,69,69,1,1073
348,69,7,1,1073
349,69,21,1,1073
350,69,28,1,1073
351,69,16,1,1073
352,51,49,1,1073
353,51,4,1,1073
354,51,5,1,1073
355,64,38,1,1073
356,64,81,1,1073
357,64,68,1,1073
358,64,62,1,1073
359,64,7,1,1073
360,64,13,1,1073
361,64,3,1,1073
362,64,6,1,1073
363,64,41,1,1073
364,84,73,1,1073
365,84,100,1,1073
366,84,23,1,1073
367,84,31,1,1073
368,84,11,1,1073
369,84,27,1,1073
370,84,28,1,1073
371,88,54,1,1073
372,88,52,1,1073
373,88,27,1,1073
374,88,16,1,1073
375,88,13,1,1073
376,88,70,1,1073
377,45,50,1,1073
378,45,69,1,1073
379,45,53,1,1073
380,60,77,1,1073
381,60,53,1,1073
382,60,17,1,1073
383,60,5,1,1073
384,60,24,1,1073
385,60,19,2,1073
386,60,10,1,1073
387,60,75,1,1073
388,60,33,1,1073
389,61,80,1,1073
390,61,70,1,1073
391,61,5,1,1073
392,61,30,1,1073
393,61,22,2,1073
394,61,71,1,1073
395,61,4,1,1073
396,74,71,1,1073
397,74,15,1,1073
398,74,67,1,1073
399,74,34,1,1073
400,74,11,1,1073
401,74,30,1,1073
402,74,33,1,1073
403,91,28,1,1073
404,91,23,1,1073
405,91,73,1,1073
406,91,82,1,1073
407,91,48,1,1073
408,50,68,1,1073
409,50,13,1,1073
410,50,17,1,1073
411,50,35,1,1073
412,50,21,1,1073
413,86,71,1,1073
414,86,8,2,1073
415,86,13,1,1073
416,86,30,1,1073
417,86,0,1,1073
418,86,48,1,1073
419,38,7,3,1073
420,38,23,1,1073
421,38,15,1,1073
422,38,11,1,1073
423,38,21,2,1073
424,38,87,1,1073
425,38,96,1,1073
426,83,8,1,1073
427,83,31,1,1073
428,83,17,1,1073
429,83,4,1,1073
430,2,43,1,1073
431,11,53,1,1073
432,29,36,1,1073
433,29,39,1,1073
434,29,8,1,1073
435,29,75,1,1073
436,29,18,1,1073
437,80,30,1,1073
438,80,40,1,1073
439,80,29,1,1073
440,26,27,1,1073
441,26,41,1,1073
442,26,7,1,1073
443,26,13,1,1073
444,48,5,1,1073
445,48,30,1,1073
446,48,52,1,1073
447,32,5,2,1073
448,32,8,1,1073
449,32,31,1,1073
450,32,27,1,1073
451,10,75,1,1073
452,10,47,1,1073
453,10,44,1,1073
454,10,58,1,1073
455,12,83,1,1073
456,76,27,1,1073
457,76,5,1,1073
458,76,3,1,1073
459,76,95,1,1073
460,76,22,1,1073
461,36,6,1,1073
462,36,1,1,1073
463,36,28,1,1073
464,90,85,1,1073
465,90,82,1,1073
466,90,21,1,1073
467,90,77,1,1073
468,90,30,1,1073
469,90,43,1,1073
470,52,31,1,1073
471,52,13,1,1073
472,52,10,1,1073
473,58,12,1,1073
474,58,36,1,1073
475,58,37,1,1073
476,19,11,1,1073
477,46,74,1,1073
478,46,3,1,1073
479,46,32,2,1073
480,46,27,2,1073
481,46,10,1,1073
482,81,20,1,1073
483,81,5,1,1073
484,81,9,1,1073
485,81,0,1,1073
486,81,65,1,1073
487,96,25,2,1073
488,57,11,1,1073
489,57,14,1,1073
490,57,2,1,1073
491,4,38,1,1073
492,5,14,1,1073
493,77,73,1,1073
494,1,41,1,1073
495,14,40,1,1073
