nokta_no,x,y,count,sezon_dakikasi
1,22,34,1,2362
2,22,55,1,2362
3,22,57,1,2362
4,22,23,1,2362
5,22,61,1,2362
6,22,91,1,2362
7,22,66,1,2362
8,22,63,1,2362
9,22,36,1,2362
10,22,26,1,2362
11,22,80,1,2362
12,22,72,2,2362
13,22,21,1,2362
14,22,39,1,2362
15,22,17,1,2362
16,14,45,1,2362
17,14,52,1,2362
18,14,64,1,2362
19,14,17,1,2362
20,14,73,1,2362
21,14,30,1,2362
22,14,74,1,2362
23,14,68,1,2362
24,14,84,1,2362
25,14,61,1,2362
26,14,59,1,2362
27,14,46,1,2362
28,14,78,2,2362
29,14,54,1,2362
30,30,38,1,2362
31,30,39,1,2362
32,30,66,1,2362
33,30,37,2,2362
34,30,31,1,2362
35,30,41,1,2362
36,30,29,1,2362
37,30,23,1,2362
38,30,77,1,2362
39,30,62,2,2362
40,30,52,2,2362
41,30,63,1,2362
42,30,64,1,2362
43,30,67,1,2362
44,30,53,1,2362
45,30,59,1,2362
46,30,56,1,2362
47,36,38,2,2362
48,36,66,1,2362
49,36,43,1,2362
50,36,16,2,2362
51,36,63,1,2362
52,36,12,1,2362
53,36,87,1,2362
54,36,50,1,2362
55,36,53,1,2362
56,36,49,1,2362
57,36,54,1,2362
58,36,86,1,2362
59,36,32,1,2362
60,36,14,2,2362
61,36,31,1,2362
62,36,37,1,2362
63,36,41,2,2362
64,36,80,1,2362
65,36,46,1,2362
66,36,42,1,2362
67,36,74,1,2362
68,36,36,1,2362
69,36,39,1,2362
70,36,19,1,2362
71,36,77,1,2362
72,36,78,1,2362
73,36,20,2,2362
74,36,75,1,2362
75,36,56,1,2362
76,38,23,1,2362
77,38,54,1,2362
78,38,49,1,2362
79,38,31,1,2362
80,38,18,2,2362
81,38,47,1,2362
82,38,65,3,2362
83,38,32,3,2362
84,38,84,1,2362
85,38,33,1,2362
86,38,56,1,2362
87,38,40,1,2362
88,38,38,1,2362
89,38,57,1,2362
90,38,34,1,2362
91,38,75,1,2362
92,38,11,1,2362
93,38,81,1,2362
94,38,66,1,2362
95,38,46,1,2362
96,38,63,1,2362
97,38,58,1,2362
98,38,43,1,2362
99,38,73,1,2362
100,38,29,1,2362
101,38,82,1,2362
102,38,61,1,2362
103,38,28,1,2362
104,55,57,2,2362
105,55,83,2,2362
106,55,51,1,2362
107,55,32,2,2362
108,55,30,2,2362
109,55,11,1,2362
110,55,74,1,2362
111,55,93,1,2362
112,55,23,1,2362
113,55,72,1,2362
114,55,76,1,2362
115,55,46,1,2362
116,55,64,1,2362
117,55,35,1,2362
118,55,67,1,2362
119,55,15,1,2362
120,55,92,1,2362
121,57,38,1,2362
122,57,65,2,2362
123,57,62,1,2362
124,57,18,1,2362
125,57,71,1,2362
126,57,24,1,2362
127,57,69,1,2362
128,57,68,1,2362
129,57,81,1,2362
130,57,58,1,2362
131,57,49,1,2362
132,57,70,2,2362
133,57,66,1,2362
134,57,80,1,2362
135,57,89,1,2362
136,57,75,1,2362
137,57,37,1,2362
138,57,26,1,2362
139,57,90,1,2362
140,57,28,1,2362
141,57,12,1,2362
142,57,33,2,2362
143,57,46,1,2362
144,57,51,1,2362
145,51,70,1,2362
146,51,74,1,2362
147,51,44,1,2362
148,51,35,1,2362
149,51,49,1,2362
150,51,88,1,2362
151,51,54,1,2362
152,51,52,1,2362
153,51,43,1,2362
154,51,26,1,2362
155,51,29,1,2362
156,51,71,1,2362
157,46,34,2,2362
158,46,49,1,2362
159,46,69,3,2362
160,46,23,1,2362
161,46,58,1,2362
162,46,37,1,2362
163,46,88,1,2362
164,46,76,1,2362
165,46,50,1,2362
166,46,45,1,2362
167,46,36,1,2362
168,46,22,1,2362
169,46,71,1,2362
170,46,77,1,2362
171,46,53,1,2362
172,46,32,2,2362
173,46,14,1,2362
174,46,65,2,2362
175,46,26,1,2362
176,46,42,2,2362
177,46,54,1,2362
178,46,89,1,2362
