nokta_no,x,y,count,sezon_dakikasi
1,13,36,1,1854
2,13,10,1,1854
3,13,29,2,1854
4,13,62,1,1854
5,13,35,1,1854
6,13,38,1,1854
7,13,39,1,1854
8,13,87,1,1854
9,55,50,1,1854
10,55,97,1,1854
11,55,77,1,1854
12,55,90,1,1854
13,55,70,1,1854
14,55,26,1,1854
15,55,35,1,1854
16,55,36,2,1854
17,55,15,1,1854
18,55,7,1,1854
19,55,16,3,1854
20,55,3,1,1854
21,55,11,2,1854
22,55,8,1,1854
23,55,63,1,1854
24,55,62,1,1854
25,55,18,1,1854
26,55,33,1,1854
27,55,5,1,1854
28,55,28,1,1854
29,55,29,1,1854
30,55,12,1,1854
31,64,45,1,1854
32,64,52,1,1854
33,64,14,1,1854
34,64,9,2,1854
35,69,44,2,1854
36,69,50,1,1854
37,26,41,2,1854
38,26,60,1,1854
39,26,61,1,1854
40,26,22,1,1854
41,26,64,1,1854
42,26,30,2,1854
43,26,32,1,1854
44,26,49,1,1854
45,26,9,1,1854
46,26,26,2,1854
47,26,44,1,1854
48,26,8,1,1854
49,26,16,2,1854
50,26,33,3,1854
51,26,54,1,1854
52,26,35,1,1854
53,26,25,1,1854
54,24,45,1,1854
55,24,51,1,1854
56,24,85,1,1854
57,24,17,1,1854
58,24,2,1,1854
59,24,58,1,1854
60,24,22,1,1854
61,24,55,1,1854
62,24,44,1,1854
63,24,33,1,1854
64,24,14,1,1854
65,24,36,2,1854
66,24,43,2,1854
67,24,73,1,1854
68,24,75,1,1854
69,24,38,1,1854
70,41,79,2,1854
71,41,2,1,1854
72,41,23,1,1854
73,41,19,1,1854
74,41,8,1,1854
75,41,30,3,1854
76,41,18,2,1854
77,41,41,1,1854
78,41,20,1,1854
79,41,7,2,1854
80,41,36,1,1854
81,41,6,1,1854
82,41,59,1,1854
83,41,24,1,1854
84,41,26,1,1854
85,41,22,1,1854
86,41,32,1,1854
87,41,15,1,1854
88,41,10,1,1854
89,41,38,2,1854
90,41,28,1,1854
91,41,27,1,1854
92,29,79,1,1854
93,29,21,1,1854
94,29,30,1,1854
95,29,36,4,1854
96,29,27,2,1854
97,29,15,1,1854
98,29,24,1,1854
99,29,62,1,1854
100,29,73,1,1854
101,29,41,1,1854
102,29,44,1,1854
103,29,46,1,1854
104,31,55,1,1854
105,31,78,2,1854
106,31,28,1,1854
107,31,38,1,1854
108,31,57,1,1854
109,31,51,2,1854
110,31,36,2,1854
111,31,32,1,1854
112,31,7,1,1854
113,31,15,2,1854
114,31,10,1,1854
115,31,64,1,1854
116,31,73,2,1854
117,31,25,1,1854
118,31,39,1,1854
119,31,24,1,1854
120,90,59,1,1854
121,90,63,2,1854
122,90,62,1,1854
123,89,58,1,1854
124,89,34,2,1854
125,89,55,1,1854
126,28,89,1,1854
127,28,72,1,1854
128,28,25,1,1854
129,28,51,1,1854
130,28,49,1,1854
131,28,21,3,1854
132,28,27,1,1854
133,28,42,1,1854
134,28,24,1,1854
135,28,30,2,1854
136,28,13,1,1854
137,28,34,1,1854
138,42,67,1,1854
139,42,34,2,1854
140,42,32,2,1854
141,42,18,2,1854
142,42,45,1,1854
143,42,14,1,1854
144,42,26,2,1854
145,42,73,1,1854
146,42,17,1,1854
147,42,27,1,1854
148,42,9,1,1854
149,42,7,1,1854
150,42,40,1,1854
151,42,37,1,1854
152,42,24,3,1854
153,42,29,2,1854
154,42,19,1,1854
155,42,20,1,1854
156,42,16,1,1854
157,42,46,1,1854
158,42,31,1,1854
159,42,30,2,1854
160,42,8,1,1854
161,42,10,1,1854
162,42,80,1,1854
163,60,70,1,1854
164,60,4,1,1854
165,60,5,2,1854
166,60,25,2,1854
167,60,12,1,1854
168,60,26,1,1854
169,60,39,1,1854
170,60,31,1,1854
171,21,51,1,1854
172,21,60,1,1854
173,21,29,1,1854
174,21,61,1,1854
175,21,27,1,1854
176,21,37,1,1854
177,21,8,1,1854
178,21,34,1,1854
179,21,41,2,1854
180,21,10,1,1854
181,21,28,1,1854
182,22,65,1,1854
183,22,26,1,1854
184,22,43,1,1854
185,22,15,1,1854
186,22,20,1,1854
187,22,11,1,1854
188,22,80,2,1854
189,22,34,1,1854
190,22,4,1,1854
191,22,6,1,1854
192,22,25,1,1854
193,22,8,1,1854
194,39,58,1,1854
195,39,87,1,1854
196,39,73,1,1854
197,39,47,1,1854
198,39,55,1,1854
199,39,38,1,1854
200,39,9,1,1854
201,39,18,2,1854
202,39,68,1,1854
203,39,26,2,1854
204,39,30,3,1854
205,39,5,2,1854
206,39,34,1,1854
207,39,63,2,1854
208,39,24,2,1854
209,39,33,1,1854
210,93,63,1,1854
211,93,59,1,1854
212,93,47,2,1854
213,93,56,1,1854
214,93,49,1,1854
215,93,61,1,1854
216,93,64,1,1854
217,58,72,1,1854
218,58,19,2,1854
219,58,12,1,1854
220,58,30,1,1854
221,58,60,1,1854
222,58,22,1,1854
223,58,29,1,1854
224,58,9,1,1854
225,61,83,1,1854
226,61,28,1,1854
227,61,13,1,1854
228,61,39,1,1854
229,71,95,1,1854
230,71,18,1,1854
231,71,24,1,1854
232,70,96,1,1854
233,70,15,1,1854
234,70,32,1,1854
235,70,31,1,1854
236,70,8,2,1854
237,12,55,3,1854
238,12,38,1,1854
239,12,54,1,1854
240,12,36,1,1854
241,12,11,1,1854
242,12,16,1,1854
243,12,26,1,1854
244,12,41,1,1854
245,56,90,1,1854
246,56,74,1,1854
247,56,9,1,1854
248,56,29,1,1854
249,56,30,1,1854
250,56,12,1,1854
251,56,11,2,1854
252,56,26,1,1854
253,56,7,1,1854
254,56,47,1,1854
255,56,25,1,1854
256,56,27,1,1854
257,92,66,1,1854
258,92,53,1,1854
259,92,64,1,1854
260,92,32,1,1854
261,92,43,1,1854
262,92,44,1,1854
263,92,54,1,1854
264,92,45,2,1854
265,54,77,1,1854
266,54,49,1,1854
267,54,25,1,1854
268,54,33,2,1854
269,54,42,1,1854
270,54,50,1,1854
271,54,27,1,1854
272,54,35,2,1854
273,54,18,1,1854
274,54,11,1,1854
275,54,19,1,1854
276,54,13,1,1854
277,54,6,1,1854
278,54,37,1,1854
279,54,22,1,1854
280,54,9,1,1854
281,54,31,2,1854
282,63,24,1,1854
283,63,76,1,1854
284,63,31,1,1854
285,63,15,1,1854
286,63,7,1,1854
287,63,36,1,1854
288,63,43,1,1854
289,63,29,1,1854
290,63,25,1,1854
291,48,68,1,1854
292,48,74,1,1854
293,48,28,1,1854
294,48,7,1,1854
295,48,15,1,1854
296,48,13,1,1854
297,48,22,1,1854
298,48,34,1,1854
299,48,69,1,1854
300,50,68,1,1854
301,50,14,1,1854
302,50,19,1,1854
303,33,61,2,1854
304,33,59,1,1854
305,33,10,2,1854
306,33,21,2,1854
307,33,11,1,1854
308,33,2,2,1854
309,33,20,1,1854
310,33,5,1,1854
311,33,39,1,1854
312,33,29,2,1854
313,33,23,2,1854
314,33,18,1,1854
315,33,24,1,1854
316,33,15,1,1854
317,8,43,2,1854
318,8,75,1,1854
319,8,11,1,1854
320,8,41,2,1854
321,8,54,3,1854
322,8,48,1,1854
323,8,44,1,1854
324,8,33,1,1854
325,8,42,1,1854
326,8,36,1,1854
327,8,49,1,1854
328,8,37,1,1854
329,8,52,1,1854
330,8,46,1,1854
331,8,53,2,1854
332,8,51,1,1854
333,44,56,1,1854
334,44,32,1,1854
335,44,12,1,1854
336,44,68,1,1854
337,44,45,1,1854
338,44,23,2,1854
339,44,30,1,1854
340,44,47,1,1854
341,44,10,1,1854
342,44,13,1,1854
343,44,20,1,1854
344,44,8,1,1854
345,44,21,1,1854
346,45,55,2,1854
347,45,57,1,1854
348,45,23,3,1854
349,45,25,1,1854
350,45,9,1,1854
351,45,75,1,1854
352,45,66,2,1854
353,45,33,2,1854
354,45,34,1,1854
355,45,44,1,1854
356,45,35,1,1854
357,45,46,2,1854
358,45,32,1,1854
359,20,83,1,1854
360,20,13,1,1854
361,20,25,1,1854
362,20,14,1,1854
363,20,80,1,1854
364,20,2,1,1854
365,20,89,1,1854
366,20,61,1,1854
367,20,31,1,1854
368,20,64,1,1854
369,20,17,1,1854
370,20,10,1,1854
371,20,9,1,1854
372,20,38,1,1854
373,52,75,1,1854
374,52,19,1,1854
375,52,4,3,1854
376,52,18,1,1854
377,52,6,1,1854
378,52,9,1,1854
379,52,40,1,1854
380,52,56,1,1854
381,52,28,2,1854
382,52,8,2,1854
383,52,14,1,1854
384,52,13,1,1854
385,52,10,1,1854
386,11,81,2,1854
387,11,14,1,1854
388,11,52,2,1854
389,11,6,1,1854
390,11,42,1,1854
391,11,41,1,1854
392,11,10,1,1854
393,11,12,1,1854
394,11,31,1,1854
395,11,40,1,1854
396,11,15,2,1854
397,11,66,1,1854
398,11,39,1,1854
399,11,7,1,1854
400,11,36,2,1854
401,11,46,1,1854
402,11,50,1,1854
403,37,63,1,1854
404,37,90,1,1854
405,37,10,1,1854
406,37,31,3,1854
407,37,5,1,1854
408,37,50,1,1854
409,37,30,1,1854
410,37,11,2,1854
411,37,6,1,1854
412,37,25,1,1854
413,37,33,1,1854
414,37,16,1,1854
415,37,49,1,1854
416,37,34,1,1854
417,37,52,1,1854
418,37,28,2,1854
419,10,40,1,1854
420,10,39,3,1854
421,10,38,1,1854
422,10,64,1,1854
423,10,52,1,1854
424,10,34,2,1854
425,10,54,1,1854
426,10,95,1,1854
427,10,47,1,1854
428,10,50,1,1854
429,10,4,1,1854
430,10,13,1,1854
431,10,66,1,1854
432,10,49,1,1854
433,10,14,1,1854
434,10,45,1,1854
435,46,94,2,1854
436,46,31,3,1854
437,46,18,2,1854
438,46,48,1,1854
439,46,27,1,1854
440,46,6,1,1854
441,46,4,1,1854
442,46,10,2,1854
443,46,11,1,1854
444,46,23,1,1854
445,46,32,1,1854
446,46,15,1,1854
447,46,34,1,1854
448,46,43,1,1854
449,46,26,1,1854
450,46,12,1,1854
451,47,54,1,1854
452,47,25,2,1854
453,47,27,2,1854
454,47,71,2,1854
455,47,30,1,1854
456,47,23,1,1854
457,47,20,1,1854
458,47,17,1,1854
459,47,31,1,1854
460,47,33,1,1854
461,47,50,1,1854
462,47,8,1,1854
463,47,10,1,1854
464,47,18,1,1854
465,17,79,1,1854
466,17,45,2,1854
467,17,56,2,1854
468,17,47,1,1854
469,17,30,1,1854
470,17,0,1,1854
471,17,14,1,1854
472,17,15,1,1854
473,17,36,1,1854
474,16,90,1,1854
475,16,49,1,1854
476,16,2,1,1854
477,16,27,2,1854
478,16,21,1,1854
479,16,62,1,1854
480,25,49,1,1854
481,25,35,1,1854
482,25,21,1,1854
483,25,37,1,1854
484,25,29,3,1854
485,25,60,1,1854
486,25,42,1,1854
487,25,10,1,1854
488,25,19,1,1854
489,25,62,1,1854
490,25,43,1,1854
491,25,25,1,1854
492,25,12,2,1854
493,25,16,1,1854
494,25,46,1,1854
495,32,72,1,1854
496,32,37,2,1854
497,32,57,1,1854
498,32,6,1,1854
499,32,13,1,1854
500,32,36,1,1854
501,32,16,1,1854
502,32,41,1,1854
503,32,17,1,1854
504,32,22,1,1854
505,32,40,1,1854
506,32,39,1,1854
507,32,27,1,1854
508,32,35,1,1854
509,32,14,1,1854
510,14,55,1,1854
511,14,21,1,1854
512,14,47,1,1854
513,14,8,1,1854
514,14,50,2,1854
515,14,48,1,1854
516,14,9,1,1854
517,14,31,2,1854
518,14,7,1,1854
519,14,97,1,1854
520,14,26,1,1854
521,14,39,1,1854
522,5,9,1,1854
523,5,43,1,1854
524,5,42,1,1854
525,5,46,1,1854
526,5,18,2,1854
527,5,27,1,1854
528,5,56,1,1854
529,5,48,1,1854
530,5,17,1,1854
531,5,1,1,1854
532,5,29,2,1854
533,5,31,2,1854
534,3,1,1,1854
535,3,57,2,1854
536,3,58,1,1854
537,3,40,3,1854
538,3,43,2,1854
539,3,47,1,1854
540,3,50,1,1854
541,3,48,1,1854
542,3,28,1,1854
543,3,56,2,1854
544,3,38,1,1854
545,3,44,1,1854
546,51,22,1,1854
547,51,17,1,1854
548,51,28,1,1854
549,51,30,1,1854
550,51,25,1,1854
551,65,27,1,1854
552,65,7,1,1854
553,57,28,1,1854
554,57,25,1,1854
555,57,12,2,1854
556,57,32,1,1854
557,57,9,1,1854
558,57,60,1,1854
559,57,11,1,1854
560,57,13,1,1854
561,57,29,2,1854
562,57,23,2,1854
563,57,5,1,1854
564,57,26,1,1854
565,62,43,1,1854
566,62,15,1,1854
567,62,16,1,1854
568,62,10,1,1854
569,62,2,2,1854
570,62,18,1,1854
571,62,1,1,1854
572,62,4,1,1854
573,62,8,1,1854
574,62,57,1,1854
575,62,14,1,1854
576,62,40,1,1854
577,43,33,1,1854
578,43,19,2,1854
579,43,54,1,1854
580,43,21,1,1854
581,43,10,2,1854
582,43,5,1,1854
583,43,36,2,1854
584,43,16,1,1854
585,43,57,1,1854
586,43,44,1,1854
587,43,53,1,1854
588,43,51,1,1854
589,43,26,2,1854
590,43,15,1,1854
591,43,24,1,1854
592,43,6,1,1854
593,59,29,1,1854
594,59,12,1,1854
595,59,13,1,1854
596,59,10,1,1854
597,85,54,1,1854
598,85,23,1,1854
599,85,53,1,1854
600,34,20,1,1854
601,34,31,2,1854
602,34,24,2,1854
603,34,35,1,1854
604,34,40,1,1854
605,34,7,1,1854
606,34,41,1,1854
607,34,21,2,1854
608,34,26,1,1854
609,34,29,1,1854
610,34,18,2,1854
611,34,16,1,1854
612,34,3,1,1854
613,34,33,1,1854
614,34,12,1,1854
615,2,31,1,1854
616,2,47,1,1854
617,2,48,1,1854
618,2,28,1,1854
619,2,26,1,1854
620,2,16,1,1854
621,88,57,1,1854
622,88,55,1,1854
623,88,66,2,1854
624,88,35,2,1854
625,94,45,1,1854
626,94,51,2,1854
627,94,58,1,1854
628,94,50,1,1854
629,94,53,1,1854
630,23,40,2,1854
631,23,18,2,1854
632,23,76,1,1854
633,23,34,1,1854
634,23,39,1,1854
635,23,31,3,1854
636,23,43,1,1854
637,23,19,2,1854
638,23,30,1,1854
639,23,60,1,1854
640,23,68,1,1854
641,23,3,1,1854
642,9,20,1,1854
643,9,48,3,1854
644,9,54,2,1854
645,9,9,1,1854
646,9,11,2,1854
647,9,37,1,1854
648,9,46,1,1854
649,9,49,1,1854
650,9,10,1,1854
651,9,5,2,1854
652,9,32,1,1854
653,9,22,1,1854
654,9,14,1,1854
655,9,12,1,1854
656,9,36,1,1854
657,9,42,2,1854
658,9,33,1,1854
659,9,24,1,1854
660,9,52,1,1854
661,9,44,1,1854
662,9,19,1,1854
663,66,55,1,1854
664,66,59,1,1854
665,66,52,2,1854
666,66,17,1,1854
667,66,32,1,1854
668,66,10,1,1854
669,66,34,1,1854
670,38,19,2,1854
671,38,87,1,1854
672,38,8,2,1854
673,38,9,1,1854
674,38,20,1,1854
675,38,26,3,1854
676,38,30,1,1854
677,38,14,1,1854
678,38,23,2,1854
679,38,49,2,1854
680,38,22,1,1854
681,38,39,1,1854
682,38,12,1,1854
683,38,13,1,1854
684,38,27,1,1854
685,38,4,1,1854
686,38,62,1,1854
687,38,15,1,1854
688,38,31,1,1854
689,18,49,1,1854
690,18,37,1,1854
691,18,77,1,1854
692,18,63,1,1854
693,18,46,1,1854
694,40,26,1,1854
695,40,14,2,1854
696,40,21,1,1854
697,40,54,1,1854
698,40,32,1,1854
699,40,34,2,1854
700,40,25,1,1854
