nokta_no,x,y,count,sezon_dakikasi
1,55,90,1,2197
2,55,100,6,2197
3,55,77,1,2197
4,55,93,2,2197
5,55,53,1,2197
6,55,88,2,2197
7,55,78,1,2197
8,55,86,1,2197
9,55,92,1,2197
10,55,95,1,2197
11,55,79,1,2197
12,30,84,2,2197
13,30,96,1,2197
14,30,46,1,2197
15,30,88,3,2197
16,30,78,1,2197
17,30,95,2,2197
18,30,83,2,2197
19,30,82,3,2197
20,30,81,1,2197
21,30,93,1,2197
22,30,94,1,2197
23,30,77,2,2197
24,30,49,1,2197
25,30,80,2,2197
26,30,92,2,2197
27,30,89,2,2197
28,30,87,1,2197
29,30,90,1,2197
30,30,100,3,2197
31,90,100,1,2197
32,90,77,1,2197
33,90,92,1,2197
34,90,84,1,2197
35,90,79,1,2197
36,90,65,1,2197
37,88,96,2,2197
38,88,84,1,2197
39,88,91,2,2197
40,88,87,1,2197
41,88,81,2,2197
42,88,93,1,2197
43,88,77,1,2197
44,88,86,1,2197
45,88,83,1,2197
46,84,100,3,2197
47,84,82,1,2197
48,84,94,1,2197
49,84,92,1,2197
50,77,92,1,2197
51,77,100,5,2197
52,77,56,1,2197
53,77,96,1,2197
54,77,87,1,2197
55,19,93,2,2197
56,19,95,2,2197
57,19,88,1,2197
58,19,85,1,2197
59,19,81,1,2197
60,19,91,1,2197
61,19,58,1,2197
62,9,85,2,2197
63,9,87,2,2197
64,9,74,1,2197
65,9,53,1,2197
66,9,86,2,2197
67,9,100,2,2197
68,9,97,1,2197
69,9,89,1,2197
70,9,66,1,2197
71,9,67,1,2197
72,9,91,1,2197
73,9,95,2,2197
74,9,59,1,2197
75,46,78,1,2197
76,46,92,1,2197
77,46,63,1,2197
78,46,87,2,2197
79,46,91,1,2197
80,46,97,1,2197
81,46,100,3,2197
82,46,86,1,2197
83,46,88,3,2197
84,46,72,1,2197
85,46,89,1,2197
86,46,82,1,2197
87,46,85,1,2197
88,46,90,1,2197
89,20,75,2,2197
90,20,100,6,2197
91,20,96,1,2197
92,20,97,1,2197
93,20,89,1,2197
94,20,73,2,2197
95,20,43,1,2197
96,20,94,1,2197
97,20,82,1,2197
98,20,59,1,2197
99,20,69,1,2197
100,20,91,1,2197
101,20,87,1,2197
102,20,71,1,2197
103,20,93,1,2197
104,20,83,1,2197
105,20,86,1,2197
106,40,96,5,2197
107,40,93,4,2197
108,40,88,2,2197
109,40,82,2,2197
110,40,76,2,2197
111,40,90,1,2197
112,40,100,1,2197
113,40,74,1,2197
114,40,78,1,2197
115,40,91,2,2197
116,40,92,1,2197
117,40,89,2,2197
118,40,73,1,2197
119,40,72,1,2197
120,42,96,1,2197
121,42,95,2,2197
122,42,57,1,2197
123,42,90,1,2197
124,42,78,2,2197
125,42,81,1,2197
126,42,83,2,2197
127,42,100,3,2197
128,42,70,1,2197
129,42,92,1,2197
130,42,91,1,2197
131,42,94,2,2197
132,56,75,1,2197
133,56,95,4,2197
134,56,89,1,2197
135,56,93,2,2197
136,56,63,1,2197
137,56,100,2,2197
138,56,87,1,2197
139,56,77,1,2197
140,56,79,1,2197
141,56,85,1,2197
142,56,91,2,2197
143,56,83,1,2197
144,56,96,1,2197
145,56,92,2,2197
146,56,88,1,2197
147,56,90,2,2197
148,94,82,1,2197
149,94,73,1,2197
150,94,65,1,2197
151,94,75,1,2197
152,94,100,1,2197
153,73,65,1,2197
154,73,100,3,2197
155,73,78,1,2197
156,73,96,2,2197
157,73,82,1,2197
158,73,79,1,2197
159,73,86,2,2197
160,73,85,1,2197
161,73,77,1,2197
162,45,84,1,2197
163,45,48,1,2197
164,45,95,1,2197
165,45,100,5,2197
166,45,90,1,2197
167,45,91,1,2197
168,45,86,2,2197
169,45,94,1,2197
170,45,87,1,2197
171,45,75,1,2197
172,45,80,1,2197
173,45,73,1,2197
174,53,100,4,2197
175,53,80,2,2197
176,53,94,2,2197
177,53,86,1,2197
178,53,92,2,2197
179,53,91,1,2197
180,53,93,1,2197
181,53,89,1,2197
182,53,81,2,2197
183,53,88,1,2197
184,53,56,1,2197
185,53,54,1,2197
186,53,90,2,2197
187,53,68,1,2197
188,53,87,1,2197
189,34,73,2,2197
190,34,88,1,2197
191,34,86,1,2197
192,34,61,1,2197
193,34,96,2,2197
194,34,100,3,2197
195,34,94,3,2197
196,34,79,1,2197
197,34,91,1,2197
198,34,84,1,2197
199,34,80,2,2197
200,34,95,1,2197
201,17,100,4,2197
202,17,76,1,2197
203,17,77,2,2197
204,17,91,2,2197
205,17,87,1,2197
206,17,58,1,2197
207,17,80,2,2197
208,15,72,1,2197
209,15,100,2,2197
210,15,77,1,2197
211,15,90,1,2197
212,15,92,2,2197
213,15,94,1,2197
214,15,88,1,2197
215,15,65,1,2197
216,7,100,1,2197
217,7,88,1,2197
218,7,91,1,2197
219,7,62,1,2197
220,7,86,1,2197
221,7,84,2,2197
222,7,95,1,2197
223,7,96,1,2197
224,7,57,1,2197
225,7,83,1,2197
226,52,100,3,2197
227,52,94,1,2197
228,52,92,1,2197
229,52,91,2,2197
230,52,75,2,2197
231,52,96,1,2197
232,11,43,1,2197
233,11,57,2,2197
234,11,73,1,2197
235,11,94,1,2197
236,11,85,1,2197
237,11,81,1,2197
238,11,68,1,2197
239,11,66,2,2197
240,11,75,2,2197
241,11,70,1,2197
242,11,63,1,2197
243,11,84,1,2197
244,11,71,1,2197
245,11,89,1,2197
246,21,79,1,2197
247,21,80,3,2197
248,21,97,3,2197
249,21,95,2,2197
250,21,68,1,2197
251,21,100,1,2197
252,21,75,1,2197
253,21,88,2,2197
254,21,90,1,2197
255,21,69,3,2197
256,21,91,1,2197
257,21,92,3,2197
258,21,84,1,2197
259,21,76,1,2197
260,48,100,1,2197
261,48,85,1,2197
262,48,88,1,2197
263,48,96,1,2197
264,48,97,1,2197
265,48,79,1,2197
266,48,81,1,2197
267,48,93,1,2197
268,36,75,1,2197
269,36,90,4,2197
270,36,69,1,2197
271,36,100,3,2197
272,36,94,2,2197
273,36,84,2,2197
274,36,53,1,2197
275,36,92,3,2197
276,36,91,2,2197
