nokta_no,x,y,count,sezon_dakikasi
1,55,11,3,1653
2,55,29,3,1653
3,55,27,1,1653
4,55,5,1,1653
5,55,23,2,1653
6,55,47,1,1653
7,55,24,1,1653
8,55,35,1,1653
9,55,17,1,1653
10,55,28,1,1653
11,55,1,1,1653
12,55,4,1,1653
13,55,3,1,1653
14,55,8,1,1653
15,66,16,1,1653
16,66,12,2,1653
17,66,9,1,1653
18,66,25,2,1653
19,66,14,2,1653
20,66,36,1,1653
21,66,11,1,1653
22,66,28,1,1653
23,66,24,1,1653
24,66,8,1,1653
25,66,41,1,1653
26,66,19,1,1653
27,66,10,2,1653
28,66,42,1,1653
29,66,50,1,1653
30,66,55,2,1653
31,66,40,1,1653
32,72,11,1,1653
33,72,19,1,1653
34,72,12,3,1653
35,72,13,1,1653
36,72,28,2,1653
37,72,33,1,1653
38,72,76,1,1653
39,72,35,1,1653
40,72,67,1,1653
41,72,27,1,1653
42,72,14,2,1653
43,72,8,1,1653
44,72,32,1,1653
45,72,6,2,1653
46,72,16,1,1653
47,72,15,1,1653
48,72,9,1,1653
49,72,23,1,1653
50,72,5,1,1653
51,72,44,1,1653
52,72,7,1,1653
53,72,18,1,1653
54,72,0,1,1653
55,72,3,1,1653
56,72,2,1,1653
57,72,24,1,1653
58,99,13,1,1653
59,99,0,33,1653
60,99,99,12,1653
61,99,59,1,1653
62,99,47,1,1653
63,99,7,1,1653
64,99,27,1,1653
65,67,26,1,1653
66,67,12,1,1653
67,67,23,1,1653
68,67,68,1,1653
69,67,8,2,1653
70,67,60,1,1653
71,67,11,1,1653
72,67,27,3,1653
73,67,42,2,1653
74,67,16,3,1653
75,67,61,1,1653
76,67,38,2,1653
77,67,18,1,1653
78,67,65,1,1653
79,67,3,1,1653
80,67,25,1,1653
81,67,37,1,1653
82,67,20,1,1653
83,90,29,1,1653
84,90,7,3,1653
85,90,36,1,1653
86,90,71,1,1653
87,90,90,1,1653
88,90,88,1,1653
89,90,38,1,1653
90,90,89,1,1653
91,90,8,1,1653
92,90,25,1,1653
93,90,10,1,1653
94,90,59,1,1653
95,43,32,1,1653
96,43,9,1,1653
97,43,15,1,1653
98,43,36,1,1653
99,43,29,1,1653
100,43,26,1,1653
101,43,2,1,1653
102,43,5,2,1653
103,43,45,2,1653
104,43,63,2,1653
105,43,82,1,1653
106,43,74,1,1653
107,43,27,1,1653
108,43,7,2,1653
109,43,22,1,1653
110,43,19,1,1653
111,43,16,1,1653
112,43,25,1,1653
113,43,3,1,1653
114,63,36,1,1653
115,63,41,1,1653
116,63,45,1,1653
117,63,15,3,1653
118,63,19,1,1653
119,63,24,1,1653
120,63,85,1,1653
121,63,14,2,1653
122,63,28,1,1653
123,63,51,1,1653
124,63,38,1,1653
125,63,22,1,1653
126,63,78,1,1653
127,63,25,1,1653
128,63,9,1,1653
129,63,26,1,1653
130,63,7,1,1653
131,63,44,1,1653
132,63,34,1,1653
133,63,21,1,1653
134,63,42,1,1653
135,63,20,1,1653
136,63,5,1,1653
137,63,35,1,1653
138,63,4,1,1653
139,63,10,1,1653
140,63,31,1,1653
141,78,47,1,1653
142,78,12,2,1653
143,78,46,1,1653
144,78,14,2,1653
145,78,54,1,1653
146,78,8,1,1653
147,78,18,1,1653
148,78,80,1,1653
149,78,7,2,1653
150,78,20,1,1653
151,78,3,1,1653
152,78,5,1,1653
153,78,38,1,1653
154,76,43,1,1653
155,76,10,1,1653
156,76,66,1,1653
157,76,60,1,1653
158,76,49,1,1653
159,76,18,2,1653
160,76,14,1,1653
161,76,51,1,1653
162,76,46,1,1653
163,76,8,1,1653
164,76,15,1,1653
165,76,93,1,1653
166,76,17,1,1653
167,73,49,1,1653
168,73,24,1,1653
169,73,9,4,1653
170,73,27,1,1653
171,73,16,1,1653
172,73,69,1,1653
173,73,56,1,1653
174,73,20,1,1653
175,73,26,2,1653
176,73,71,1,1653
177,73,80,1,1653
178,73,21,1,1653
179,73,90,1,1653
180,73,17,2,1653
181,73,78,1,1653
182,73,60,1,1653
183,73,22,1,1653
184,73,45,1,1653
185,73,11,1,1653
