nokta_no,x,y,count,sezon_dakikasi
1,22,75,2,1902
2,22,14,2,1902
3,22,30,1,1902
4,22,95,1,1902
5,22,74,1,1902
6,22,66,1,1902
7,22,91,2,1902
8,22,92,1,1902
9,22,85,1,1902
10,22,60,1,1902
11,22,79,1,1902
12,22,90,1,1902
13,22,80,1,1902
14,22,68,1,1902
15,22,93,1,1902
16,22,86,1,1902
17,22,65,1,1902
18,26,94,1,1902
19,26,60,1,1902
20,26,90,1,1902
21,26,31,2,1902
22,26,18,1,1902
23,26,80,3,1902
24,26,97,1,1902
25,26,95,1,1902
26,26,100,1,1902
27,26,21,1,1902
28,26,93,1,1902
29,26,78,1,1902
30,26,91,1,1902
31,26,54,1,1902
32,26,71,1,1902
33,26,74,1,1902
34,26,55,1,1902
35,26,81,1,1902
36,32,82,2,1902
37,32,100,3,1902
38,32,90,1,1902
39,32,70,1,1902
40,32,37,1,1902
41,32,67,1,1902
42,32,71,1,1902
43,32,94,2,1902
44,32,84,3,1902
45,32,64,1,1902
46,32,93,1,1902
47,32,79,2,1902
48,32,91,1,1902
49,32,95,1,1902
50,32,76,1,1902
51,32,59,1,1902
52,32,85,1,1902
53,32,63,1,1902
54,32,96,1,1902
55,32,57,1,1902
56,32,34,1,1902
57,32,80,2,1902
58,31,90,1,1902
59,31,78,2,1902
60,31,64,1,1902
61,31,65,1,1902
62,31,32,1,1902
63,31,73,2,1902
64,31,87,2,1902
65,31,100,2,1902
66,31,91,1,1902
67,31,96,1,1902
68,31,94,3,1902
69,31,82,1,1902
70,31,81,2,1902
71,31,79,2,1902
72,31,50,1,1902
73,31,97,1,1902
74,31,77,1,1902
75,31,55,1,1902
76,31,37,1,1902
77,31,69,1,1902
78,31,76,1,1902
79,31,89,1,1902
80,9,95,1,1902
81,9,88,1,1902
82,9,100,2,1902
83,9,94,1,1902
84,9,60,2,1902
85,9,82,1,1902
86,9,91,2,1902
87,9,54,1,1902
88,9,93,1,1902
89,9,55,1,1902
90,9,72,1,1902
91,9,63,1,1902
92,9,62,1,1902
93,9,89,1,1902
94,6,92,2,1902
95,6,59,2,1902
96,6,8,1,1902
97,6,81,2,1902
98,37,100,3,1902
99,37,53,1,1902
100,37,51,1,1902
101,37,28,1,1902
102,37,46,1,1902
103,37,67,1,1902
104,37,62,1,1902
105,37,63,1,1902
106,37,96,4,1902
107,37,61,1,1902
108,37,10,1,1902
109,37,97,1,1902
110,37,91,1,1902
111,37,74,2,1902
112,37,57,1,1902
113,37,92,2,1902
114,37,49,2,1902
115,37,39,1,1902
116,37,60,1,1902
117,37,70,3,1902
118,37,94,1,1902
119,24,23,1,1902
120,24,90,2,1902
121,24,52,1,1902
122,24,93,1,1902
123,24,74,2,1902
124,24,85,1,1902
125,24,100,3,1902
126,24,97,1,1902
127,24,75,1,1902
128,24,69,3,1902
129,24,83,1,1902
130,24,68,2,1902
131,24,82,3,1902
132,24,94,1,1902
133,24,73,1,1902
134,24,71,1,1902
135,23,75,1,1902
136,23,39,1,1902
137,23,49,1,1902
138,23,80,2,1902
139,23,78,1,1902
140,23,83,2,1902
141,23,89,1,1902
142,23,58,1,1902
143,23,100,5,1902
144,23,94,3,1902
145,23,73,2,1902
146,23,95,2,1902
147,23,77,1,1902
148,23,67,1,1902
149,23,69,1,1902
150,23,85,2,1902
151,23,61,2,1902
152,23,92,1,1902
153,59,100,3,1902
154,59,89,2,1902
155,59,97,2,1902
156,59,78,2,1902
157,59,91,4,1902
158,59,83,1,1902
159,59,47,1,1902
160,59,65,1,1902
161,59,92,1,1902
162,59,95,1,1902
163,59,90,1,1902
164,59,37,1,1902
165,41,85,2,1902
166,41,74,1,1902
167,41,61,1,1902
168,41,52,1,1902
169,41,91,4,1902
170,41,70,3,1902
171,41,62,1,1902
172,41,72,1,1902
173,41,88,1,1902
174,41,29,1,1902
175,41,68,2,1902
176,41,57,1,1902
177,41,94,3,1902
178,41,87,3,1902
179,41,90,1,1902
180,41,89,1,1902
181,41,100,1,1902
182,41,82,1,1902
183,41,93,2,1902
184,41,86,1,1902
185,41,95,1,1902
186,41,56,1,1902
187,41,58,1,1902
188,41,77,1,1902
189,41,84,1,1902
190,20,90,2,1902
191,20,68,1,1902
192,20,41,1,1902
193,20,80,2,1902
194,20,73,3,1902
195,20,67,1,1902
196,20,72,1,1902
197,20,83,4,1902
198,20,89,1,1902
199,20,96,1,1902
200,20,95,2,1902
201,20,88,1,1902
202,20,81,1,1902
203,20,100,3,1902
204,20,69,1,1902
205,12,90,3,1902
206,12,73,1,1902
207,12,93,1,1902
208,12,85,2,1902
209,12,91,1,1902
210,12,94,1,1902
211,12,69,1,1902
