nokta_no,x,y,count,sezon_dakikasi
1,56,25,1,1889
2,56,63,2,1889
3,56,67,1,1889
4,56,46,1,1889
5,56,11,1,1889
6,56,47,1,1889
7,56,59,1,1889
8,56,27,1,1889
9,56,41,1,1889
10,56,96,1,1889
11,56,10,1,1889
12,56,31,1,1889
13,56,24,1,1889
14,56,33,2,1889
15,56,49,1,1889
16,59,27,1,1889
17,59,36,1,1889
18,59,67,4,1889
19,59,85,1,1889
20,59,49,2,1889
21,59,14,1,1889
22,59,16,1,1889
23,59,97,1,1889
24,59,80,1,1889
25,59,31,2,1889
26,59,88,2,1889
27,59,77,1,1889
28,59,44,1,1889
29,59,66,1,1889
30,59,89,2,1889
31,38,29,1,1889
32,38,82,1,1889
33,38,94,1,1889
34,38,25,1,1889
35,38,50,1,1889
36,66,72,1,1889
37,66,91,1,1889
38,66,28,1,1889
39,66,87,1,1889
40,66,55,1,1889
41,66,69,1,1889
42,66,56,1,1889
43,66,93,1,1889
44,66,83,1,1889
45,66,88,1,1889
46,66,75,1,1889
47,49,49,7,1889
48,49,50,8,1889
49,49,79,1,1889
50,45,27,1,1889
51,45,57,1,1889
52,45,41,1,1889
53,45,82,1,1889
54,45,88,1,1889
55,45,30,2,1889
56,45,28,1,1889
57,45,66,1,1889
58,45,95,1,1889
59,45,1,1,1889
60,45,7,1,1889
61,45,39,1,1889
62,58,66,1,1889
63,58,96,1,1889
64,58,54,1,1889
65,58,34,1,1889
66,58,9,1,1889
67,58,49,1,1889
68,58,72,2,1889
69,58,46,2,1889
70,58,33,1,1889
71,58,94,2,1889
72,58,26,1,1889
73,58,75,3,1889
74,58,64,1,1889
75,60,31,1,1889
76,60,35,1,1889
77,60,18,1,1889
78,60,80,1,1889
79,60,32,2,1889
80,60,63,2,1889
81,60,67,1,1889
82,60,92,1,1889
83,60,64,1,1889
84,60,74,1,1889
85,60,93,2,1889
86,60,81,1,1889
87,60,66,1,1889
88,60,29,2,1889
89,60,82,2,1889
90,84,78,1,1889
91,84,6,1,1889
92,84,85,1,1889
93,84,31,1,1889
94,84,23,1,1889
95,84,8,1,1889
96,40,24,1,1889
97,40,81,1,1889
98,40,14,1,1889
99,40,87,1,1889
100,40,78,1,1889
101,40,77,1,1889
102,73,27,1,1889
103,73,40,1,1889
104,73,61,2,1889
105,73,21,2,1889
106,73,58,2,1889
107,73,24,1,1889
108,73,47,2,1889
109,73,37,1,1889
110,57,86,1,1889
111,57,6,2,1889
112,57,82,3,1889
113,57,66,1,1889
114,57,38,1,1889
115,57,50,2,1889
116,57,78,1,1889
117,57,14,1,1889
118,57,61,2,1889
119,57,37,1,1889
120,57,30,2,1889
121,57,63,2,1889
122,57,29,1,1889
123,55,84,1,1889
124,55,22,1,1889
125,55,76,1,1889
126,55,56,3,1889
127,55,48,2,1889
128,55,49,1,1889
129,55,66,1,1889
130,55,69,1,1889
131,55,67,1,1889
132,55,73,1,1889
133,55,40,1,1889
134,55,18,2,1889
135,55,77,1,1889
136,61,84,1,1889
137,61,63,1,1889
138,61,69,1,1889
139,61,74,1,1889
140,61,53,1,1889
141,61,51,2,1889
142,61,66,1,1889
143,61,22,1,1889
144,61,72,1,1889
145,61,82,1,1889
146,61,52,1,1889
147,61,68,2,1889
148,61,70,1,1889
149,61,60,1,1889
150,61,57,1,1889
151,61,35,2,1889
152,61,80,1,1889
153,35,93,1,1889
154,35,78,1,1889
155,35,89,1,1889
156,35,90,1,1889
157,92,56,3,1889
158,92,52,1,1889
159,92,44,2,1889
160,92,6,1,1889
161,92,18,1,1889
162,92,31,1,1889
163,92,88,1,1889
164,92,54,2,1889
165,92,63,1,1889
166,92,47,1,1889
167,92,49,1,1889
168,71,44,3,1889
169,71,74,1,1889
170,71,39,1,1889
171,71,38,2,1889
172,71,83,1,1889
173,71,47,1,1889
174,90,49,1,1889
175,90,26,1,1889
176,90,39,2,1889
177,90,20,1,1889
178,90,52,1,1889
179,90,96,1,1889
180,90,89,1,1889
181,90,73,1,1889
182,90,59,1,1889
183,90,55,2,1889
184,90,68,1,1889
185,90,33,1,1889
186,90,43,1,1889
187,90,56,1,1889
188,90,28,1,1889
189,90,92,1,1889
190,62,26,1,1889
191,62,90,1,1889
192,62,88,1,1889
193,62,60,1,1889
194,62,63,1,1889
195,62,11,2,1889
196,62,68,1,1889
197,62,75,1,1889
198,62,89,1,1889
199,62,85,2,1889
200,62,35,1,1889
201,62,61,1,1889
202,62,32,1,1889
203,62,76,1,1889
204,91,48,5,1889
205,91,92,1,1889
206,91,55,2,1889
207,91,44,2,1889
208,91,42,3,1889
209,91,10,1,1889
210,91,52,1,1889
211,91,35,1,1889
212,91,50,2,1889
213,91,37,1,1889
214,91,74,1,1889
215,91,53,1,1889
216,91,43,1,1889
