nokta_no,x,y,count,sezon_dakikasi
1,22,19,1,1657
2,22,31,1,1657
3,22,22,1,1657
4,22,26,2,1657
5,22,18,1,1657
6,22,10,1,1657
7,22,25,1,1657
8,22,17,1,1657
9,22,46,1,1657
10,22,13,1,1657
11,22,73,1,1657
12,22,63,1,1657
13,22,6,1,1657
14,22,70,1,1657
15,22,89,1,1657
16,22,86,1,1657
17,22,51,1,1657
18,22,2,1,1657
19,22,30,1,1657
20,22,50,1,1657
21,22,9,1,1657
22,22,14,1,1657
23,22,11,1,1657
24,35,61,1,1657
25,35,41,2,1657
26,35,39,2,1657
27,35,54,1,1657
28,35,23,2,1657
29,35,46,1,1657
30,35,36,1,1657
31,35,21,2,1657
32,35,22,2,1657
33,35,12,1,1657
34,35,11,1,1657
35,35,71,1,1657
36,35,48,2,1657
37,35,8,1,1657
38,35,37,1,1657
39,35,52,1,1657
40,35,47,1,1657
41,35,51,1,1657
42,35,57,2,1657
43,35,70,1,1657
44,35,91,1,1657
45,35,42,1,1657
46,35,60,1,1657
47,35,43,1,1657
48,35,45,1,1657
49,35,29,1,1657
50,35,7,1,1657
51,35,6,1,1657
52,35,35,1,1657
53,35,59,1,1657
54,30,58,1,1657
55,30,13,3,1657
56,30,28,2,1657
57,30,38,1,1657
58,30,17,1,1657
59,30,44,1,1657
60,30,26,1,1657
61,30,12,1,1657
62,30,70,1,1657
63,30,9,1,1657
64,30,48,1,1657
65,30,51,1,1657
66,30,27,1,1657
67,30,81,1,1657
68,30,73,2,1657
69,30,39,1,1657
70,30,69,1,1657
71,30,71,1,1657
72,30,36,1,1657
73,30,19,2,1657
74,30,18,2,1657
75,30,50,1,1657
76,30,15,1,1657
77,30,49,1,1657
78,30,34,1,1657
79,30,29,2,1657
80,30,23,1,1657
81,30,24,2,1657
82,20,57,1,1657
83,20,35,2,1657
84,20,19,1,1657
85,20,28,2,1657
86,20,8,1,1657
87,20,34,1,1657
88,20,13,1,1657
89,20,42,1,1657
90,20,46,2,1657
91,20,33,1,1657
92,20,79,1,1657
93,20,86,1,1657
94,20,75,1,1657
95,20,81,1,1657
96,20,17,1,1657
97,20,36,1,1657
98,20,39,1,1657
99,20,44,1,1657
100,20,37,1,1657
101,20,12,1,1657
102,20,63,1,1657
103,45,57,1,1657
104,45,15,2,1657
105,45,31,1,1657
106,45,33,1,1657
107,45,38,2,1657
108,45,29,1,1657
109,45,20,1,1657
110,45,54,1,1657
111,45,75,1,1657
112,45,67,1,1657
113,45,48,1,1657
114,45,88,1,1657
115,45,79,1,1657
116,45,8,1,1657
117,2,43,1,1657
118,2,39,1,1657
119,2,27,1,1657
120,2,50,2,1657
121,2,24,1,1657
122,2,33,1,1657
123,2,30,1,1657
124,2,3,1,1657
125,28,22,1,1657
126,28,17,1,1657
127,28,29,3,1657
128,28,35,3,1657
129,28,31,3,1657
130,28,11,1,1657
131,28,9,2,1657
132,28,15,1,1657
133,28,41,1,1657
134,28,42,1,1657
135,28,63,1,1657
136,28,33,1,1657
137,28,25,1,1657
138,28,44,1,1657
139,28,43,3,1657
140,28,67,1,1657
141,28,46,1,1657
142,28,28,1,1657
143,28,34,1,1657
144,28,45,1,1657
145,28,66,1,1657
146,28,74,1,1657
147,28,86,1,1657
148,28,64,1,1657
149,28,55,1,1657
150,28,48,1,1657
151,28,49,1,1657
152,28,58,2,1657
153,28,8,1,1657
154,28,20,1,1657
155,28,24,2,1657
156,28,26,1,1657
157,28,37,1,1657
158,42,69,1,1657
159,42,68,1,1657
160,42,4,2,1657
161,42,27,1,1657
162,42,64,1,1657
163,42,34,1,1657
164,42,10,1,1657
165,42,52,1,1657
166,42,87,1,1657
167,42,83,1,1657
168,42,89,1,1657
169,42,67,1,1657
170,42,53,1,1657
171,42,45,2,1657
172,42,25,1,1657
173,42,61,1,1657
174,42,32,1,1657
175,42,17,1,1657
176,42,12,1,1657
177,42,28,1,1657
178,42,60,1,1657
179,42,13,1,1657
180,25,67,1,1657
181,25,22,1,1657
182,25,35,1,1657
183,25,48,1,1657
184,25,23,1,1657
185,25,38,3,1657
186,25,26,1,1657
187,25,54,1,1657
188,25,15,1,1657
189,25,47,2,1657
190,25,36,1,1657
191,25,76,1,1657
192,25,53,1,1657
193,25,94,1,1657
194,25,43,1,1657
195,25,72,2,1657
196,25,18,2,1657
197,25,37,2,1657
198,25,25,1,1657
199,25,74,1,1657
200,25,27,1,1657
201,25,60,1,1657
202,25,10,1,1657
203,25,34,2,1657
204,25,1,1,1657
205,25,39,1,1657
206,25,75,1,1657
207,25,55,1,1657
208,25,17,1,1657
209,12,13,2,1657
210,12,27,1,1657
211,12,36,1,1657
212,12,51,1,1657
213,12,11,1,1657
214,12,31,1,1657
215,12,26,1,1657
216,12,61,1,1657
217,12,82,1,1657
218,12,41,1,1657
219,12,32,1,1657
220,12,44,1,1657
221,12,25,1,1657
222,12,3,2,1657
223,12,14,1,1657
224,13,3,1,1657
225,13,33,2,1657
226,13,65,1,1657
227,13,35,2,1657
228,13,25,2,1657
229,13,92,1,1657
230,13,41,1,1657
