nokta_no,x,y,count,sezon_dakikasi
1,34,94,1,2319
2,34,11,1,2319
3,34,48,3,2319
4,34,49,2,2319
5,34,24,1,2319
6,34,58,1,2319
7,34,77,3,2319
8,34,70,1,2319
9,34,47,1,2319
10,34,43,1,2319
11,34,46,2,2319
12,34,6,1,2319
13,34,8,1,2319
14,34,34,1,2319
15,34,76,2,2319
16,34,67,1,2319
17,34,62,1,2319
18,34,78,1,2319
19,34,66,1,2319
20,34,73,2,2319
21,34,69,1,2319
22,34,80,1,2319
23,34,50,2,2319
24,34,40,2,2319
25,34,54,1,2319
26,34,53,1,2319
27,34,86,1,2319
28,33,60,2,2319
29,33,58,1,2319
30,33,22,1,2319
31,33,93,1,2319
32,33,73,1,2319
33,33,66,2,2319
34,33,64,1,2319
35,33,92,3,2319
36,33,94,1,2319
37,33,25,1,2319
38,33,52,3,2319
39,33,46,3,2319
40,33,48,2,2319
41,33,95,1,2319
42,33,17,1,2319
43,33,41,1,2319
44,33,43,2,2319
45,33,21,1,2319
46,33,47,1,2319
47,33,31,1,2319
48,33,10,2,2319
49,33,7,1,2319
50,33,76,1,2319
51,33,5,1,2319
52,33,69,1,2319
53,33,14,2,2319
54,33,62,3,2319
55,33,49,2,2319
56,33,74,1,2319
57,33,59,1,2319
58,33,15,1,2319
59,33,80,1,2319
60,62,28,1,2319
61,62,61,1,2319
62,62,82,1,2319
63,62,3,1,2319
64,62,86,1,2319
65,62,70,1,2319
66,62,14,2,2319
67,62,21,1,2319
68,62,18,1,2319
69,62,45,1,2319
70,62,69,2,2319
71,62,84,1,2319
72,62,24,1,2319
73,62,40,1,2319
74,62,33,1,2319
75,62,78,1,2319
76,62,6,1,2319
77,62,83,1,2319
78,62,66,1,2319
79,71,89,2,2319
80,71,55,1,2319
81,71,86,3,2319
82,71,93,2,2319
83,71,60,2,2319
84,71,21,1,2319
85,71,8,2,2319
86,71,26,1,2319
87,71,90,1,2319
88,71,13,1,2319
89,71,50,1,2319
90,44,55,1,2319
91,44,66,3,2319
92,44,71,1,2319
93,44,44,3,2319
94,44,15,1,2319
95,44,35,1,2319
96,44,83,2,2319
97,44,24,1,2319
98,44,63,1,2319
99,44,43,1,2319
100,44,68,1,2319
101,44,82,1,2319
102,44,64,1,2319
103,44,90,1,2319
104,44,52,1,2319
105,44,30,2,2319
106,44,88,1,2319
107,44,94,1,2319
108,44,53,1,2319
109,44,28,1,2319
110,44,19,1,2319
111,44,86,1,2319
112,44,69,1,2319
113,44,22,1,2319
114,44,23,1,2319
115,44,20,1,2319
116,44,73,1,2319
117,44,62,1,2319
118,44,57,1,2319
119,57,36,2,2319
120,57,37,1,2319
121,57,56,1,2319
122,57,67,3,2319
123,57,54,1,2319
124,57,62,2,2319
125,57,55,1,2319
126,57,10,1,2319
127,57,72,2,2319
128,57,70,1,2319
129,57,31,1,2319
130,57,84,1,2319
131,57,69,1,2319
132,57,80,1,2319
133,57,94,1,2319
134,57,21,1,2319
135,57,57,1,2319
136,57,85,1,2319
137,57,53,1,2319
