nokta_no,x,y,count,sezon_dakikasi
1,64,100,6,1134
2,64,83,1,1134
3,64,87,2,1134
4,64,91,1,1134
5,64,18,1,1134
6,64,94,1,1134
7,64,82,1,1134
8,64,96,1,1134
9,64,89,1,1134
10,64,54,1,1134
11,64,59,1,1134
12,64,85,1,1134
13,71,81,1,1134
14,71,93,1,1134
15,71,94,1,1134
16,71,100,4,1134
17,71,79,1,1134
18,71,74,1,1134
19,71,20,1,1134
20,71,78,1,1134
21,39,81,1,1134
22,39,88,1,1134
23,39,94,5,1134
24,39,69,1,1134
25,39,95,4,1134
26,39,85,2,1134
27,39,83,1,1134
28,39,61,1,1134
29,39,76,1,1134
30,39,84,1,1134
31,39,82,1,1134
32,39,65,1,1134
33,39,93,1,1134
34,39,91,1,1134
35,54,100,4,1134
36,54,86,1,1134
37,54,84,1,1134
38,54,94,1,1134
39,54,95,2,1134
40,54,72,1,1134
41,54,96,1,1134
42,54,68,1,1134
43,54,91,1,1134
44,54,97,1,1134
45,62,92,2,1134
46,62,75,1,1134
47,62,82,1,1134
48,62,90,2,1134
49,62,94,3,1134
50,62,100,4,1134
51,62,95,2,1134
52,62,96,1,1134
53,62,93,1,1134
54,61,94,2,1134
55,61,78,1,1134
56,61,96,2,1134
57,61,69,1,1134
58,61,91,1,1134
59,61,82,1,1134
60,61,71,1,1134
61,61,81,1,1134
62,61,93,2,1134
63,61,90,1,1134
64,11,64,1,1134
65,11,98,1,1134
66,11,88,1,1134
67,11,100,1,1134
68,11,52,1,1134
69,11,90,1,1134
70,11,93,1,1134
71,11,63,1,1134
72,11,73,1,1134
73,11,80,1,1134
74,11,28,1,1134
75,11,48,1,1134
76,11,82,1,1134
77,11,65,1,1134
78,11,94,2,1134
79,11,67,1,1134
80,48,100,1,1134
81,48,94,1,1134
82,48,0,1,1134
83,48,78,1,1134
84,48,93,1,1134
85,47,95,2,1134
86,47,90,1,1134
87,47,88,2,1134
88,47,87,1,1134
89,47,100,3,1134
90,23,94,1,1134
91,23,76,1,1134
92,23,100,1,1134
93,23,90,1,1134
94,23,84,1,1134
95,23,95,2,1134
96,23,83,1,1134
97,23,92,1,1134
98,23,93,1,1134
99,23,89,1,1134
100,23,63,1,1134
101,23,97,1,1134
102,35,82,1,1134
103,35,90,3,1134
104,35,83,1,1134
105,35,66,1,1134
106,35,95,4,1134
107,35,94,2,1134
108,35,96,1,1134
109,35,92,1,1134
110,35,68,1,1134
111,35,79,1,1134
112,35,87,2,1134
113,35,89,1,1134
114,35,100,1,1134
115,35,70,1,1134
116,35,84,1,1134
117,13,100,3,1134
118,13,95,1,1134
119,13,78,1,1134
120,13,88,2,1134
121,13,65,1,1134
122,13,71,1,1134
123,13,56,1,1134
124,13,93,1,1134
125,53,96,3,1134
126,53,100,3,1134
127,53,88,1,1134
128,53,95,1,1134
129,53,89,2,1134
130,53,84,2,1134
131,53,0,1,1134
132,53,72,1,1134
133,53,57,1,1134
134,7,92,1,1134
135,7,57,1,1134
136,7,85,1,1134
137,7,86,1,1134
138,7,66,1,1134
139,7,82,1,1134
140,7,42,1,1134
141,7,89,1,1134
142,7,49,1,1134
143,7,52,1,1134
144,7,45,1,1134
145,7,59,2,1134
146,56,75,1,1134
147,56,55,1,1134
148,56,89,2,1134
149,56,85,1,1134
150,56,94,4,1134
151,56,79,1,1134
152,56,76,3,1134
153,56,100,1,1134
154,56,13,1,1134
155,56,93,1,1134
156,63,65,1,1134
157,63,87,1,1134
158,63,67,1,1134
159,63,93,1,1134
160,63,96,2,1134
161,63,94,1,1134
162,63,100,1,1134
163,63,98,1,1134
164,82,57,1,1134
165,82,92,1,1134
166,82,67,1,1134
167,82,70,1,1134
168,97,77,1,1134
169,97,74,1,1134
170,44,94,2,1134
171,44,92,1,1134
172,44,73,1,1134
173,44,96,1,1134
174,44,88,1,1134
175,44,90,2,1134
176,44,78,1,1134
177,44,93,2,1134
178,44,17,1,1134
179,44,85,1,1134
180,44,95,1,1134
181,43,100,3,1134
182,43,93,1,1134
183,43,92,1,1134
184,43,87,2,1134
185,43,62,1,1134
186,43,85,2,1134
187,43,78,1,1134
188,43,94,1,1134
189,43,76,1,1134
190,43,88,1,1134
191,43,56,1,1134
192,43,47,1,1134
193,43,84,1,1134
194,45,95,4,1134
195,45,92,2,1134
196,45,100,1,1134
197,45,94,1,1134
198,45,88,2,1134
199,45,77,1,1134
200,45,73,1,1134
201,45,91,1,1134
202,45,69,1,1134
203,29,84,1,1134
204,29,100,2,1134
205,29,93,1,1134
206,29,88,3,1134
207,29,92,3,1134
208,29,74,2,1134
209,29,91,2,1134
210,29,94,1,1134
211,29,0,1,1134
212,29,97,1,1134
213,29,73,1,1134
214,29,32,1,1134
215,60,71,1,1134
216,60,89,1,1134
217,60,87,2,1134
218,60,59,1,1134
219,60,80,1,1134
220,60,100,1,1134
221,60,91,1,1134
222,41,95,1,1134
223,41,93,1,1134
224,41,100,1,1134
225,41,84,2,1134
226,41,94,1,1134
227,41,92,1,1134
228,41,91,1,1134
229,41,83,1,1134
230,41,96,1,1134
231,41,75,1,1134
232,41,78,1,1134
233,41,34,2,1134
234,49,89,1,1134
235,49,88,1,1134
236,12,75,1,1134
237,12,74,1,1134
238,12,88,1,1134
239,12,95,2,1134
240,12,72,1,1134
241,12,89,1,1134
242,12,71,1,1134
243,12,96,1,1134
244,12,56,1,1134
245,12,93,1,1134
246,12,67,1,1134
247,12,68,1,1134
248,21,80,1,1134
249,21,96,1,1134
250,21,97,1,1134
251,21,71,1,1134
252,21,100,2,1134
253,21,92,2,1134
254,21,79,1,1134
255,21,40,1,1134
256,21,70,1,1134
257,21,60,1,1134
258,21,88,1,1134
259,21,87,1,1134
260,21,74,1,1134
261,21,95,1,1134
262,21,72,1,1134
263,26,87,2,1134
264,26,64,2,1134
265,26,72,1,1134
266,26,91,2,1134
267,26,100,1,1134
268,26,59,1,1134
269,26,93,1,1134
270,26,89,1,1134
271,57,82,2,1134
272,57,93,2,1134
273,57,95,1,1134
274,57,85,2,1134
275,57,86,1,1134
276,57,91,1,1134
277,57,16,1,1134
278,57,71,1,1134
279,57,45,1,1134
280,57,83,2,1134
281,85,93,1,1134
282,85,88,1,1134
283,85,95,2,1134
284,85,100,3,1134
285,85,20,1,1134
286,85,91,1,1134
287,85,97,1,1134
288,75,96,2,1134
289,75,77,2,1134
290,75,82,1,1134
291,75,100,2,1134
292,75,75,1,1134
293,75,67,1,1134
294,75,64,1,1134
295,75,65,1,1134
296,86,97,1,1134
297,86,100,2,1134
298,86,95,1,1134
299,86,73,1,1134
300,86,94,1,1134
301,59,88,1,1134
302,59,93,1,1134
303,59,68,1,1134
304,59,81,1,1134
305,59,97,1,1134
306,59,100,2,1134
307,59,80,1,1134
308,59,78,1,1134
309,59,86,1,1134
310,59,91,1,1134
311,59,90,2,1134
312,59,96,1,1134
313,25,100,3,1134
314,25,84,1,1134
315,25,88,1,1134
316,25,91,1,1134
317,25,83,1,1134
318,25,96,2,1134
319,25,37,1,1134
320,25,89,1,1134
321,25,94,1,1134
322,25,0,1,1134
323,25,60,1,1134
324,25,87,1,1134
325,14,12,1,1134
326,14,64,2,1134
327,14,70,2,1134
328,14,91,1,1134
329,14,78,1,1134
330,4,14,1,1134
331,4,72,1,1134
332,4,53,1,1134
333,4,100,1,1134
334,4,73,1,1134
335,4,71,1,1134
336,4,48,2,1134
337,65,95,3,1134
338,65,63,1,1134
339,65,87,2,1134
340,65,81,1,1134
341,65,100,2,1134
342,65,70,1,1134
343,65,74,1,1134
344,65,84,1,1134
345,65,79,1,1134
346,89,87,1,1134
347,89,100,2,1134
348,89,89,1,1134
349,89,84,1,1134
350,89,44,1,1134
351,89,92,1,1134
352,92,100,1,1134
353,92,82,1,1134
354,92,91,1,1134
355,92,93,1,1134
356,92,85,1,1134
357,22,100,1,1134
358,22,92,1,1134
359,22,72,1,1134
360,22,86,1,1134
361,22,65,1,1134
362,22,61,1,1134
363,22,91,1,1134
364,22,1,1,1134
365,22,76,1,1134
366,22,82,1,1134
367,22,89,1,1134
368,22,90,1,1134
369,22,79,2,1134
370,22,96,1,1134
371,10,95,2,1134
372,10,58,1,1134
373,10,42,2,1134
374,10,49,2,1134
375,10,92,2,1134
376,10,66,1,1134
377,10,62,2,1134
378,10,57,1,1134
379,6,79,1,1134
380,6,59,1,1134
381,6,54,1,1134
382,6,63,1,1134
383,6,0,1,1134
384,6,57,1,1134
385,6,56,1,1134
386,6,58,1,1134
387,66,100,4,1134
388,66,84,1,1134
389,66,86,1,1134
390,66,79,1,1134
391,66,92,1,1134
392,66,94,1,1134
393,66,80,1,1134
394,66,85,1,1134
395,66,27,1,1134
396,66,71,1,1134
397,66,91,1,1134
398,88,69,1,1134
399,88,76,1,1134
400,73,89,2,1134
401,73,65,1,1134
402,73,87,1,1134
403,73,100,1,1134
404,73,86,1,1134
405,73,77,1,1134
406,73,92,1,1134
407,73,95,1,1134
408,73,90,1,1134
409,73,96,1,1134
410,58,74,1,1134
411,58,88,2,1134
412,58,76,1,1134
413,58,97,1,1134
414,58,95,2,1134
415,58,67,1,1134
416,58,94,1,1134
417,58,92,1,1134
418,58,86,1,1134
419,58,100,1,1134
420,37,89,1,1134
421,37,87,1,1134
422,37,66,1,1134
423,37,100,1,1134
424,37,93,1,1134
425,37,92,1,1134
426,37,80,1,1134
427,37,90,1,1134
428,37,84,3,1134
429,37,50,2,1134
430,37,71,1,1134
431,46,90,1,1134
432,46,85,2,1134
433,46,75,1,1134
434,46,84,1,1134
435,46,100,1,1134
436,42,76,2,1134
437,42,94,1,1134
438,42,70,1,1134
439,42,96,1,1134
440,42,93,1,1134
441,42,95,1,1134
442,42,88,1,1134
443,42,78,1,1134
444,42,87,1,1134
445,42,97,3,1134
446,42,100,2,1134
447,42,92,1,1134
448,42,46,1,1134
449,42,32,1,1134
450,79,91,2,1134
451,79,100,2,1134
452,79,85,1,1134
453,69,95,2,1134
454,69,100,1,1134
455,69,65,1,1134
456,69,84,1,1134
457,69,96,1,1134
458,51,100,4,1134
459,51,8,1,1134
460,51,9,1,1134
461,51,91,1,1134
462,51,82,1,1134
463,74,90,2,1134
464,74,81,1,1134
465,74,49,1,1134
466,74,74,1,1134
467,74,89,1,1134
468,74,94,1,1134
469,74,64,1,1134
470,74,59,1,1134
471,91,85,1,1134
472,91,81,1,1134
473,91,93,1,1134
474,34,69,1,1134
475,34,74,1,1134
476,34,78,1,1134
477,34,91,2,1134
478,34,95,1,1134
479,34,89,1,1134
480,34,90,1,1134
481,34,51,1,1134
482,34,71,1,1134
483,34,79,1,1134
484,34,96,1,1134
485,34,59,1,1134
486,34,98,1,1134
487,77,71,1,1134
488,77,100,1,1134
489,77,95,1,1134
490,77,87,1,1134
491,77,92,1,1134
492,77,90,1,1134
493,77,85,1,1134
494,77,64,1,1134
495,77,93,1,1134
496,68,91,1,1134
497,68,95,1,1134
498,68,83,1,1134
499,68,100,1,1134
500,68,84,1,1134
501,68,76,1,1134
502,68,71,1,1134
503,28,80,1,1134
504,28,91,1,1134
505,28,89,1,1134
506,28,83,2,1134
507,28,69,1,1134
508,28,75,1,1134
509,28,77,1,1134
510,28,84,1,1134
511,28,15,1,1134
512,28,93,2,1134
513,28,94,1,1134
514,67,95,1,1134
515,67,93,2,1134
516,67,92,1,1134
517,31,93,2,1134
518,31,88,1,1134
519,31,71,1,1134
520,31,64,2,1134
521,31,90,2,1134
522,31,42,1,1134
523,31,86,1,1134
524,31,99,1,1134
525,38,80,1,1134
526,38,95,1,1134
527,38,94,2,1134
528,38,74,2,1134
529,38,68,1,1134
530,38,90,1,1134
531,38,91,1,1134
532,38,76,1,1134
533,38,92,1,1134
534,38,100,1,1134
535,38,53,1,1134
536,38,84,1,1134
537,38,73,1,1134
538,38,93,1,1134
539,33,71,2,1134
540,33,72,1,1134
541,33,85,1,1134
542,33,100,3,1134
543,33,81,1,1134
544,33,92,1,1134
545,33,84,1,1134
546,33,91,2,1134
547,33,95,1,1134
548,33,96,1,1134
549,33,90,1,1134
550,27,89,1,1134
551,27,86,1,1134
552,27,50,1,1134
553,27,95,1,1134
554,27,82,1,1134
555,27,88,1,1134
556,27,85,1,1134
557,27,94,2,1134
558,27,98,1,1134
559,27,96,1,1134
560,27,77,1,1134
561,27,64,2,1134
562,24,91,1,1134
563,24,67,1,1134
564,24,49,1,1134
565,24,81,1,1134
566,24,11,1,1134
567,24,84,2,1134
568,24,12,1,1134
569,24,10,1,1134
570,24,80,2,1134
571,24,95,1,1134
572,24,86,1,1134
573,24,46,1,1134
574,24,61,1,1134
575,32,62,1,1134
576,32,100,3,1134
577,32,73,2,1134
578,32,93,1,1134
579,32,88,1,1134
580,32,89,1,1134
581,32,92,2,1134
582,32,19,1,1134
583,32,95,3,1134
584,95,70,1,1134
585,95,49,1,1134
586,95,74,1,1134
587,95,81,1,1134
588,40,100,2,1134
589,40,73,1,1134
590,40,53,2,1134
591,40,71,1,1134
592,40,93,1,1134
593,40,95,1,1134
594,40,19,2,1134
595,40,97,1,1134
596,30,41,1,1134
597,30,96,1,1134
598,30,100,2,1134
599,30,88,1,1134
600,30,97,1,1134
601,30,94,2,1134
602,30,95,1,1134
603,30,85,1,1134
604,30,91,1,1134
605,76,81,1,1134
606,76,100,1,1134
607,76,92,2,1134
608,76,86,1,1134
609,76,84,1,1134
610,1,89,1,1134
611,1,13,1,1134
612,1,84,1,1134
613,1,72,1,1134
614,1,76,1,1134
615,70,95,1,1134
616,70,100,2,1134
617,70,94,1,1134
618,70,90,2,1134
619,70,92,2,1134
620,70,73,1,1134
621,70,57,1,1134
622,70,74,1,1134
623,9,63,1,1134
624,9,74,1,1134
625,9,86,1,1134
626,9,82,1,1134
627,9,73,1,1134
628,9,70,1,1134
629,9,54,1,1134
630,9,56,1,1134
631,9,100,1,1134
632,20,88,1,1134
633,20,92,1,1134
634,20,79,1,1134
635,20,38,1,1134
636,20,90,2,1134
637,20,100,1,1134
638,20,96,1,1134
639,20,61,1,1134
640,20,84,1,1134
641,18,86,1,1134
642,18,82,1,1134
643,18,89,1,1134
644,18,96,1,1134
645,18,100,1,1134
646,18,68,1,1134
647,18,36,1,1134
648,18,84,1,1134
649,18,58,1,1134
650,18,97,1,1134
651,16,86,1,1134
652,16,92,1,1134
653,16,90,1,1134
654,16,56,1,1134
655,16,87,1,1134
656,16,81,1,1134
657,16,95,1,1134
658,16,89,1,1134
659,16,91,1,1134
660,55,68,1,1134
661,55,100,4,1134
662,55,91,3,1134
663,55,89,1,1134
664,55,66,1,1134
665,55,92,1,1134
666,55,85,1,1134
667,55,93,1,1134
668,55,60,1,1134
669,55,90,1,1134
670,55,30,1,1134
671,55,83,1,1134
672,55,82,1,1134
673,2,50,1,1134
674,2,58,1,1134
675,3,71,1,1134
676,3,60,1,1134
677,3,43,1,1134
678,3,61,1,1134
679,3,72,1,1134
680,3,49,1,1134
681,8,90,2,1134
