nokta_no,x,y,count,sezon_dakikasi
1,26,18,1,2284
2,26,41,2,2284
3,26,43,1,2284
4,26,19,1,2284
5,26,73,1,2284
6,26,31,2,2284
7,26,47,1,2284
8,26,3,1,2284
9,26,39,1,2284
10,26,23,1,2284
11,26,27,1,2284
12,26,48,1,2284
13,26,49,1,2284
14,26,17,1,2284
15,26,93,1,2284
16,26,4,1,2284
17,26,90,1,2284
18,28,18,2,2284
19,28,79,1,2284
20,28,65,1,2284
21,28,50,1,2284
22,28,36,1,2284
23,28,72,1,2284
24,28,32,1,2284
25,28,24,1,2284
26,28,7,1,2284
27,28,57,1,2284
28,28,58,1,2284
29,28,25,1,2284
30,28,26,1,2284
31,28,29,1,2284
32,28,14,2,2284
33,28,10,1,2284
34,28,49,2,2284
35,28,92,1,2284
36,16,13,1,2284
37,16,34,1,2284
38,16,78,1,2284
39,16,32,1,2284
40,16,93,1,2284
41,23,65,1,2284
42,23,51,1,2284
43,23,64,1,2284
44,23,84,1,2284
45,23,73,1,2284
46,23,31,1,2284
47,23,40,1,2284
48,23,32,1,2284
49,23,24,1,2284
50,23,28,1,2284
51,23,29,1,2284
52,23,33,1,2284
53,23,63,1,2284
54,23,7,2,2284
55,23,35,1,2284
56,23,44,1,2284
57,44,53,3,2284
58,44,34,1,2284
59,44,71,2,2284
60,44,48,1,2284
61,44,23,2,2284
62,44,52,1,2284
63,44,85,1,2284
64,44,31,2,2284
65,44,46,1,2284
66,44,49,2,2284
67,44,65,1,2284
68,44,70,2,2284
69,44,40,2,2284
70,44,50,1,2284
71,44,30,1,2284
72,44,39,1,2284
73,44,63,1,2284
74,44,90,1,2284
75,44,75,1,2284
76,44,79,1,2284
77,44,44,1,2284
78,44,98,1,2284
79,44,69,1,2284
80,44,32,1,2284
81,44,28,1,2284
82,44,29,1,2284
83,44,68,1,2284
84,44,56,1,2284
85,44,73,2,2284
86,44,83,2,2284
87,44,62,1,2284
88,44,94,1,2284
89,70,45,1,2284
90,70,47,2,2284
91,70,23,1,2284
92,70,29,1,2284
93,70,48,1,2284
94,70,9,1,2284
95,70,46,2,2284
96,70,22,1,2284
97,70,8,1,2284
98,70,15,1,2284
99,70,73,2,2284
100,70,26,1,2284
101,70,76,1,2284
102,70,27,1,2284
103,70,7,2,2284
104,70,82,1,2284
105,70,63,1,2284
106,70,97,1,2284
107,70,74,1,2284
108,27,33,1,2284
109,27,59,1,2284
110,27,29,1,2284
111,27,51,1,2284
112,27,24,1,2284
113,27,27,1,2284
114,27,52,1,2284
115,27,66,1,2284
116,27,37,1,2284
117,27,41,1,2284
118,27,83,2,2284
119,27,43,1,2284
120,27,57,1,2284
121,27,47,1,2284
122,27,50,1,2284
123,27,25,1,2284
124,27,44,2,2284
125,27,62,1,2284
126,27,91,1,2284
127,32,27,1,2284
128,32,55,1,2284
129,32,53,1,2284
130,32,60,1,2284
131,32,35,1,2284
132,32,20,1,2284
133,32,16,2,2284
134,32,30,3,2284
135,32,19,1,2284
136,32,59,3,2284
137,32,28,1,2284
138,32,36,3,2284
139,32,43,3,2284
140,32,90,2,2284
141,32,46,1,2284
