nokta_no,x,y,count,sezon_dakikasi
1,79,25,2,2042
2,79,76,1,2042
3,79,42,1,2042
4,79,88,1,2042
5,79,92,1,2042
6,79,83,1,2042
7,79,96,2,2042
8,79,93,1,2042
9,79,63,1,2042
10,79,86,1,2042
11,79,84,1,2042
12,79,68,1,2042
13,79,3,1,2042
14,59,94,5,2042
15,59,16,1,2042
16,59,87,1,2042
17,59,75,1,2042
18,59,93,1,2042
19,59,69,1,2042
20,59,62,1,2042
21,59,89,1,2042
22,59,97,1,2042
23,59,85,1,2042
24,59,96,1,2042
25,59,15,1,2042
26,59,20,2,2042
27,59,3,1,2042
28,59,81,1,2042
29,63,97,1,2042
30,63,89,4,2042
31,63,92,4,2042
32,63,84,2,2042
33,63,90,1,2042
34,63,88,1,2042
35,63,87,1,2042
36,63,86,1,2042
37,63,93,2,2042
38,63,69,1,2042
39,63,68,1,2042
40,63,57,1,2042
41,63,96,1,2042
42,63,37,1,2042
43,63,91,2,2042
44,63,76,1,2042
45,63,61,1,2042
46,63,60,1,2042
47,63,5,1,2042
48,63,62,1,2042
49,82,84,1,2042
50,82,88,1,2042
51,82,86,1,2042
52,82,72,1,2042
53,82,76,1,2042
54,82,17,1,2042
55,82,15,1,2042
56,93,97,1,2042
57,93,63,1,2042
58,93,69,1,2042
59,93,74,1,2042
60,93,72,1,2042
61,93,57,1,2042
62,93,82,1,2042
63,71,90,1,2042
64,71,47,1,2042
65,71,70,2,2042
66,71,28,2,2042
67,71,72,1,2042
68,71,83,3,2042
69,71,85,1,2042
70,71,88,1,2042
71,71,32,1,2042
72,71,95,1,2042
73,71,98,1,2042
74,71,52,1,2042
75,71,35,2,2042
76,71,86,1,2042
77,71,93,1,2042
78,71,33,1,2042
79,71,50,1,2042
80,71,94,2,2042
81,71,97,1,2042
82,71,64,1,2042
83,71,4,1,2042
84,71,66,1,2042
85,61,55,1,2042
86,61,12,1,2042
87,61,94,2,2042
88,61,69,1,2042
89,61,97,1,2042
90,61,78,1,2042
91,61,96,1,2042
92,61,91,1,2042
93,61,77,1,2042
94,61,11,1,2042
95,61,26,1,2042
96,47,57,1,2042
97,47,35,1,2042
98,47,56,1,2042
99,47,76,1,2042
100,47,84,1,2042
101,47,92,1,2042
102,47,85,1,2042
103,47,98,1,2042
104,47,91,1,2042
105,47,86,1,2042
106,47,48,1,2042
107,57,72,2,2042
108,57,6,1,2042
109,57,68,1,2042
110,57,71,1,2042
111,57,29,1,2042
112,57,36,1,2042
113,57,84,3,2042
114,57,82,1,2042
115,57,86,1,2042
116,57,95,1,2042
117,57,93,2,2042
118,57,94,2,2042
119,57,79,1,2042
120,57,81,1,2042
121,57,92,1,2042
122,57,97,1,2042
123,57,75,1,2042
124,14,84,1,2042
125,14,67,1,2042
126,14,75,2,2042
127,9,89,1,2042
128,9,42,1,2042
129,9,92,1,2042
130,18,53,1,2042
131,18,83,1,2042
132,18,72,1,2042
133,18,27,1,2042
134,66,88,2,2042
135,66,95,3,2042
136,66,32,1,2042
137,66,89,1,2042
138,66,78,1,2042
139,66,86,2,2042
140,66,14,1,2042
141,66,76,1,2042
142,66,87,1,2042
143,66,69,1,2042
144,66,84,2,2042
145,66,55,1,2042
146,66,63,1,2042
147,66,91,1,2042
148,66,85,1,2042
149,66,24,1,2042
150,66,51,1,2042
151,66,92,1,2042
152,66,18,1,2042
153,69,90,3,2042
154,69,87,1,2042
155,69,77,1,2042
156,69,27,2,2042
157,69,59,1,2042
158,69,97,1,2042
159,69,80,1,2042
160,69,82,2,2042
161,69,36,1,2042
162,69,100,1,2042
163,69,85,1,2042
164,69,68,1,2042
165,69,83,1,2042
166,69,78,1,2042
167,69,96,1,2042
168,69,89,3,2042
169,69,93,2,2042
170,69,95,1,2042
171,69,51,1,2042
172,69,92,2,2042
173,69,61,1,2042
174,69,60,1,2042
175,69,25,1,2042
176,69,73,1,2042
177,69,58,1,2042
178,69,64,1,2042
179,69,84,1,2042
180,23,65,1,2042
181,23,96,1,2042
182,23,75,1,2042
183,23,78,1,2042
184,23,70,1,2042
185,23,56,1,2042
186,23,62,1,2042
187,23,67,1,2042
188,23,57,1,2042
189,23,73,1,2042
190,23,74,1,2042
191,23,20,1,2042
192,49,50,5,2042
193,49,81,1,2042
194,49,49,2,2042
195,49,70,1,2042
196,49,57,1,2042
197,49,44,1,2042
198,65,82,1,2042
199,65,88,1,2042
200,65,91,1,2042
201,65,93,2,2042
202,65,90,1,2042
203,65,96,1,2042
204,65,92,1,2042
205,65,54,1,2042
206,65,89,1,2042
207,65,84,1,2042
208,65,64,1,2042
209,65,70,1,2042
210,65,86,1,2042
211,65,97,1,2042
212,39,89,1,2042
213,39,36,1,2042
214,39,4,1,2042
215,39,47,1,2042
216,39,77,1,2042
217,39,95,1,2042
218,39,88,1,2042
219,39,86,1,2042
220,39,75,1,2042
221,39,91,1,2042
222,39,80,1,2042
223,39,85,1,2042
224,85,72,1,2042
225,85,76,1,2042
226,85,85,1,2042
227,85,68,2,2042
228,85,74,1,2042
229,85,47,1,2042
230,85,81,1,2042
231,85,59,1,2042
232,85,46,1,2042
233,85,97,1,2042
234,85,64,1,2042
235,85,69,1,2042
236,85,82,1,2042
237,85,88,1,2042
238,85,87,1,2042
239,85,67,1,2042
240,85,71,1,2042
241,85,39,1,2042
242,36,89,1,2042
243,36,9,1,2042
244,36,94,2,2042
245,36,83,1,2042
246,36,31,1,2042
247,36,100,1,2042
248,36,91,1,2042
249,36,85,2,2042
250,36,87,1,2042
251,36,38,2,2042
252,36,72,1,2042
253,36,88,2,2042
254,36,92,1,2042
255,36,77,1,2042
256,36,96,2,2042
257,36,95,1,2042
258,33,85,1,2042
259,33,95,2,2042
260,33,93,1,2042
261,33,68,2,2042
262,33,86,2,2042
263,33,83,1,2042
264,33,66,1,2042
265,33,77,2,2042
266,33,75,1,2042
267,33,72,1,2042
268,33,25,1,2042
269,42,69,1,2042
270,42,40,1,2042
271,42,95,1,2042
272,42,91,1,2042
273,42,96,2,2042
274,42,38,1,2042
275,42,93,1,2042
276,42,83,1,2042
277,78,63,1,2042
278,78,92,1,2042
279,78,88,2,2042
280,78,91,1,2042
281,78,94,3,2042
282,78,80,1,2042
283,78,74,1,2042
284,78,90,3,2042
285,78,69,1,2042
286,78,29,1,2042
287,78,97,1,2042
288,78,93,1,2042
289,78,86,1,2042
290,78,83,1,2042
291,78,87,1,2042
292,78,62,1,2042
293,78,84,1,2042
294,78,89,1,2042
295,78,81,1,2042
296,78,73,1,2042
297,94,31,1,2042
298,94,86,1,2042
299,94,81,1,2042
300,94,80,1,2042
301,94,89,1,2042
302,94,84,1,2042
303,94,72,1,2042
304,94,90,1,2042
305,94,83,1,2042
306,40,95,3,2042
307,40,36,1,2042
308,40,43,1,2042
309,40,87,1,2042
310,40,92,1,2042
311,40,58,1,2042
312,40,73,1,2042
313,40,93,1,2042
314,40,8,1,2042
315,40,78,1,2042
316,40,82,1,2042
317,46,73,2,2042
318,46,2,1,2042
319,46,88,1,2042
320,46,56,2,2042
321,46,92,1,2042
322,46,89,2,2042
323,46,90,1,2042
324,46,54,1,2042
325,46,45,1,2042
326,46,97,1,2042
327,46,95,1,2042
328,46,91,1,2042
329,46,55,1,2042
330,44,62,1,2042
331,44,37,1,2042
332,44,67,1,2042
333,44,69,1,2042
334,44,83,1,2042
335,44,5,1,2042
336,44,89,1,2042
337,44,58,1,2042
338,44,94,1,2042
339,44,30,1,2042
340,44,4,1,2042
341,86,47,1,2042
342,86,55,1,2042
343,86,94,1,2042
344,86,81,2,2042
345,86,85,1,2042
346,86,73,1,2042
347,86,61,1,2042
348,86,48,1,2042
349,86,13,1,2042
350,68,78,2,2042
351,68,36,1,2042
352,68,69,2,2042
353,68,87,2,2042
354,68,79,1,2042
355,68,76,1,2042
356,68,77,1,2042
357,68,93,3,2042
358,68,89,1,2042
359,68,91,1,2042
360,68,92,1,2042
361,68,82,2,2042
362,68,94,1,2042
363,68,50,1,2042
364,68,85,1,2042
365,68,75,1,2042
366,68,61,1,2042
367,68,97,1,2042
368,68,11,1,2042
369,68,90,1,2042
370,68,31,1,2042
371,77,70,1,2042
372,77,36,1,2042
373,77,88,3,2042
374,77,39,2,2042
375,77,87,1,2042
376,77,67,1,2042
377,77,75,1,2042
378,77,74,2,2042
379,77,71,2,2042
380,77,90,2,2042
381,77,68,1,2042
382,77,97,1,2042
383,77,91,1,2042
