nokta_no,x,y,count,sezon_dakikasi
1,99,0,50,2017
2,99,99,45,2017
3,99,72,1,2017
4,99,49,1,2017
5,99,37,1,2017
6,60,11,3,2017
7,60,14,2,2017
8,60,25,1,2017
9,60,10,1,2017
10,60,20,1,2017
11,60,35,1,2017
12,60,7,2,2017
13,60,15,2,2017
14,60,34,1,2017
15,60,9,2,2017
16,60,23,1,2017
17,60,8,1,2017
18,60,48,1,2017
19,60,6,3,2017
20,60,12,1,2017
21,60,19,3,2017
22,60,0,2,2017
23,10,2,2,2017
24,10,25,1,2017
25,10,26,1,2017
26,10,13,1,2017
27,10,19,1,2017
28,10,11,1,2017
29,10,4,1,2017
30,10,41,1,2017
31,10,36,1,2017
32,10,39,1,2017
33,10,6,1,2017
34,54,8,1,2017
35,54,2,2,2017
36,54,18,1,2017
37,54,7,1,2017
38,54,21,3,2017
39,54,10,1,2017
40,54,11,1,2017
41,54,22,1,2017
42,54,0,4,2017
43,54,12,1,2017
44,54,34,1,2017
45,54,15,1,2017
46,54,3,2,2017
47,54,6,2,2017
48,54,5,1,2017
49,54,37,1,2017
50,21,44,1,2017
51,21,6,3,2017
52,21,12,2,2017
53,21,4,3,2017
54,21,20,1,2017
55,21,8,2,2017
56,21,3,1,2017
57,21,16,1,2017
58,21,41,1,2017
59,21,23,3,2017
60,21,36,1,2017
61,21,30,1,2017
62,21,39,1,2017
63,21,21,1,2017
64,21,29,1,2017
65,21,14,1,2017
66,21,50,1,2017
67,20,6,1,2017
68,20,28,1,2017
69,20,18,1,2017
70,20,21,1,2017
71,20,0,1,2017
72,20,24,1,2017
73,20,9,1,2017
74,20,26,1,2017
75,20,32,1,2017
76,20,5,2,2017
77,20,7,1,2017
78,20,2,1,2017
79,20,14,1,2017
80,20,16,2,2017
81,59,8,2,2017
82,59,15,2,2017
83,59,12,2,2017
84,59,34,1,2017
85,59,3,2,2017
86,59,5,1,2017
87,59,7,2,2017
88,59,0,3,2017
89,59,4,1,2017
90,59,25,1,2017
91,59,13,1,2017
92,77,22,1,2017
93,77,75,1,2017
94,77,11,1,2017
95,77,2,1,2017
96,77,0,4,2017
97,77,26,1,2017
98,77,1,1,2017
99,77,84,1,2017
100,77,8,1,2017
101,77,14,1,2017
102,77,4,1,2017
103,77,7,1,2017
104,51,14,1,2017
105,51,6,1,2017
106,51,3,1,2017
107,51,9,1,2017
108,51,22,1,2017
109,51,1,1,2017
110,51,17,1,2017
111,51,19,1,2017
112,63,16,2,2017
113,63,0,4,2017
114,63,22,2,2017
115,63,4,1,2017
116,63,23,1,2017
117,63,13,2,2017
118,63,2,1,2017
119,63,7,1,2017
120,63,9,1,2017
121,63,6,2,2017
122,13,7,2,2017
123,13,6,2,2017
124,13,4,4,2017
125,13,59,1,2017
126,13,40,1,2017
127,13,5,1,2017
128,13,3,2,2017
129,13,58,1,2017
130,13,12,1,2017
131,13,11,1,2017
132,13,50,1,2017
133,13,0,3,2017
134,13,17,1,2017
135,13,24,1,2017
136,13,39,1,2017
137,13,8,1,2017
138,13,23,1,2017
139,13,10,1,2017
140,13,46,1,2017
141,26,13,1,2017
142,26,7,2,2017
143,26,34,1,2017
144,26,11,2,2017
145,26,2,2,2017
146,26,3,1,2017
147,26,17,2,2017
148,26,22,2,2017
149,26,21,3,2017
150,26,16,1,2017
151,26,4,1,2017
152,26,0,2,2017
153,26,96,1,2017
154,26,18,1,2017
155,26,8,2,2017
156,26,19,1,2017
157,56,6,2,2017
158,56,36,1,2017
159,56,37,1,2017
160,56,7,2,2017
161,56,17,1,2017
162,56,4,1,2017
163,56,11,2,2017
164,56,27,1,2017
165,56,16,1,2017
166,56,10,1,2017
167,56,9,1,2017
168,56,38,2,2017
169,56,8,2,2017
170,56,24,1,2017
171,56,3,1,2017
172,56,5,2,2017
173,56,12,1,2017
174,56,14,1,2017
175,73,5,1,2017
176,73,42,1,2017
177,73,24,1,2017
178,73,0,3,2017
179,73,8,1,2017
180,73,7,2,2017
181,73,22,1,2017
182,73,20,1,2017
183,73,59,1,2017
184,73,26,1,2017
185,73,25,1,2017
186,79,23,2,2017
187,79,17,1,2017
188,79,0,1,2017
189,79,3,2,2017
190,79,6,1,2017
191,79,93,1,2017
192,79,26,1,2017
193,79,2,1,2017
194,79,27,1,2017
195,37,0,4,2017
196,37,16,1,2017
197,37,5,1,2017
198,37,29,2,2017
199,37,10,1,2017
200,37,52,1,2017
201,37,39,3,2017
202,37,13,3,2017
203,37,25,1,2017
204,37,17,1,2017
205,37,18,2,2017
206,37,11,1,2017
207,37,6,1,2017
208,37,27,1,2017
209,37,34,1,2017
