nokta_no,x,y,count,sezon_dakikasi
1,37,5,2,1757
2,37,10,1,1757
3,37,15,1,1757
4,37,41,2,1757
5,37,37,3,1757
6,37,21,1,1757
7,37,34,3,1757
8,37,52,3,1757
9,37,7,2,1757
10,37,14,1,1757
11,37,27,1,1757
12,37,28,1,1757
13,37,31,2,1757
14,37,35,1,1757
15,37,22,2,1757
16,37,62,1,1757
17,37,69,2,1757
18,37,60,1,1757
19,37,67,1,1757
20,37,77,1,1757
21,37,24,1,1757
22,37,33,1,1757
23,37,70,2,1757
24,37,50,1,1757
25,37,87,1,1757
26,37,45,1,1757
27,37,20,1,1757
28,37,81,1,1757
29,37,53,1,1757
30,37,39,1,1757
31,39,4,1,1757
32,39,7,1,1757
33,39,24,1,1757
34,39,21,3,1757
35,39,23,1,1757
36,39,32,2,1757
37,39,28,1,1757
38,39,41,1,1757
39,39,19,2,1757
40,39,16,1,1757
41,39,36,2,1757
42,39,11,1,1757
43,39,31,1,1757
44,39,66,1,1757
45,39,45,1,1757
46,39,40,1,1757
47,39,88,1,1757
48,39,52,1,1757
49,39,57,1,1757
50,39,13,1,1757
51,39,94,1,1757
52,39,82,1,1757
53,39,92,1,1757
54,39,72,1,1757
55,39,80,1,1757
56,34,10,2,1757
57,34,17,1,1757
58,34,24,1,1757
59,34,30,3,1757
60,34,22,1,1757
61,34,27,1,1757
62,34,41,1,1757
63,34,92,1,1757
64,34,39,1,1757
65,34,47,2,1757
66,34,16,1,1757
67,34,29,1,1757
68,34,33,2,1757
69,34,31,3,1757
70,34,13,1,1757
71,34,21,1,1757
72,34,11,1,1757
73,34,58,1,1757
74,34,36,1,1757
75,34,70,1,1757
76,34,66,1,1757
77,34,62,1,1757
78,34,23,1,1757
79,34,0,1,1757
80,34,82,1,1757
81,34,77,1,1757
82,34,55,1,1757
83,34,43,1,1757
84,34,79,1,1757
85,32,32,2,1757
86,32,34,2,1757
87,32,45,2,1757
88,32,22,1,1757
89,32,24,1,1757
90,32,59,1,1757
91,32,58,2,1757
92,32,70,1,1757
93,32,20,1,1757
94,32,63,1,1757
95,32,6,1,1757
96,32,39,2,1757
97,32,48,1,1757
98,32,27,1,1757
99,32,50,1,1757
100,32,41,1,1757
101,32,44,1,1757
102,32,21,1,1757
103,32,60,2,1757
104,32,28,2,1757
105,32,51,1,1757
106,32,72,1,1757
107,32,54,2,1757
108,32,23,1,1757
109,32,87,1,1757
110,32,66,1,1757
111,32,78,1,1757
112,27,39,1,1757
113,27,34,1,1757
114,27,29,2,1757
115,27,18,2,1757
116,27,33,1,1757
117,27,19,1,1757
118,27,66,1,1757
119,27,69,2,1757
120,27,51,1,1757
121,27,26,2,1757
122,27,41,2,1757
123,27,27,1,1757
124,27,59,1,1757
